	Real	Imaginary
0	0.6256052	1.0240219
1	0.6256052	-1.0240219
2	0.6933454	0.8969843
3	0.6933454	-0.8969843
4	-1.1459498	0.0
5	-1.100421	0.21184845
6	-1.100421	-0.21184845
7	0.5616373	0.9381589
8	0.5616373	-0.9381589
9	-0.31182736	1.0081892
10	-0.31182736	-1.0081892
11	1.0360198	0.17170958
12	1.0360198	-0.17170958
13	-0.51519156	0.8524048
14	-0.51519156	-0.8524048
15	0.347089	0.9546161
16	0.347089	-0.9546161
17	0.111711055	0.9777454
18	0.111711055	-0.9777454
19	-0.7630247	0.6456457
20	-0.7630247	-0.6456457
21	0.7762152	0.55304354
22	0.7762152	-0.55304354
23	-0.80342776	0.54322004
24	-0.80342776	-0.54322004
25	-0.16518693	0.9198681
26	-0.16518693	-0.9198681
27	-0.92346597	0.22669756
28	-0.92346597	-0.22669756
29	-0.65947956	0.6228456
30	-0.65947956	-0.6228456
31	0.63280225	0.61573386
32	0.63280225	-0.61573386
33	0.2772481	0.84122473
34	0.2772481	-0.84122473
35	0.83044875	0.26236588
36	0.83044875	-0.26236588
37	0.8503818	0.0
38	-0.4660112	0.7023862
39	-0.4660112	-0.7023862
40	-0.76956606	0.3835936
41	-0.76956606	-0.3835936
42	-0.0815928	0.81504506
43	-0.0815928	-0.81504506
44	0.79284084	0.0
45	0.38707495	0.63591856
46	0.38707495	-0.63591856
47	0.6624701	0.26543134
48	0.6624701	-0.26543134
49	0.272577	0.6913557
50	0.272577	-0.6913557
51	-0.777603	0.0
52	-0.74065584	0.14320467
53	-0.74065584	-0.14320467
54	0.6842432	0.0
55	0.6570095	0.15822679
56	0.6570095	-0.15822679
57	0.10351786	0.68458587
58	0.10351786	-0.68458587
59	0.0034129322	0.6885851
60	0.0034129322	-0.6885851
61	-0.132509	0.65589523
62	-0.132509	-0.65589523
63	0.4877602	0.31447378
64	0.4877602	-0.31447378
65	-0.526899	0.34089252
66	-0.526899	-0.34089252
67	0.45616212	0.0
68	0.39303416	0.4030724
69	0.39303416	-0.4030724
70	-0.24400523	0.5395112
71	-0.24400523	-0.5395112
72	-0.3969761	0.41140112
73	-0.3969761	-0.41140112
74	-0.5643342	0.03027645
75	-0.5643342	-0.03027645
76	0.43602264	0.26110426
77	0.43602264	-0.26110426
78	-0.09229288	0.4499732
79	-0.09229288	-0.4499732
80	0.1437979	0.43437603
81	0.1437979	-0.43437603
82	-0.2642462	0.34153607
83	-0.2642462	-0.34153607
84	-0.36957586	0.20198916
85	-0.36957586	-0.20198916
86	-0.38430378	0.0
87	0.23101291	0.20589201
88	0.23101291	-0.20589201
89	0.24198598	0.0
90	0.19584766	0.20565034
91	0.19584766	-0.20565034
92	-0.25794953	0.13958102
93	-0.25794953	-0.13958102
94	0.022040099	0.2527982
95	0.022040099	-0.2527982
96	-0.05647035	0.1875026
97	-0.05647035	-0.1875026
98	-0.04147023	0.009070027
99	-0.04147023	-0.009070027
