	Before	After
0	-0.5401383	-0.5346894
1	0.382428	0.36693582
2	-0.7839393	-0.78898525
3	-0.005859283	-0.014084983
4	0.34282708	0.3501352
5	0.07646259	0.0625521
6	0.31100646	0.328277
7	-0.009288463	-0.02891983
8	-0.07552955	-0.100292236
9	0.007270606	-0.00560565
10	0.050407816	0.04259385
11	-0.1548453	-0.15959574
12	0.11502677	0.1093343
13	0.2016196	0.20735097
14	-0.49666497	-0.5114211
15	-0.04686183	-0.03181775
16	-0.19573076	-0.20063628
17	-0.12843893	-0.128405
18	0.008436899	0.0020724037
19	-0.21366647	-0.20623492
20	-0.0864777	-0.07442141
21	0.122049175	0.13056737
22	0.04412212	0.053969342
23	-0.28690597	-0.30338717
24	-0.023889188	-0.023780078
25	-0.14161113	-0.15336111
26	0.08146679	0.07823933
27	0.26037297	0.27854654
28	-0.06795438	-0.061795615
29	-0.030137597	-0.06182593
30	0.114108585	0.09335231
31	-0.26240182	-0.269965
32	-0.191369	-0.19598785
33	0.02150306	0.016161934
34	-0.20373563	-0.20148344
35	0.036845054	0.049705427
36	0.43472344	0.4375382
37	0.04479604	0.03400202
38	0.34392413	0.3700431
39	-0.021320334	-0.0031637421
40	0.24687824	0.2604166
41	0.31426048	0.3273943
42	-0.13125443	-0.14564934
43	0.1092113	0.11667973
44	0.5003841	0.5079832
45	0.2024601	0.20689525
46	-0.16903868	-0.15994133
47	0.07949324	0.06576976
48	-0.21870957	-0.20396501
49	0.5053039	0.52408266
50	-0.13281895	-0.14148015
51	-0.3439158	-0.3572733
52	0.0912884	0.124120094
53	0.080759175	0.08319284
54	0.0010742749	0.011903803
55	-0.068453304	-0.06406874
56	0.037538845	0.051223755
57	-0.010835054	-0.009028172
58	0.11140133	0.10846266
59	-0.058700465	-0.046850752
60	-0.15308037	-0.12772028
61	-0.51149416	-0.5275855
62	0.42701235	0.4226284
63	-0.26613143	-0.2631298
64	0.08959398	0.095630646
65	0.1011575	0.09379985
66	0.1766793	0.17492713
67	-0.14349106	-0.15699829
68	-0.061841037	-0.035957348
69	0.26594707	0.2599276
70	-0.107734196	-0.12574305
71	-0.07730987	-0.089595005
72	-0.12256686	-0.10498828
73	0.50044465	0.48306438
74	-0.13908508	-0.13505343
75	0.3044306	0.32495686
76	0.25133023	0.24329524
77	0.17709608	0.19062184
78	0.07857823	0.082088836
79	0.24809325	0.23950787
80	-0.26906464	-0.25907022
81	-0.27591217	-0.28573927
82	-0.1732473	-0.17013796
83	0.056331698	0.06198648
84	-0.04598228	-0.057171404
85	0.47287294	0.48116896
86	-0.22797638	-0.2270691
87	-0.24447006	-0.2506955
88	0.23848559	0.2449445
89	0.122702755	0.11221596
90	-0.07867886	-0.1075145
91	-0.17301406	-0.16467035
92	-0.087554716	-0.08640917
93	0.15075096	0.15516038
94	-0.21957706	-0.21918555
95	0.02406523	0.018830372
96	0.08792208	0.06667959
97	0.12871487	0.13202651
98	0.257139	0.26708516
99	-0.11626754	-0.12643038
100	-0.23647773	-0.23896298
101	0.091922775	0.10164036
102	0.17726724	0.19079973
103	-0.21814041	-0.23896821
104	-0.25835392	-0.24848352
105	0.05198887	0.046145402
106	-0.1815092	-0.17436706
107	0.081789285	0.07969209
108	0.17470276	0.1861125
109	-0.19675897	-0.20545037
110	-0.09414673	-0.08763666
111	0.24810252	0.26583806
112	-0.29599613	-0.3100491
113	0.03152788	0.017458744
114	-0.24614418	-0.24962978
115	0.03901887	0.04054558
116	0.37135112	0.38619155
117	-0.058249876	-0.05975155
118	0.019347265	0.0314512
119	-0.029776784	-0.033999067
120	0.3477549	0.33788022
121	0.12590571	0.1217761
122	-0.25555736	-0.2685727
123	-0.035526633	-0.031099338
124	0.30666465	0.31537244
125	0.3456881	0.35970563
126	-0.28153288	-0.2987717
127	-0.008167424	0.0030684082
128	0.20816956	0.22048822
129	-0.04981219	-0.041480623
130	0.049044292	0.060861506
131	-0.24237205	-0.23656805
132	-0.34534666	-0.35489243
133	-0.17647652	-0.19098428
134	-0.619347	-0.625144
135	-0.18591528	-0.18528596
136	-0.35002843	-0.36275217
137	0.49355727	0.48877102
138	0.27155563	0.2877417
139	0.25191507	0.25729796
140	-0.24881905	-0.24212418
141	0.09514699	0.10170279
142	-0.18110147	-0.1773821
143	-0.05396581	-0.04697382
144	-0.19518632	-0.2127427
145	-0.029589549	-0.02215223
146	-0.0048338473	-0.020937981
147	0.033761784	0.029023195
148	0.08531346	0.072977886
149	0.26844868	0.2580285
150	0.4592147	0.47424218
151	0.53346705	0.53265345
152	0.21974257	0.21504834
153	-0.01973671	-0.0118920095
154	-0.14388873	-0.14317937
155	0.18211503	0.19278465
156	-0.18402374	-0.18214619
157	0.008872227	-0.019607486
158	0.03013059	0.024394065
159	0.1633763	0.1846947
160	0.28621796	0.28754008
161	-0.20286778	-0.23415771
162	-0.10826293	-0.11634077
163	-0.047190152	-0.07190788
164	0.015519113	0.012278638
165	0.17630067	0.1670937
166	-0.3031796	-0.31218058
167	0.18307276	0.18771546
168	0.23467872	0.27188468
169	-0.02454947	-0.012600031
170	-0.11032061	-0.10223002
171	-0.13292524	-0.150051
172	-0.058954153	-0.053981803
173	-0.46600917	-0.48141193
174	-0.42141545	-0.43392766
175	0.26122725	0.27323267
176	-0.0071523194	-0.030547585
177	-0.013872072	-0.022800807
178	-0.08273573	-0.10472369
179	-0.24902949	-0.2410077
180	0.027241604	0.022505572
181	-0.48891866	-0.4977612
182	0.058926273	0.047414973
183	0.06534519	0.05420433
184	-0.24079297	-0.21584535
185	-0.37110242	-0.37261054
186	-0.33698812	-0.34378436
187	-0.22124876	-0.21136801
188	-0.199219	-0.20344631
189	-0.13891484	-0.13871102
190	0.01257418	0.017483482
191	-0.149133	-0.15165815
192	-0.15717019	-0.14519037
193	0.10773253	0.09452503
194	0.18414779	0.18704666
195	0.18219858	0.19286507
196	-0.043273143	-0.06457408
197	0.27189133	0.28329194
198	-0.06114861	-0.09264523
199	-0.027986573	-0.029138431
200	0.056786783	0.058306012
201	0.52092534	0.53353095
202	0.0046885805	0.031202428
203	-0.4962357	-0.48869073
204	0.23167117	0.22883482
205	0.16546217	0.17809974
206	0.09407201	0.092017494
207	-0.007815492	-0.020738255
208	0.20686013	0.20728073
209	0.1849686	0.18343863
210	0.02338179	0.01966371
211	-0.03275715	-0.027072469
212	0.14725378	0.1274408
213	-0.045348246	-0.03559687
214	-0.01228256	-0.0126785785
215	-0.16804974	-0.15579337
216	0.40027416	0.41609818
217	-0.35799462	-0.35037678
218	-0.42874002	-0.47051805
219	0.23867278	0.26960412
220	-0.01744708	-0.004884261
221	-0.21135151	-0.21746106
222	0.2918957	0.30675483
223	-0.21927498	-0.22327614
224	-0.033111468	-0.013089837
225	-0.18999304	-0.19273707
226	-0.427734	-0.44899362
227	-0.030551672	-0.0469127
228	-0.03522514	-0.023525886
229	-0.24993001	-0.24041946
230	-0.22079688	-0.23008974
231	0.07346119	0.050112695
232	-0.23064657	-0.25125715
233	0.5155011	0.515186
234	0.09913464	0.1064632
235	-0.16465026	-0.17278257
236	-0.24670503	-0.2654442
237	0.209465	0.2119078
238	-0.06957681	-0.07133916
239	-0.37883216	-0.38716188
240	0.2127138	0.23166615
241	0.14814939	0.13678472
242	-0.07652711	-0.06760257
243	-0.21968852	-0.22521053
244	0.14461704	0.14407654
245	0.18084316	0.175517
246	0.11325178	0.11237997
247	-0.11664036	-0.11441109
248	0.22772911	0.2216317
249	-0.25343797	-0.27114433
250	-0.07130253	-0.08493215
251	0.11956735	0.10884151
252	0.09486641	0.1057742
253	0.14575136	0.13213894
254	-0.07882182	-0.07342367
255	-0.20907606	-0.21539494
256	-0.06978563	-0.07128914
257	0.10721292	0.12662692
258	-0.32392436	-0.3365082
259	-0.114417486	-0.1158947
260	0.13050821	0.14058864
261	-0.21433118	-0.22381774
262	-0.35898152	-0.3567543
263	0.0029098918	0.007852807
264	-0.4205142	-0.4195371
265	-0.17406414	-0.17040691
266	0.15255871	0.17694348
267	-0.17064452	-0.16391101
268	-0.25412717	-0.23248039
269	-0.060111035	-0.06838023
270	0.34838527	0.36954892
271	-0.48398033	-0.49733415
272	-0.26521182	-0.2714261
273	0.07953314	0.07621673
274	-0.16171362	-0.15521978
275	0.41298392	0.40613735
276	-0.05241379	-0.044132266
277	-0.07824493	-0.06284245
278	-0.18404983	-0.18526985
279	-0.38301346	-0.39643052
280	0.09279908	0.09110211
281	0.29812545	0.2940098
282	-0.015686488	0.014221429
283	0.02767967	0.046532556
284	0.13271877	0.11770893
285	0.11107931	0.11354974
286	0.19163904	0.2001618
287	0.012043287	0.04017893
288	0.4350409	0.4703557
289	0.014483665	0.031432237
290	-0.047277715	-0.041897614
291	0.50787127	0.52791196
292	-0.022845652	-0.033561505
293	0.3867406	0.38317153
294	0.16766457	0.1472072
295	0.0009907027	-0.00075174274
296	-0.12536648	-0.121336885
297	0.015758418	0.021074204
298	-0.12817015	-0.13830926
299	-0.06941617	-0.06751574
300	0.31038126	0.30941465
301	-0.33759552	-0.35157612
302	0.019655058	0.016826397
303	-0.1710814	-0.1904933
304	0.10714464	0.10122786
305	-0.34223843	-0.3354906
306	-0.16360176	-0.16765356
307	-0.30671024	-0.30505732
308	-0.12761198	-0.13685746
309	0.32677963	0.3363795
310	-0.29738927	-0.2825295
311	0.12192002	0.12559016
312	-0.21144323	-0.21220246
313	0.1549269	0.15564273
314	0.06196555	0.0576218
315	-0.32638523	-0.3251271
316	-0.0034477857	-0.00053346896
317	0.015760671	0.021803161
318	0.027570404	0.048363242
319	0.31830683	0.340623
320	0.19098797	0.20887403
321	0.06612086	0.055514522
322	0.24660921	0.24296798
323	-0.08725107	-0.07718011
324	-0.1150413	-0.116995834
325	0.121823475	0.1063723
326	0.18825074	0.19475013
327	-0.061972875	-0.053245407
328	-0.071099	-0.08028543
329	0.029269189	0.022885181
330	-0.08859233	-0.10641318
331	-0.5512854	-0.5537078
332	-0.085010484	-0.0931026
333	0.25502324	0.26472056
334	-0.10820579	-0.12232679
335	-0.4212398	-0.45221654
336	-0.1631776	-0.17149353
337	0.20267552	0.20482835
338	-0.25158787	-0.25251043
339	0.102144554	0.09152354
340	-0.29253343	-0.31637225
