	Before	After
0	0.001	0.001
1	0.001513797521887266	0.001519018696385512
2	0.0021083148576102073	0.0020555072235144962
3	-0.0034193988309342447	-0.003333820848959441
4	-0.00046172674888078413	-0.00028444688283800495
5	-0.0007236695933277018	-0.00014190255441528125
6	-0.0008326657777740068	-0.0008045718553422212
7	0.0010845894931500112	0.0010771752135953722
8	-0.0026499090655340307	-0.0021390624559375717
9	-0.0008539751673963676	-0.0005926835490839052
10	0.0013172129773924546	0.0016689482160813258
11	-0.00019063678177236347	-0.0007768273017147622
12	-8.046432645813408e-05	7.76630565247877e-05
13	8.080838679992925e-05	5.599850160097476e-05
14	-0.00384826853635204	-0.0016657448539038468
15	-0.0032488031966342733	0.0001448053792503879
16	-0.0014716257879245208	-0.0006497062796661779
17	0.0042663055310918005	0.0009131984418216988
18	0.005763013065570314	0.0011667301463663504
19	-0.0003824424080821798	-0.0008480991007017597
20	-0.0014575541940353978	-0.00016564450236028
21	-0.013095593371767463	-0.0007949880036643568
22	-0.0026715268421718045	-0.0002675043291888665
23	0.0012696382364747027	0.0008338504471844691
24	0.02254720843353969	0.0003913442492591631
25	0.004288778992000104	-0.0006854443204495969
26	0.008637924073474197	0.0016302035734427922
27	-0.03132023549747655	-0.0003692246380851232
28	-0.010442004293419432	0.0008168029024262643
29	-0.016140125764782604	-0.001212395961462589
30	0.05275827227427305	-0.000711953619370998
31	0.02534782922960157	0.00014642157098609143
32	0.029133946431121244	0.0013871633297990308
33	-0.06393747770396244	9.592718951071256e-05
34	-0.040550525920907673	0.0011820048965831536
35	-0.0463624771633878	-0.0015332464028582442
36	0.08961666439753474	0.0005007623445873932
37	0.08179604015339155	-0.0005242093074320415
38	0.06255543356956009	-3.36613096921699e-05
39	-0.1164313023202318	5.018906848253704e-05
40	-0.1312471353669039	0.00025964902765957546
41	-0.08570303395130538	-1.5318001934065976e-05
42	0.15853475058682504	0.0009230053015603963
43	0.2194966881435412	-0.000749497137637776
44	0.11945715883803165	0.00023226581272870785
45	-0.268173920821384	-0.0008214924287378411
46	-0.36099190853608776	-0.00010178986614776547
47	-0.17809126225001237	0.00037296684280824823
48	0.4530922617127139	0.00010122343005106819
49	0.5821189789566865	0.00024964768976691923
50	0.3046892606194077	9.173107610405534e-05
51	-0.8493414419166075	-0.00059467690661944
52	-1.0207109806290566	7.821610182928151e-05
53	-0.5771745111428994	-0.00019077855366536218
54	1.5467002187349215	0.00015825071024700213
55	1.794669332930897	0.00013565822381898871
56	1.1266700955979072	-0.0001522084250795355
57	-2.719088773168401	0.00010422781682900629
58	-3.333527265160495	-3.990635061230836e-05
59	-2.25864085731762	-9.189411491194213e-05
60	4.603563305866343	7.74021188616114e-05
61	6.227000159659942	-0.00016722278969013942
62	4.449097966986178	8.149412095638788e-05
63	-7.375564008897344	5.9965032565653596e-05
64	-11.54695402970366	3.806907503517548e-05
65	-8.715602336717293	3.29626551048373e-06
66	11.313358158601375	-2.7704373903004632e-05
67	21.16890025664034	-7.260981714546748e-05
68	16.854711339194424	5.15382085381149e-05
69	-16.511678783580898	-7.623715222956811e-05
70	-37.78010753594166	0.00010235980342423196
71	-32.15041926117403	1.8703930274589783e-05
72	22.88694725645366	6.813377114490618e-05
73	66.03392656729802	-3.957113993723348e-05
74	60.70099977532277	-2.909671546634417e-05
75	-29.803497749551482	-9.549212975858872e-05
76	-112.8331283551376	5.305321390606725e-05
77	-112.92808447568085	2.3837525793481856e-05
78	35.28606544169833	6.463340066968817e-05
79	189.28587473833758	1.1413146511933974e-05
80	207.55104219645483	-9.674555913878518e-06
81	-34.59949063824416	-4.987142952051901e-05
82	-313.22081383657394	-2.5962213914208012e-05
83	-376.5400635596892	-2.1864563347159935e-06
84	17.062969914578616	3.2804361945310264e-05
85	512.7742376500244	3.0100720859068207e-05
86	675.1368906502064	-3.426563229690064e-06
87	40.27604982336379	-4.9826475431587955e-06
88	-833.8801280327718	-3.3825540164973896e-05
89	-1198.8176557046563	6.415502431724931e-06
90	-184.52608081604922	2.328367460506309e-06
91	1348.9973828439515	4.739750709825773e-06
92	2111.0798736664738	-1.3822914314298581e-05
93	510.06558799328377	2.006243348353001e-05
94	-2172.100810198726	-6.4295663210991794e-06
95	-3695.179678884792	1.1212007907487711e-05
96	-1201.8043473899606	-2.226784130318755e-05
97	3477.2444150192396	-7.987144728901627e-06
98	6437.920421113744	2.847167955553875e-06
99	2614.42485560949	6.5084184439476845e-06
100	-5520.16427032898	9.844895817520748e-06
