Row	Erlotinib	Lapatinib	PD0325901	PLX_{4720}	CHIR_{265}	Selumetinib	Vandetanib
C_1	0.397940008672038	0	0	0	0	0	0
C_2	0.903089986991944	0	0	0	0	0	0
C_3	1.39794000867204	0	0	0	0	0	0
C_4	1.90308998699194	0	0	0	0	0	0
C_5	2.39794000867204	0	0	0	0	0	0
C_6	2.90308998699194	0	0	0	0	0	0
C_7	3.40312052117582	0	0	0	0	0	0
C_8	3.90308998699194	0	0	0	0	0	0
C_9	0	0.397940008672038	0	0	0	0	0
C_10	0	0.903089986991944	0	0	0	0	0
C_11	0	1.39794000867204	0	0	0	0	0
C_12	0	1.90308998699194	0	0	0	0	0
C_13	0	2.39794000867204	0	0	0	0	0
C_14	0	2.90308998699194	0	0	0	0	0
C_15	0	3.40312052117582	0	0	0	0	0
C_16	0	3.90308998699194	0	0	0	0	0
C_17	0	0	0.397940008672038	0	0	0	0
C_18	0	0	0.903089986991944	0	0	0	0
C_19	0	0	1.39794000867204	0	0	0	0
C_20	0	0	1.90308998699194	0	0	0	0
C_21	0	0	2.39794000867204	0	0	0	0
C_22	0	0	2.90308998699194	0	0	0	0
C_23	0	0	3.40312052117582	0	0	0	0
C_24	0	0	3.90308998699194	0	0	0	0
C_25	0	0	0	0.397940008672038	0	0	0
C_26	0	0	0	0.903089986991944	0	0	0
C_27	0	0	0	1.39794000867204	0	0	0
C_28	0	0	0	1.90308998699194	0	0	0
C_29	0	0	0	2.39794000867204	0	0	0
C_30	0	0	0	2.90308998699194	0	0	0
C_31	0	0	0	3.40312052117582	0	0	0
C_32	0	0	0	3.90308998699194	0	0	0
C_33	0	0	0	0	0.397940008672038	0	0
C_34	0	0	0	0	0.903089986991944	0	0
C_35	0	0	0	0	1.39794000867204	0	0
C_36	0	0	0	0	1.90308998699194	0	0
C_37	0	0	0	0	2.39794000867204	0	0
C_38	0	0	0	0	2.90308998699194	0	0
C_39	0	0	0	0	3.40312052117582	0	0
C_40	0	0	0	0	3.90308998699194	0	0
C_41	0	0	0	0	0	0.397940008672038	0
C_42	0	0	0	0	0	0.903089986991944	0
C_43	0	0	0	0	0	1.39794000867204	0
C_44	0	0	0	0	0	1.90308998699194	0
C_45	0	0	0	0	0	2.39794000867204	0
C_46	0	0	0	0	0	2.90308998699194	0
C_47	0	0	0	0	0	3.40312052117582	0
C_48	0	0	0	0	0	3.90308998699194	0
C_49	0	0	0	0	0	0	0.397940008672038
C_50	0	0	0	0	0	0	0.903089986991944
C_51	0	0	0	0	0	0	1.39794000867204
C_52	0	0	0	0	0	0	1.90308998699194
C_53	0	0	0	0	0	0	2.39794000867204
