code	name	TF	ligand
Q13905	RAPGEF1	False	False
Q9H0E2	TOLLIP	False	False
P62328	TMSB4X	False	False
P12956	XRCC6	False	False
P37275	ZEB1	True	False
Q15796	SMAD2	False	False
Q8N5C8	TAB3	False	False
P36897	TGFBR1	False	False
Q15562	TEAD2	False	False
O75509	TNFRSF21	False	False
Q06418	TYRO3	False	False
Q05086	UBE3A	False	False
P42226	STAT6	True	False
Q15208	STK38	False	False
P19438	TNFRSF1A	False	False
Q96BR1	SGK3	False	False
P22314	UBA1	False	False
P18206	VCL	False	False
Q9H4A3	WNK1	False	False
Q13950	RUNX2	False	False
Q9HAU4	SMURF2	False	False
P48023	FASLG	False	True
O60603	TLR2	False	False
P46937	YAP1	False	False
Q13263	TRIM28	False	False
Q13077	TRAF1	False	False
P00734	F2	False	False
P98170	XIAP	False	False
O96014	WNT11	False	False
P18433	PTPRA	False	False
Q14765	STAT4	True	False
Q86XR7	TICAM2	False	False
P07437	TUBB	False	False
Q9Y4K3	TRAF6	False	False
P10586	PTPRF	False	False
Q9H6Z4	RANBP3	False	False
O15211	RGL2	False	False
O15304	SIVA1	False	False
O75886	STAM2	False	False
Q9UKW4	VAV3	False	False
Q03405	PLAUR	False	False
Q00653	NFKB2	True	False
P17948	FLT1	False	False
Q8NEB9	PIK3C3	False	False
P08922	ROS1	False	False
P49459	UBE2A	False	False
Q92890	UFD1	False	False
P36873	PPP1CC	False	False
Q9H0H5	RACGAP1	False	False
Q13009	TIAM1	False	False
P42681	TXK	False	False
Q6ZNA4	RNF111	False	False
O75044	SRGAP2	False	False
Q07955	SRSF1	False	False
Q86WV6	STING1	False	False
P30530	AXL	False	False
O43541	SMAD6	False	False
Q9Y265	RUVBL1	False	False
P30626	SRI	False	False
P07204	THBD	False	False
Q8IYT8	ULK2	False	False
Q92844	TANK	False	False
Q9NYJ8	TAB2	False	False
Q92835	INPP5D	False	False
Q07889	SOS1	False	False
Q01130	SRSF2	False	False
P11831	SRF	True	False
P29597	TYK2	False	False
O95405	ZFYVE9	False	False
P06239	LCK	False	False
Q15643	TRIP11	False	False
Q6R327	RICTOR	False	False
Q15382	RHEB	False	False
O14559	ARHGAP33	False	False
P15923	TCF3	True	False
P40763	STAT3	True	False
O43914	TYROBP	False	False
Q92995	USP13	False	False
P40337	VHL	False	False
Q01892	SPIB	False	False
O15524	SOCS1	False	False
O00141	SGK1	False	False
Q8NFU7	TET1	False	False
Q9UKI8	TLK1	False	False
Q9H4P4	RNF41	False	False
Q9Y2Z0	SUGT1	False	False
O60602	TLR5	False	False
Q8TAS1	UHMK1	False	False
P52735	VAV2	False	False
Q9GZV5	WWTR1	False	False
P56704	WNT3A	False	False
Q13309	SKP2	False	False
Q9UQE7	SMC3	False	False
Q13485	SMAD4	True	False
Q14186	TFDP1	True	False
P20333	TNFRSF1B	False	False
O43156	TTI1	False	False
P34925	RYK	False	False
P31431	SDC4	False	False
O43609	SPRY1	False	False
Q9HCE7	SMURF1	False	False
P55072	VCP	False	False
O14763	TNFRSF10B	False	False
P0DJI8	SAA1	False	True
P12931	SRC	False	False
P15498	VAV1	False	False
P98077	SHC2	False	False
P48061	CXCL12	False	True
Q96EB6	SIRT1	False	False
P42224	STAT1	True	False
P11388	TOP2A	False	False
P49767	VEGFC	False	False
Q92574	TSC1	False	False
P35968	KDR	False	False
P48736	PIK3CG	False	False
O60260	PRKN	False	False
Q12772	SREBF2	True	False
P37173	TGFBR2	False	False
Q9Y3C5	RNF11	False	False
P62070	RRAS2	False	False
P07996	THBS1	False	True
P08670	VIM	False	False
O14492	SH2B2	False	False
O00206	TLR4	False	False
Q9BSI4	TINF2	False	False
P11473	VDR	True	False
P41221	WNT5A	False	False
P42768	WAS	False	False
P61088	UBE2N	False	False
O00755	WNT7A	False	True
Q8N3V7	SYNPO	False	False
P68036	UBE2L3	False	False
P34741	SDC2	False	False
Q02447	SP3	True	False
Q9ULK5	VANGL2	False	False
P49427	CDC34	False	False
P22415	USF1	False	False
P0CG47	UBB	False	False
Q96PM5	RCHY1	False	False
P78527	PRKDC	False	False
P41225	SOX3	False	False
O15198	SMAD9	False	False
Q13404	UBE2V1	False	False
O60504	SORBS3	False	False
P30291	WEE1	False	False
P12757	SKIL	False	False
Q9Y6Q6	TNFRSF11A	False	False
P25445	FAS	False	False
P00441	SOD1	False	False
Q9Y6E0	STK24	False	False
O15533	TAPBP	False	False
Q9H4B6	SAV1	False	False
Q9HBY8	SGK2	False	False
P48431	SOX2	False	False
P51532	SMARCA4	False	False
Q8WYL5	SSH1	False	False
O60907	TBL1X	False	False
P08138	NGFR	False	False
P49815	TSC2	False	False
P15692	VEGFA	False	True
Q9H171	ZBP1	False	False
Q16236	NFE2L2	False	False
Q92529	SHC3	False	False
P26447	S100A4	False	False
P84022	SMAD3	True	False
P01135	TGFA	False	False
Q9BZK7	TBL1XR1	False	False
P98155	VLDLR	False	False
Q99835	SMO	False	False
Q14247	CTTN	False	False
Q13424	SNTA1	False	False
Q15628	TRADD	False	False
Q96KB5	PBK	False	False
Q9NS23	RASSF1	False	False
P49792	RANBP2	False	False
P17600	SYN1	False	False
