Row	viability
C_387	0.9
C_388	0.956
C_389	0.86
C_390	0.71
C_391	0.56
C_392	1.0168
C_393	1.101
C_394	0.9976
C_395	1.0415
C_396	0.932
C_397	1.143
C_398	0.72
C_399	0.68
C_400	1.197
C_401	0.85
C_402	0.9
C_403	0.63
C_404	0.58
C_405	0.29
C_406	0.29
C_407	0.25
C_408	1.155
C_409	1.0536
C_410	1.146
C_411	1.0809
C_412	0.912
C_413	1.0983
C_414	0.948
C_415	1.0806
C_416	0.85
C_417	0.922
C_418	0.989
C_419	0.926
C_420	0.86
C_421	1.023
C_422	0.969
C_423	0.82
C_424	1.018
C_425	1.0736
C_426	1.256
C_427	0.956
C_428	0.924
C_429	0.67
C_430	0.59
C_431	0.24
C_432	0.982
C_433	1.0443
C_434	0.949
C_435	1.186
C_436	1.0259
C_437	1.152
C_438	1.166
C_439	1.203
C_440	0.921
C_441	0.905
C_442	1.0718
C_443	0.913
C_444	1.117
C_445	0.83
C_446	0.87
C_447	0.57
C_448	1.0589
C_449	0.937
C_450	0.88
C_451	0.73
C_452	0.22
C_453	0.08
C_454	0.08
C_455	0.05
C_456	1.0694
C_457	1.0709
C_458	0.999924
C_459	1.013
C_460	0.944
C_461	0.78
C_462	0.38
C_463	0.03
C_464	1.161
C_465	0.985
C_466	1.0867
C_467	0.84
C_468	0.78
C_469	0.63
C_470	0.59
C_471	0.35
C_472	0.981
C_473	0.964
C_474	1.078
C_475	1.0395
C_476	0.979
C_477	0.983
C_478	0.957
C_479	0.89
C_480	1.137
C_481	1.145
C_482	0.929
C_483	0.9
C_484	0.8
C_485	0.76
C_486	0.4
C_487	0.34
C_488	0.905
C_489	1.148
C_490	1.0548
C_491	1.0305
C_492	1.0059
C_493	0.969
C_494	0.81
C_495	0.62
C_496	0.962
C_497	0.911
C_498	0.88
C_499	0.976
C_500	0.7
C_501	0.29
C_502	0.11
C_503	0.14
C_504	1.0444
C_505	0.93
C_506	1.14
C_507	1.0178
C_508	1.013
C_509	0.85
C_510	0.77
C_511	0.34
C_512	0.979
C_513	1.0144
C_514	0.87
C_515	1.109
C_516	0.86
C_517	1.101
C_518	0.85
C_519	0.29
C_520	1.019
C_521	1.0062
C_522	0.9
C_523	0.68
C_524	0.46
C_525	0.44
C_526	0.37
C_527	0.28
C_528	0.968
C_529	1.174
C_530	1.0013
C_531	1.18
C_532	0.933
C_533	1.157
C_534	0.69
C_535	0.49
C_536	1.0891
C_537	1.0751
C_538	1.0478
C_539	0.951
C_540	0.52
C_541	0.41
