	C32	MDAMB435S	UACC257	WM793	BT20	EFM19	HCC70	SKBR3	HCC4006	LU99	NCIH1341	NCIH1650	NCIH1703	NCIH1944	NCIH211	NCIH23	NCIH520	NCIH727	SBC5	SW1573	LS411N	SW403	HUPT3	PK45H	COLO679	MELHO	UACC62	WM88	BT474	HCC1187	HMC18	UACC812	HCC2935	LOUNH91	NCIH1299	NCIH1648	NCIH1694	NCIH1915	NCIH2087	NCIH2286	NCIH441	NCIH661	RERFLCMS	SW1271	LS123	SW1417	KP2	PK59	HMCB	RPMI7951	WM115	WM983B	BT549	HCC1395	MDAMB415	ZR751	EBC1	LCLC103H	NCIH1092	NCIH1573	NCIH1693	NCIH1869	NCIH2030	NCIH2228	NCIH358	NCIH650	RERFLCAI	SKMES1	HCC56	SNUC2A	KP3	SU8686	HT144	SKMEL24	WM1799	CAL851	HCC1569	MDAMB436	ZR7530	DV90	HCC827	NCIH1048	NCIH1563	NCIH1666	NCIH1793	NCIH2023	NCIH2172	NCIH3255	NCIH647	PC14	SKLU1	T3M10	COLO320	SKCO1	T84	KP4	K029AX	SKMEL30	WM2664	CAMA1	HCC1806	MDAMB468	CAL12T	HCC78	LUDLU1	NCIH1355	NCIH1651	NCIH1792	NCIH1975	NCIH2170	NCIH2444	NCIH522	NCIH810	SHP77	SW900	COLO201	NCIH747	SW480	L33	SW1990
ATRA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGE2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LTB4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPA	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.1062905136529475	-0.4725467768329218	-0.1570814842301591	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.3095725782924833	-0.3240893382210553	-0.3258140465899972	-0.4725467768329218	-0.1482281498647983	3.7225697470803696	0.1063924872556177	1.4124082282525894	-0.1400793492359455	2.508905607293661	0.5773755616882299	-0.4725467768329218	0.1917879209119952	-0.3091077052517941	-0.2549073797406555	-0.2769000073960971	-0.1367989826794973	-0.4725467768329218	-0.2854460693517838	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	1.047717841845829	-0.2775746788101132	-0.3006502664254561	-0.328963565175844	-0.3093026518355432	-0.0505914842907216	-0.2013110341671079	2.990423750993311	-0.1309723895942676	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.304054178305821	-0.4725467768329218	0.3348419621451856	-0.2616832242633302	-0.4725467768329218	-0.0923188960500893	-0.3217497654949268	-0.4725467768329218	0.3659116024013298	-0.4725467768329218	-0.2979661788833927	-0.4725467768329218	-0.1690515430749301	-0.4725467768329218	-0.4725467768329218	0.179038501558977	4.330663784223901	-0.2766901102412485	-0.4725467768329218	0.3107850753714565	-0.4725467768329218	2.8772910058988077	-0.0429868762390898	-0.4725467768329218	-0.1718232196927377	-0.3241943199032506	0.0795468782207809	1.3230912950611524	-0.4725467768329218	-0.3016849275108081	0.0417754282637657	-0.4725467768329218	-0.3437521883381257	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.1848432935646629	-0.341112327286896	-0.1988834648008192	-0.4725467768329218	0.0817006863746353	-0.2149780831985417	-0.4725467768329218	0.1186546222448778	-0.3542670955947193	-0.4725467768329218	-0.4725467768329218	-0.4725467768329218	-0.0333170058348536	-0.4725467768329218	-0.0451275045099641	-0.4725467768329218	-0.1063803674919505	-0.4725467768329218	6.000379425114753	0.6745564970142918	-0.2321835499344345	-0.4725467768329218	-0.4725467768329218	2.6412120953556046	0.1014723978793567	-0.2889395996755829	-0.4725467768329218	0.4718672918972927	0.6970953929544158	-0.305028880944216	0.2914143146381353	-0.4725467768329218	-0.4725467768329218	0.207704492179345
ox-LDL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SGK1	1.4920862873601437	0.7074881402098414	1.5605785019352882	1.177801742601052	-0.8212972391519656	-1.3629958112437517	-0.9696710890425106	-1.2924784663483888	-1.1561821173485258	0.4239380130851934	0.9668774214774124	-0.7997049835644975	1.9897302885007304	0.4571499862778446	-0.6706420311779508	1.0856196393020396	-1.048296917113053	-1.2815767400481524	-1.2204236090262293	-0.8962215568539773	-1.1682327404610005	-0.6360397096420177	-0.4100868071307281	0.4949129783929739	2.1749169414160887	1.85545205759446	1.9481638224428504	0.5637063985939198	-1.2143794299547903	-1.3432791763610712	0.7057022720621179	-1.230453698891823	0.2849315517169815	0.6461505110853417	0.5937623385735545	0.2428569226980601	-0.7550169912895504	1.4426678351875175	-1.1099730199541358	0.9323713891127654	-1.0123855298730344	-0.9877144669234597	0.4350051000083594	0.7872378708321941	0.7619516722599607	-0.3977712150342678	0.4462548979338205	1.2808077112585246	2.168682467075711	0.2261753477707585	0.7770438442037744	1.5923752483539346	0.7296670411728982	0.2196269326244904	-1.2540345599938052	-1.2665044288852472	-1.2429700484297124	-0.133439203336459	-0.9021578362921924	-1.242305127195718	-0.8617882530792026	-0.4091650685962309	-0.4974623043868955	-0.4879243242234921	-1.0890765315007689	0.6837011794571634	0.3596790271374024	-0.6419932530654886	-0.7557514162735678	1.352725020640773	-1.2116895220351238	1.1689462248352518	1.3978039164367733	1.0314756363396829	1.1548433946486665	0.614839468146889	-0.6119154886322692	0.3961578288429556	-1.2397223722824904	-0.645837057779898	-0.2758456558570222	-0.2267687697083157	1.0616057275148747	-0.6307612859500764	-0.9856315757986892	0.2565207024364722	0.6413031920689327	-0.005761575411888	0.3814631690844291	0.0252180525694101	-0.2905324091566577	-1.0021742173425616	-0.81389118306577	-0.4977230727987229	-0.23615597274925	1.765318905071283	1.7899941946047522	1.8353298210281488	1.6779038058276052	-1.3359174904976892	-0.2522598365248227	-0.1001879147539586	0.9259961123985008	-1.0745548725128553	-0.7880964992350807	0.7717027431174767	-0.4516459193581343	-0.1293785871145767	0.1391437717538351	-1.0082114773615272	0.9406597026453988	-1.3793710794304734	-1.2908703642330128	0.1219485116656049	-0.5845211358430842	-0.0805183771139073	-0.4676608995184329	-1.1372119292323202	0.6736812698320863	-1.0154423082326829
FZD9	-0.4871073376271472	-0.8473781222197517	0.8679303053365017	1.7523422422100612	-1.0208248738491992	-0.6582827763468599	-0.4972935794485373	0.0984618805438123	-0.056369115362792	-0.8336012641732055	0.1444506379254088	0.3803806223272102	-0.9783779326733304	-0.5039397478503621	-0.8300319480724572	-0.6781617527440507	-0.1896001351163432	-0.959630724105745	0.4714032285916464	-0.9607658257701092	-0.2984990617854019	-0.6468842854487743	-0.8979554609121719	-0.9425920549242336	0.5317294613339107	0.2685109625047516	1.1159116932876678	2.1945318801247344	-0.8404775745911347	0.929263291129608	-0.197387575092071	-0.888034775251994	-0.0442141388030686	2.183222833268725	0.8218067997364013	-0.5350212696467687	-0.6141902792843278	-1.006136487545058	-0.5414336792059692	0.6707467496733293	-1.015466634707621	2.640028041916981	0.7618583082962118	-0.8342354418525575	-0.7318010603792686	-1.030412742144441	-0.8862236946548211	-1.0094456208293263	0.4436801789639668	-0.5296406318151672	2.329133198412487	-0.4966702340304967	0.5497431687392345	0.4457547641399361	-0.970524631294552	-1.0169417040821145	-0.9723607590895188	-0.2498609876008023	2.358729193485804	-0.9481224400150058	0.6511922479606506	-0.6427418576603247	-0.3963661283710405	-0.6067411275746167	-0.4690371818606899	-0.3686860804678174	-0.3218347164850729	0.0353613434009109	-0.601372044297072	3.0427669621142552	-0.9366917126551084	-0.3161400205647003	-0.0268807892190385	0.47312566172228	-0.4963896461345661	-0.6970620352054462	2.311262018857958	1.9344161989078157	-1.009247779026584	2.018717988385368	-0.5280985338666752	2.5011890163518165	-0.6873934112678162	-0.5042762861428077	-0.2897030803913363	0.580879407955058	0.0363394241447679	0.5981762780395427	-0.3725325936909852	-0.0105331206528196	-0.0342651677578445	-0.9851773801273316	-0.2047995953023277	-0.762323736918719	-0.1315481113168429	0.6840018278291413	2.149977985347436	-0.0890184880418228	0.2006003146964722	-0.2045594002612882	-0.5642026873499332	0.1486099568848132	-0.9663909299059118	-1.0238857877587553	0.4736546446186718	1.5016762429125128	0.8166062278381817	0.9672535361606828	1.021435155459421	-0.8799858618209608	0.4458911724042738	2.095327622773315	-0.7313844026817305	-0.3552053298563554	-0.4261159946749255	-0.9833755896483676	-0.9160013046893832	1.119882343207657	-0.7067246965089967	-0.8753720494188246
SNAP23	0.7541166890065152	1.280130735507537	1.2607224118652156	0.9276031300336468	0.8996715294091343	-0.3393327882748089	-0.2647992676500881	-0.5221014455805122	1.0762334084277236	-0.0150132331075298	-0.6689739986342421	-0.3002163978218558	-1.0749828441664646	-1.2005751647975231	-1.9151894607629587	-0.3130246849208352	-0.5948969228791787	-0.9166552494401964	1.2419951218191396	-0.198860095185303	0.2386990891907746	0.0083958954122406	-0.0691877016742146	0.9981637538267892	-1.0680432084181226	1.0540056997833134	0.714288520438103	1.7298693476886455	0.4921665681647986	-0.2228838673658024	-0.1842723169224443	-1.8105355796305944	0.7050909061996268	1.2895146489724632	-0.2832261366899874	1.2953921306664502	-3.291198744320949	-0.3639433476462191	0.2175502211093438	0.7144180656825226	-0.3595837412475184	0.4027011843310834	0.0601807552483125	-0.5721728447297902	-0.5939676010949279	-0.1858387741528865	-0.7892982000461919	-0.0379855106102934	0.6692642708512749	1.5700423961121464	1.018810548556303	1.70158978677813	-0.8336297508638839	-1.342990483053477	0.9504329040308724	1.385142319763794	-2.138185961972649	1.5531160521320244	-2.545219387780213	0.8143391021648189	0.7724156256794346	-2.1668620493412263	0.762781039892292	-0.0897634084300941	-1.598775605525625	0.675646886524172	0.7426216520366662	0.8643053260007896	0.8857089275138027	0.6272661623244048	0.5168191623137904	1.1475136599992246	0.798649966862256	0.4188359341828068	1.10804386423881	-1.0710151230153724	-1.4107205495782795	-0.1937760227911439	1.757654673711877	0.3832241695180687	-0.9193969653111396	0.1486940492475238	-1.3289628188817806	-0.3666908723142331	0.1245321570629642	-0.4838944355779584	-0.6247515927998131	-0.3255598192139494	-0.8014729829659003	0.2621964814271168	-1.1530957029267592	-0.2331276288328711	-0.8215293594114275	-0.1639467690535859	0.0420026171473881	-0.7960525540792176	2.1502530757010105	-1.3413845765299417	1.2171225688831466	1.086193948825653	0.2579326372155349	-0.754012294773778	1.050439971326435	0.1967040824397361	0.1880158234217304	-0.965606275288434	1.954613302969844	0.5493381085709094	0.1643690932861972	-1.5419140043736357	-0.4603569684175383	-0.280448078783797	-0.6908187940710829	-0.758466175374935	0.5026898019357107	-0.4288303403903248	-0.5113937693647133	-0.5773082036311296	0.0995574012732683	-0.6030709122141223
TLR4	-0.3319649217636824	-0.212253408490203	0.5238209246636802	2.990832531538518	-0.5770451979374659	-0.6578980148621001	-0.6247043656860974	-0.6560380736434948	-0.6194337099292935	-0.6048902057233652	-0.1203428783720645	-0.1384874037581908	-0.6687990437018336	-0.037839658452835	-0.2522102686776519	-0.6556335143317964	-0.6393638901592897	0.8921587894335691	-0.6449296348435155	-0.6104823215548151	-0.6511385209569117	1.439529316970119	-0.6007507355695546	2.038468600975501	1.0034679466634375	0.1065829347298306	0.1059801805915833	0.9998250223077184	-0.6430476748856797	-0.6176199551161397	-0.6504560054211359	-0.6363282354480457	0.3551016758700208	-0.567627267814257	-0.6643223569101793	-0.6582460096545373	-0.6438046277791334	-0.6142122528897552	-0.6639072558657276	-0.6705080877006616	-0.6672683125445692	-0.6518766443823231	1.302280834873299	0.4955678986390482	2.44400886823311	2.711593583193525	1.4357151209132375	2.73672069869542	-0.6587018132295448	1.7492285580417517	2.513102700001614	2.279888332935421	-0.655057112234712	-0.6203850780461442	-0.6533554451981233	-0.623093379620034	1.02833884537823	-0.6399724127557029	-0.6098686002126251	-0.6373519699128788	-0.6664910852422492	-0.6674537589568441	0.3031306160228413	-0.5371349104829796	0.8819915342975394	-0.6655045414411002	-0.5365591444698867	-0.3561550090983233	-0.0924615947225301	-0.5266123417565948	-0.0553572599468127	0.2447744713753119	1.6776413906200234	-0.6443535505462601	2.241596661675849	-0.5525218103843813	-0.570137237370748	0.214256399335552	-0.6567735760452886	-0.6107673154079738	-0.6430923453663591	-0.6351675553025252	2.3312198961729247	0.3618669016336025	-0.6654177213102136	-0.5810981117366694	-0.1517458002407234	-0.6674833987648098	-0.6657853339345321	-0.4976729644876057	-0.4059676691186482	-0.5785808279669541	-0.6646337626573965	1.6233432137684234	-0.1899824194998544	-0.6193062907571947	2.085042252605169	-0.2528944537022856	0.1792719982489313	-0.6591040240795644	-0.5418325338434913	-0.6286792467216503	-0.2626235044473392	-0.602220949999135	-0.6536841534251228	-0.5666892957295702	-0.6705080877006616	1.885902294777056	-0.5353604912976799	-0.6394553525033679	-0.6688535768127514	-0.6432734001145656	-0.6476327792943766	-0.563403284053411	-0.5148977792824615	1.6107066430861343	0.0716728845654124	2.260853375547454	-0.6663610482490803	-0.5525763340728178
