Row	viability
CIT_1	1.0911
CIT_2	0.85
CIT_3	0.975
CIT_4	0.85
CIT_5	0.82
CIT_6	0.48
CIT_7	0.53
CIT_8	0.31
CIT_9	1.069
CIT_10	1.129
CIT_11	1.293
CIT_12	1.131
CIT_13	0.88
CIT_14	0.57
CIT_15	0.37
CIT_16	0.24
CIT_17	1.252
CIT_18	0.971
CIT_19	1.147
CIT_20	0.74
CIT_21	0.77
CIT_22	0.54
CIT_23	0.46
CIT_24	0.26
CIT_25	0.78
CIT_26	0.85
CIT_27	1.0663
CIT_28	1.0175
CIT_29	1.0825
CIT_30	1.112
CIT_31	1.0718
CIT_32	0.76
CIT_33	1.171
CIT_34	1.0402
CIT_35	1.199
CIT_36	0.912
CIT_37	0.65
CIT_38	0.52
CIT_39	0.41
CIT_40	0.23
CIT_41	0.82
CIT_42	0.99932
CIT_43	0.89
CIT_44	1.0155
CIT_45	0.87
CIT_46	0.927
CIT_47	0.65
CIT_48	0.58
CIT_49	0.8
CIT_50	0.953
CIT_51	0.945
CIT_52	1.0432
CIT_53	0.906
CIT_54	0.84
CIT_55	0.5
CIT_56	0.37
CIT_57	1.0351
CIT_58	0.942
CIT_59	1.0605
CIT_60	0.9935
CIT_61	0.79
CIT_62	0.69
CIT_63	0.55
CIT_64	0.47
CIT_65	1.124
CIT_66	1.0571
CIT_67	1.0487
CIT_68	1.0328
CIT_69	0.961
CIT_70	0.75
CIT_71	0.68
CIT_72	0.55
CIT_73	0.903
CIT_74	0.934
CIT_75	0.87
CIT_76	0.82
CIT_77	0.7
CIT_78	0.74
CIT_79	0.65
CIT_80	0.57
CIT_81	0.977
CIT_82	0.949
CIT_83	1.0029
CIT_84	0.972
CIT_85	1.0701
CIT_86	1.0457
CIT_87	0.79
CIT_88	0.63
CIT_89	1.0383
CIT_90	1.0464
CIT_91	1.0234
CIT_92	0.89
CIT_93	0.58
CIT_94	0.32
CIT_95	0.29
CIT_96	0.31
CIT_97	0.901
CIT_98	0.932
CIT_99	0.976
CIT_100	0.89
CIT_101	0.86
CIT_102	0.79
CIT_103	0.7
CIT_104	0.64
CIT_105	0.83
CIT_106	0.86
CIT_107	0.89
CIT_108	0.85
CIT_109	0.85
CIT_110	0.74
CIT_111	0.42
CIT_112	0.22
CIT_113	1.0154
CIT_114	1.0252
CIT_115	1.0116
CIT_116	1.0186
CIT_117	0.9944
CIT_118	0.962
CIT_119	0.9
CIT_120	0.902
CIT_121	1.0865
CIT_122	0.983
CIT_123	1.0241
CIT_124	1.0812
CIT_125	1.0386
CIT_126	0.99918
CIT_127	0.905
CIT_128	0.87
CIT_129	1.0037
CIT_130	0.903
CIT_131	0.92
CIT_132	0.9
CIT_133	0.87
CIT_134	0.8
CIT_135	0.82
CIT_136	0.75
CIT_137	0.988
CIT_138	1.0316
CIT_139	0.937
CIT_140	0.937
CIT_141	1.0632
CIT_142	1.0546
CIT_143	1.0726
CIT_144	1.0806
CIT_145	0.967
CIT_146	1.0832
CIT_147	1.0239
CIT_148	1.0412
CIT_149	0.946
CIT_150	0.86
CIT_151	0.915
CIT_152	0.65
CIT_153	1.0027
CIT_154	0.969
CIT_155	0.911
CIT_156	0.85
CIT_157	0.92
CIT_158	0.945
CIT_159	0.84
CIT_160	0.81
CIT_161	0.908
CIT_162	0.912
CIT_163	0.85
CIT_164	0.938
CIT_165	0.9925
CIT_166	0.947
CIT_167	0.924
CIT_168	0.68
CIT_169	1.017
CIT_170	1.159
CIT_171	1.0435
CIT_172	1.0646
CIT_173	1.19
CIT_174	1.0297
CIT_175	1.0286
CIT_176	0.985
CIT_177	1.0853
CIT_178	1.134
CIT_179	0.9937
CIT_180	1.1
CIT_181	1.0074
CIT_182	1.0554
CIT_183	1.0788
CIT_184	0.973
CIT_185	0.929
CIT_186	1.256
CIT_187	0.9973
CIT_188	1.184
CIT_189	0.968
CIT_190	0.987
CIT_191	1.0011
CIT_192	0.98
CIT_193	0.958
CIT_194	0.965
CIT_195	0.916
CIT_196	0.927
CIT_197	1.0558
CIT_198	1.33
CIT_199	0.86
CIT_200	0.955
CIT_201	0.988
CIT_202	0.956
CIT_203	0.933
