Data	Function	Rep	Type	Value
independentDeActivation.tsv	A	2	Param 3	7.69e-07
independentDeActivation.tsv	I	0	r	0.999978985
independentDeActivation.tsv	I	0	Param 1	0.957494929
independentDeActivation.tsv	I	0	Param 2	0.480511991
independentDeActivation.tsv	I	0	Param 3	0.954320113
independentDeActivation.tsv	I	1	r	0.999978766
independentDeActivation.tsv	I	1	Param 1	0.662750935
independentDeActivation.tsv	I	1	Param 2	0.332395007
independentDeActivation.tsv	I	1	Param 3	0.660599029
independentDeActivation.tsv	I	2	r	0.999978929
independentDeActivation.tsv	I	2	Param 1	0.680644944
independentDeActivation.tsv	I	2	Param 2	0.341534303
independentDeActivation.tsv	I	2	Param 3	0.67839635
independentDeActivation.tsv	CA	0	r	-0.119983815
independentDeActivation.tsv	CA	0	Param 1	0.428197637
independentDeActivation.tsv	CA	0	Param 2	0.967117051
independentDeActivation.tsv	CA	1	r	-0.120041458
independentDeActivation.tsv	CA	1	Param 1	0.404896785
independentDeActivation.tsv	CA	1	Param 2	0.925161211
independentDeActivation.tsv	CA	2	r	-0.120134538
independentDeActivation.tsv	CA	2	Param 1	0.382498641
independentDeActivation.tsv	CA	2	Param 2	0.888226892
independentDeActivation.tsv	CI	0	r	0.913380663
independentDeActivation.tsv	CI	0	Param 1	0.523738486
independentDeActivation.tsv	CI	0	Param 2	0.227463142
independentDeActivation.tsv	CI	0	Param 3	0.976837403
independentDeActivation.tsv	CI	0	Param 4	0.111075713
independentDeActivation.tsv	CI	1	r	0.912970389
independentDeActivation.tsv	CI	1	Param 1	0.866907236
independentDeActivation.tsv	CI	1	Param 2	0.37174091
independentDeActivation.tsv	CI	1	Param 3	0.994550924
independentDeActivation.tsv	CI	1	Param 4	0.111001579
independentDeActivation.tsv	CI	2	r	0.912994207
independentDeActivation.tsv	CI	2	Param 1	0.490578907
independentDeActivation.tsv	CI	2	Param 2	0.210082779
independentDeActivation.tsv	CI	2	Param 3	0.993587099
independentDeActivation.tsv	CI	2	Param 4	0.110955811
cooperativeActivation.tsv	A	0	r	0.883706329
cooperativeActivation.tsv	A	0	Param 1	0.453936938
cooperativeActivation.tsv	A	0	Param 2	0.628094503
cooperativeActivation.tsv	A	0	Param 3	0.551432267
cooperativeActivation.tsv	A	1	r	0.875492842
cooperativeActivation.tsv	A	1	Param 1	0.344206842
cooperativeActivation.tsv	A	1	Param 2	0.535736751
cooperativeActivation.tsv	A	1	Param 3	0.508498116
cooperativeActivation.tsv	A	2	r	0.884135743
cooperativeActivation.tsv	A	2	Param 1	0.530389718
cooperativeActivation.tsv	A	2	Param 2	0.742589932
cooperativeActivation.tsv	A	2	Param 3	0.644542256
cooperativeActivation.tsv	I	0	r	0.683866625
cooperativeActivation.tsv	I	0	Param 1	0.998697929
