	A	I	CA	CI
A	0.9999997376666667	0.650055622	0.8372619920000001	0.65002801
I	0.6163975336666666	0.9999788933333335	-0.12005327033333334	0.9131150863333334
CA	0.881111638	0.683949679	0.999999672	0.6840308589999999
CI	0.597835497	0.8880171336666667	-0.146138366	0.9999993053333333
