	Sigmoid	ReLU	MML
A	0.9982224642123537	0.9965776199311203	0.9997496503446577
I	0.9962646051477491	0.9975319165016876	0.9996587028698898
CA	0.9952776112986035	0.9769442694322663	0.9884595917500398
CI	0.9977235207628867	0.9888883050014531	0.9941412998523041
