	Sigmoid	ReLU	MML
A	0.9868365644836887	0.9209382410718232	0.9944476564578988
I	0.9923690413405449	0.9827820441082904	0.9981372796069948
CA	0.9188099369610278	0.9132604168089804	0.9195218818837384
CI	0.9396432698774497	0.9192661184154364	0.919239840959805
