source	target	direction	stimulation	inhibition	sources	references
P12931	Q14790	1	0	1	MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet	ProtMapper:16619028;ProtMapper:19383910;ProtMapper:19470771;ProtMapper:22074016;ProtMapper:24100030;ProtMapper:27109099;ProtMapper:27195913;ProtMapper:27432652;ProtMapper:30501030;SIGNOR:16619028;iPTMnet:16619028;iPTMnet:24100030
P12931	Q9H5V8	1	0	0	DOMINO;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;IntAct;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet;phosphoELM_MIMP	DOMINO:15851033;HPRD-phos:14739293;HPRD:14739293;IntAct:15851033;IntAct:21725358;KEA:14739293;KEA:15851033;PhosphoSite:15851033;PhosphoSite:18269919;PhosphoSite:23300860;PhosphoSite:25728678;PhosphoSite:25876044;ProtMapper:14739293;ProtMapper:15851033;ProtMapper:21397667;ProtMapper:23300860;ProtMapper:25876044;SIGNOR:14739293;iPTMnet:14739293
P12931	P19022	1	0	1	ACSN;KEA;MIMP;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	ACSN:15782139;ACSN:16371504;ACSN:16492141;ACSN:9278444;ACSN:9592087;KEA:10502299;KEA:16371504;PhosphoSite:16371504;PhosphoSite:28163245;ProtMapper:16371504;SIGNOR:16371504;iPTMnet:16371504;phosphoELM:16371504
P12931	P33151	1	1	0	HPRD;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet;phosphoELM_MIMP	HPRD:16027153;InnateDB:22648953;KEA:16027153;PhosphoSite:16027153;PhosphoSite:16909109;PhosphoSite:21037229;PhosphoSite:22897853;PhosphoSite:25447529;PhosphoSite:26504080;PhosphoSite:28712573;ProtMapper:16027153;ProtMapper:16909109;ProtMapper:19644057;ProtMapper:20708398;ProtMapper:21123455;ProtMapper:24136461;ProtMapper:24358106;ProtMapper:24446483;ProtMapper:24525631;ProtMapper:24583284;ProtMapper:24590762;ProtMapper:25675998;ProtMapper:25924235;ProtMapper:26598555;ProtMapper:26905827;ProtMapper:27381080;ProtMapper:28057793;ProtMapper:28119542;ProtMapper:29326721;SIGNOR:16909109;iPTMnet:16027153;iPTMnet:16909109
P12931	P46527	1	0	1	HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;dbPTM;iPTMnet;phosphoELM;phosphoELM_MIMP	HPRD-phos:17254967;HPRD:17254967;KEA:17254967;ProtMapper:17254967;ProtMapper:18627125;ProtMapper:20519948;ProtMapper:21045138;ProtMapper:28522571;ProtMapper:28882106;ProtMapper:29899857;SIGNOR:17254967;iPTMnet:17254967;phosphoELM:17254967
P12931	P23528	1	0	1	Adhesome;HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM_MIMP	Adhesome:19802004;PhosphoSite:19802004;ProtMapper:19802004;SIGNOR:19802004;iPTMnet:19802004
P12931	P52757	1	0	1	MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet	ProtMapper:17560670;SIGNOR:17560670;iPTMnet:17560670
P12931	P35222	1	1	0	ACSN;HPRD;HPRD_KEA;HPRD_MIMP;KEA;KEGG;Kinexus_KEA;MIMP;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	ACSN:10593980;ACSN:12123611;ACSN:15782139;ACSN:16039586;ACSN:16099633;ACSN:16492141;ACSN:17143292;ACSN:17496910;ACSN:19029934;ACSN:19171760;ACSN:19619488;ACSN:19734908;ACSN:22007144;ACSN:22203675;ACSN:22370635;ACSN:23343194;ACSN:9278444;ACSN:9592087;HPRD:11279024;KEA:10593980;KEA:11279024;PhosphoSite:17087658;PhosphoSite:20026641;PhosphoSite:22056988;ProtMapper:10593980;ProtMapper:11279024;ProtMapper:11836526;ProtMapper:12408824;ProtMapper:12571228;ProtMapper:14517306;ProtMapper:16831887;ProtMapper:20840866;ProtMapper:21195420;ProtMapper:21903109;ProtMapper:22056988;ProtMapper:22200182;ProtMapper:22247700;ProtMapper:22264731;ProtMapper:22515442;ProtMapper:22605996;ProtMapper:23476652;ProtMapper:23640056;ProtMapper:23824743;ProtMapper:24816560;ProtMapper:25041845;ProtMapper:25164010;ProtMapper:25423132;ProtMapper:25850673;ProtMapper:26453937;ProtMapper:26918136;ProtMapper:27177845;ProtMapper:27203386;SIGNOR:11279024;SIGNOR:22056988;iPTMnet:11279024;iPTMnet:22056988;iPTMnet:23640056;phosphoELM:11279024
P12931	P29317	1	0	1	ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet	ProtMapper:24457997;ProtMapper:26788993;ProtMapper:28957431;SIGNOR:24457997;iPTMnet:24457997
P03372	P12931	1	0	0	BioGRID;HPRD;IntAct;KEGG;Li2012;Lit-BM-17;NetPath;Wang	BioGRID:15784253;HPRD:12736255;HPRD:15140878;HPRD:7539106;IntAct:14963108;IntAct:23065768;Lit-BM-17:11013076;Lit-BM-17:12630920;Lit-BM-17:14766010;Lit-BM-17:14963108;Lit-BM-17:15020686;Lit-BM-17:15784253;Lit-BM-17:16957778;Lit-BM-17:17284441;Lit-BM-17:17400812;Lit-BM-17:17627277;Lit-BM-17:17921256;Lit-BM-17:23065768;NetPath:11032808
P12931	P03372	1	1	0	BioGRID;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;IntAct;KEA;KEGG;Li2012;Lit-BM-17;MIMP;NetPath;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	BioGRID:15784253;HPRD-phos:7539106;HPRD:12736255;HPRD:15140878;HPRD:7539106;IntAct:14963108;IntAct:23065768;KEA:7539106;Lit-BM-17:11013076;Lit-BM-17:12630920;Lit-BM-17:14766010;Lit-BM-17:14963108;Lit-BM-17:15020686;Lit-BM-17:15784253;Lit-BM-17:16957778;Lit-BM-17:17284441;Lit-BM-17:17400812;Lit-BM-17:17627277;Lit-BM-17:17921256;Lit-BM-17:23065768;NetPath:11032808;ProtMapper:22865929;ProtMapper:24487689;ProtMapper:25275301;ProtMapper:25364741;ProtMapper:27472465;ProtMapper:30148069;ProtMapper:9500442;SIGNOR:9500442;iPTMnet:7539106;iPTMnet:9500442;phosphoELM:7539106
P12931	P15311	1	1	0	Adhesome;HPRD_MIMP;KEA;MIMP;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	Adhesome:15623525;KEA:15623525;PhosphoSite:16438931;ProtMapper:14504278;ProtMapper:15623525;ProtMapper:15647376;ProtMapper:18078820;ProtMapper:18701134;ProtMapper:21818323;ProtMapper:22262457;ProtMapper:22397367;ProtMapper:24339867;ProtMapper:25231728;ProtMapper:28306714;SIGNOR:15623525;SIGNOR:15647376;SIGNOR:22397367;iPTMnet:15623525;iPTMnet:15647376;iPTMnet:22397367;phosphoELM:15623525
P68400	P42768	1	1	0	HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	HPRD-phos:12769847;HPRD-phos:18088087;HPRD:12769847;KEA:10068673;KEA:12235133;KEA:12769846;KEA:12769847;KEA:15592455;KEA:18088087;KEA:9742969;PhosphoSite:12769847;ProtMapper:12769847;SIGNOR:12769847;iPTMnet:12769847;iPTMnet:18088087;phosphoELM:12769847
P12931	Q9UKT4	1	1	0	MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet	PhosphoSite:20717963;ProtMapper:20717963;SIGNOR:20717963;iPTMnet:20717963
P12931	P35916	1	1	0	HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;dbPTM;iPTMnet;phosphoELM_MIMP	PhosphoSite:20431062;ProtMapper:20431062;SIGNOR:20431062;dbPTM:12881528;dbPTM:16076871;dbPTM:18083107;dbPTM:20431062;iPTMnet:20431062
P12931	Q13480	1	1	0	Adhesome;HPRD_MIMP;Li2012;MIMP;NCI-PID_ProtMapper;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_MIMP	Adhesome:12808090;PhosphoSite:15574420;ProtMapper:12941962;ProtMapper:19881549;ProtMapper:21442024;ProtMapper:26706435;SIGNOR:19881549;iPTMnet:19881549
P12931	P17302	1	0	1	ACSN;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet;phosphoELM_KEA;phosphoELM_MIMP	ACSN:10679481;ACSN:10871288;ACSN:15534005;ACSN:15782139;ACSN:16492141;ACSN:9278444;ACSN:9592087;HPRD-phos:11514593;HPRD-phos:19901323;HPRD:11514593;HPRD:9278444;KEA:11514593;PhosphoSite:18065522;ProtMapper:11514593;ProtMapper:15350848;ProtMapper:16916748;ProtMapper:19284610;ProtMapper:21856279;ProtMapper:22342665;ProtMapper:23596415;ProtMapper:23718910;ProtMapper:24508467;ProtMapper:24670366;ProtMapper:26706150;ProtMapper:27280719;ProtMapper:29587860;ProtMapper:30095367;ProtMapper:30323740;SIGNOR:16916748;iPTMnet:11514593;iPTMnet:16916748;iPTMnet:19901323
