source	target	direction	stimulation	inhibition	sources	references
CHEBI15647	Q15722	1	1	0	HuGeSiM	
CHEBI15647	Q9NPC1	1	1	0	HuGeSiM	
CHEBI15367	P29762	1	1	0	HuGeSiM	
CHEBI15367	P29373	1	1	0	HuGeSiM	
CHEBI32957	Q92633	1	1	0	HuGeSiM	
CHEBI32957	Q9HBW0	1	1	0	HuGeSiM	
CHEBI32957	Q9UBY5	1	1	0	HuGeSiM	
CHEBI32957	Q99677	1	1	0	HuGeSiM	
CHEBI32957	Q9H1C0	1	1	0	HuGeSiM	
CHEBI32957	P43657	1	1	0	HuGeSiM	
CHEBI15551	P34995	1	1	0	HuGeSiM	
CHEBI15551	P43116	1	1	0	HuGeSiM	
CHEBI15551	P43115	1	1	0	HuGeSiM	
CHEBI15551	P35408	1	1	0	HuGeSiM	
CHEBI16412	O00206	1	1	0	HuGeSiM	
CHEBI16412	O60603	1	1	0	HuGeSiM	
CHEBI16412	P08571	1	1	0	HuGeSiM	
CHEBI60151	P78380	1	1	0	HuGeSiM	HuGeSiM:33182772
CHEBI60151	P16671	1	1	0	HuGeSiM	HuGeSiM:33182772
CHEBI60151	P08571	1	1	0	HuGeSiM	HuGeSiM:12424240
Q9NPH9	O60603	1	1	0	HuGeSiM	HuGeSiM:33057074
P01023	P11021	1	1	0	HuGeSiM	HuGeSiM:15908432
O95760	Q9NPH3	1	1	0	HuGeSiM	HuGeSiM:18827826
P53355	O43293	1	1	0	HPRD_MIMP;HuGeSiM;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;SPIKE;dbPTM;iPTMnet;phosphoELM_MIMP	HuGeSiM:15367680;KEA:11579085;SPIKE:15367680;dbPTM:15367680;dbPTM:15611134;iPTMnet:15367680
O43293	P10275	1	1	0	NetPath;SPIKE;Wang;HuGeSiM	NetPath:18084323;SPIKE:18084323;HuGeSiM:18084323
Q13464	O43293	1	1	0	KEA;Kinexus_KEA;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SPIKE;Sparser_ProtMapper;dbPTM;iPTMnet;phosphoELM_MIMP;HuGeSiM	KEA:15611134;PhosphoSite:20854903;ProtMapper:25769953;SPIKE:17158456;dbPTM:15611134;dbPTM:16325270;dbPTM:17158456;dbPTM:18239682;iPTMnet:17158456;HuGeSiM:17158456
Q16665	P04637	1	1	0	BioGRID;HPRD;HuGeSiM;SPIKE;Wang	BioGRID:12124396;BioGRID:15629713;HPRD:12124396;HPRD:9537326;HuGeSiM:9537326;SPIKE:16882692
Q92793	P10242	1	1	0	BioGRID;HPRD;Lit-BM-17;SPIKE;Wang;HuGeSiM	BioGRID:23980173;HPRD:12196545;Lit-BM-17:11073948;Lit-BM-17:14761981;Lit-BM-17:16055500;Lit-BM-17:16799563;Lit-BM-17:23980173;SPIKE:18585056;HuGeSiM:16055500
Q9UBE8	P10242	1	0	1	HPRD;HPRD_MIMP;MIMP;PhosphoPoint;PhosphoSite_MIMP;SPIKE;Wang;phosphoELM_MIMP;HuGeSiM	HPRD:15082531;HPRD:15308626;SPIKE:12482967;SPIKE:15082531;HuGeSiM:16055500
P48039	P50148	1	0	0	SPIKE;HuGeSiM	SPIKE:10598579;HuGeSiM:10598579
Q8IUQ4	Q9H2X6	1	0	1	ACSN;BioGRID;Lit-BM-17;SPIKE;HuGeSiM	ACSN:19607803;ACSN:19788416;ACSN:20682032;ACSN:21466614;ACSN:9403064;BioGRID:23503458;Lit-BM-17:18536714;Lit-BM-17:19043406;Lit-BM-17:19250734;Lit-BM-17:23503458;SPIKE:19788416;HuGeSiM:18536714
P08047	P36956	1	1	0	HPRD;SPIKE;HuGeSiM	HPRD:10224053;SPIKE:18068676;HuGeSiM:10224053
P06400	O00716	1	0	0	DIP;HPRD;IntAct;SPIKE;Wang;HuGeSiM	DIP:8657117;HPRD:7739537;HPRD:8832394;IntAct:10779361;IntAct:17380128;SPIKE:10779361;SPIKE:17488475;HuGeSiM:8657117
Q96J02	Q9H3D4	1	1	0	BioGRID;LMPID;Lit-BM-17;SPIKE;Wang;HuGeSiM	BioGRID:16908849;BioGRID:23370280;BioGRID:25485500;LMPID:20855944;Lit-BM-17:16908849;Lit-BM-17:20855944;Lit-BM-17:22935697;Lit-BM-17:23370280;Lit-BM-17:25485500;SPIKE:16861923;SPIKE:16908849;HuGeSiM:16908849
