code	name	TF	ligand
Q13905	RAPGEF1	False	False
Q96FS4	SIPA1	False	False
Q9H0E2	TOLLIP	False	False
Q8IZQ1	WDFY3	False	False
Q15796	SMAD2	False	False
Q8N5C8	TAB3	False	False
P36897	TGFBR1	False	False
P28908	TNFRSF8	False	False
Q9H3M7	TXNIP	False	False
P42226	STAT6	False	False
P19438	TNFRSF1A	False	False
P67809	YBX1	False	False
P06702	S100A9	False	False
Q96FJ0	STAMBPL1	False	False
Q07352	ZFP36L1	False	False
P61077	UBE2D3	False	False
P18206	VCL	False	False
Q9HAU4	SMURF2	False	False
O60603	TLR2	False	False
Q8NFZ5	TNIP2	False	False
Q8WV44	TRIM41	False	False
O14512	SOCS7	False	False
Q13077	TRAF1	False	False
O94972	TRIM37	False	False
P98170	XIAP	False	False
Q86XR7	TICAM2	False	False
P07437	TUBB	False	False
Q9NQB0	TCF7L2	True	False
Q9Y4K3	TRAF6	False	False
Q15819	UBE2V2	False	False
P09327	VIL1	False	False
P10586	PTPRF	False	False
O15211	RGL2	False	False
Q96EQ8	RNF125	False	False
O15304	SIVA1	False	False
O75886	STAM2	False	False
O95793	STAU1	False	False
Q9P0N9	TBC1D7	False	False
Q9UKW4	VAV3	False	False
O14746	TERT	False	False
O14836	TNFRSF13B	False	False
Q03405	PLAUR	False	False
Q00653	NFKB2	True	False
P17948	FLT1	False	False
Q8NEB9	PIK3C3	False	False
P0CG48	UBC	False	False
P36873	PPP1CC	False	False
Q13009	TIAM1	False	False
Q9UHF0	TAC3	False	False
O75044	SRGAP2	False	False
Q86WV6	STING1	False	False
P30530	AXL	False	False
O43541	SMAD6	False	False
Q9Y265	RUVBL1	False	False
Q9C0K7	STRADB	False	False
A7MCY6	TBKBP1	False	False
Q8IYT8	ULK2	False	False
Q9BRL6	SRSF8	False	False
Q92844	TANK	False	False
Q9NYJ8	TAB2	False	False
Q9Y2W2	WBP11	False	False
Q92835	INPP5D	False	False
Q07889	SOS1	False	False
P11831	SRF	False	False
P43489	TNFRSF4	False	False
Q15654	TRIP6	False	False
P29597	TYK2	False	False
P06239	LCK	False	False
Q6R327	RICTOR	False	False
Q15382	RHEB	False	False
P15923	TCF3	True	False
Q93009	USP7	False	False
P40763	STAT3	True	False
Q07011	TNFRSF9	False	False
O43914	TYROBP	False	False
P40337	VHL	False	False
O15524	SOCS1	False	False
Q6GPH4	XAF1	False	False
O00308	WWP2	False	False
P62753	RPS6	False	False
O00141	SGK1	False	False
O43791	SPOP	False	False
P36406	TRIM23	False	False
Q14258	TRIM25	False	False
Q9Y2Z0	SUGT1	False	False
O60602	TLR5	False	False
Q12931	TRAP1	False	False
Q9BUZ4	TRAF4	False	False
P62837	UBE2D2	False	False
