code	name	TF	ligand
Q03431	PTH1R	False	False
P34130	NTF4	False	True
Q13501	SQSTM1	False	False
P07585	DCN	False	True
Q15465	SHH	False	True
Q9UD71	PPP1R1B	False	False
P12644	BMP4	False	True
P33681	CD80	False	True
Q8N726	CDKN2A	False	False
P23560	BDNF	False	True
P11802	CDK4	False	False
Q07812	BAX	False	False
P35070	BTC	False	True
P10398	ARAF	False	False
P49407	ARRB1	False	False
Q6ZUJ8	PIK3AP1	False	False
P30556	AGTR1	False	False
Q8WV28	BLNK	False	False
Q00535	CDK5	False	False
Q9NZN5	ARHGEF12	False	False
P56945	BCAR1	False	False
P32238	CCKAR	False	False
Q92851	CASP10	False	False
Q8NHW4	CCL4L1/CCL4L2	False	True
Q92793	CREBBP	False	False
Q8NER5	ACVR1C	False	False
P15514	AREG	False	True
P00519	ABL1	False	False
P12830	CDH1	False	False
Q9BZW8	CD244	False	False
P42081	CD86	False	True
P01730	CD4	False	False
P20749	BCL3	True	False
O43521	BCL2L11	False	False
P10415	BCL2	False	False
Q14289	PTK2B	False	False
P32927	CSF2RB	False	False
P10321	HLA-C	False	True
P48357	LEPR	False	False
Q05655	PRKCD	False	False
P43628	KIR2DL3	False	False
P14921	ETS1	True	False
Q05513	PRKCZ	False	False
Q5VWK5	IL23R	False	False
P29317	EPHA2	False	False
Q9UPT6	MAPK8IP3	False	False
Q13480	GAB1	False	False
P60953	CDC42	False	False
P55957	BID	False	False
Q9H257	CARD9	False	False
P10747	CD28	False	False
O15169	AXIN1	False	False
Q14185	DOCK1	False	False
O14727	APAF1	False	False
P30411	BDKRB2	False	False
P25101	EDNRA	False	False
P01189	POMC	False	True
O60716	CTNND1	False	False
P08311	CTSG	False	True
P20963	CD247	False	False
Q9GZV9	FGF23	False	True
P46527	CDKN1B	False	False
P20827	EFNA1	False	True
P36888	FLT3	False	False
P32239	CCKBR	False	False
P01350	GAST	False	True
Q14790	CASP8	False	False
Q06187	BTK	False	False
P80075	CCL8	False	True
P02452	COL1A1	False	True
P21802	FGFR2	False	False
Q96KP1	EXOC2	False	False
Q05397	PTK2	False	False
Q7Z4P5	GDF7	False	True
P05198	EIF2S1	False	False
P01574	IFNB1	False	True
O75582	RPS6KA5	False	False
P08581	MET	False	False
Q14623	IHH	False	True
P24394	IL4R	False	False
P28482	MAPK1	False	False
P28324	ELK4	True	False
Q14344	GNA13	False	False
Q99683	MAP3K5	False	False
P63096	GNAI1	False	False
Q14164	IKBKE	False	False
P08700	IL3	False	True
P25963	NFKBIA	True	False
P08476	INHBA	False	True
Q9NWZ3	IRAK4	False	False
P17612	PRKACA	False	False
P98177	FOXO4	True	False
P46940	IQGAP1	False	False
P01042	KNG1	False	True
P42345	MTOR	False	False
O14944	EREG	False	True
Q9UJU2	LEF1	True	False
Q13158	FADD	False	False
P01215	CGA	False	True
P06213	INSR	False	False
P04439	HLA-A	False	True
Q96J02	ITCH	False	False
Q13568	IRF5	True	False
Q8N752	CSNK1A1L	False	False
O43524	FOXO3	True	False
P43405	SYK	False	True
Q16584	MAP3K11	False	False
P41159	LEP	False	True
Q14005	IL16	False	True
Q9NSA1	FGF21	False	True
P09038	FGF2	False	True
P49771	FLT3LG	False	True
P01889	HLA-B	False	True
P40189	IL6ST	False	False
P01583	IL1A	False	True
P04626	ERBB2	False	False
P11362	FGFR1	False	False
