	fit	reference
0	0.5525729375919467	0.5829784843584032
1	0.8342036801990879	0.8168489380662272
2	0.9575672452973061	0.9376366916287414
3	1.0042770617025498	1.002247548727457
4	1.022793599430619	1.0231923834382204
5	1.0295123056334574	1.0325973508238433
6	1.0336546868140555	1.0379396935851142
7	1.0362510761518473	1.0413842222121394
8	0.8337612117518253	0.8152856842640066
9	0.9573931514639781	0.9367694869622476
10	1.0041957368874184	1.0017695112244454
11	1.0227930620895849	1.0228533572510268
12	1.0295118523455815	1.0323129760599308
13	1.0336542817882357	1.037684220260981
14	1.036250699991417	1.0411465607314943
15	-0.00028573263355055644	-0.00017748781894621145
16	-0.00028538598991986936	-0.0001345581933859701
17	0.957218646537606	0.9358522383123635
18	1.0041142808956998	1.0012565553836956
19	1.0227511723292868	1.0224876000296346
20	1.0295113990522757	1.032005167830504
21	1.0336538767578296	1.0374070865295237
22	1.0362503238268816	1.0408883444711188
23	-0.00028950502034225757	-0.0001795238026753575
24	-0.00028917871446763524	-0.00013784563186116457
25	-0.0002606615620250598	-8.984597710058018e-05
26	1.0040326934097565	1.0007397076841014
27	1.022696904895205	1.0221195015874298
28	1.0295109457535399	1.0316955528380662
29	1.0336534717228374	1.0371284096157873
30	1.0362499476582419	1.0406287405108352
31	-0.0002921118397205247	-0.0001811067672753199
32	-0.0002917962010207685	-0.0001402705455825323
33	-0.0002645802679725791	-9.426280410973171e-05
34	0.013048059613704102	-3.671050450864483e-05
35	1.0226425659729093	1.0217490393729198
36	1.0295104924493743	1.031384115127871
37	1.033653066683259	1.0368481765942774
38	1.0362495714854971	1.0403677376338853
39	-0.0002939874710016149	-0.00018232184620469154
40	-0.0002936782906216486	-0.00014206939532090872
41	-0.00026718460047698563	-9.729856082573437e-05
42	-0.00023209084577625357	-4.333333376756641e-05
43	0.9820024384124908	0.9807966320190055
44	1.0228490164850763	1.0310992355458963
45	1.0336181248592926	1.0365917999452934
46	1.0362172197927333	1.0401289235701778
47	-0.00029508378042083675	-0.00018305756321087646
48	-0.0002947779919770512	-0.00014313577150612325
49	-0.00026864815717859844	-9.902347461447899e-05
50	-0.00023442672514557015	-4.687336098456464e-05
51	0.9154829362469205	0.9215739574659285
52	0.995405232146998	0.9870581083751473
53	1.0216369594123207	1.0182788957749633
54	1.0334340312568089	1.0399999263457733
55	-0.0002957763513574724	-0.0001835305904753245
56	-0.0002954725776060782	-0.0001438131248879408
57	-0.0002695544510797602	-0.0001000943863970913
58	-0.00023580510701017536	-4.894087342686717e-05
59	0.8846628806590395	0.8950674356570425
60	0.9626952902379853	0.9622806111997555
61	1.003142089615294	0.9957682507743985
62	1.0202062140953667	1.0137371918421678
63	-0.00029625430357640287	-0.0001838604552266838
64	-0.00029595186658228144	-0.00014428185853472393
65	-0.0002701725257710674	-0.0001008251820280781
66	-0.0002367205196249542	-5.0304257692029294e-05
67	0.8684335355973649	0.8781832094474634
68	0.9471040073698649	0.9476044161679811
69	0.9834898449715017	0.9828045696106277
70	1.0065683401623549	1.0021543132846256
71	-0.00029660427768574425	-0.00018410366037916492
72	-0.0002963027930961264	-0.00014462561719061145
73	-0.0002706215516159847	-0.00010135608671210203
74	-0.00023737442070583578	-5.127314938854433e-05
75	0.8576947228739236	0.8662347260591747
76	0.9382567729731902	0.9375974699189923
77	0.9737592697187956	0.9736648879456544
78	0.9933675444733775	0.9943171433506297
