	2	3	5
10	0.2792153470381027	0.3447417355775714	0.43993931227483296
50	0.723890678546457	0.6886224463384042	0.7979366025425491
100	0.8659273160319547	0.874254092047571	0.8946947546201891
400	0.9185090125855055	0.9274263464551232	0.9764342866512847
800	0.9414047908391967	0.9672276516362139	0.9841567222695512
