Reference data	Fit 0 layers	Fit 1 layer
1.0863708439501352e-06	0.0293128564953804	0.0010855244472622871
0.0	-0.0006583597278222442	-0.0010992522584274411
0.0	-0.001609847997315228	-0.0021920667495578527
0.0	-0.0025613359175622463	-0.003269865643233061
0.0	-0.003512824419885874	-0.004269640427082777
0.0	-0.004464312456548214	-0.005062716081738472
0.0	-0.005415800493210554	-0.005845597479492426
0.0	-0.006367288995534182	-0.006619431544095278
0.0	-0.007318777497857809	-0.007366415113210678
0.0	-0.00827026553452015	-0.008015352301299572
0.0	-0.009221754968166351	-0.008577908389270306
0.0	-0.010173242539167404	-0.009070568718016148
0.0	-0.011124730110168457	-0.0095058036968112
0.0	-0.012076218612492085	-0.009893232956528664
0.0	-0.013027706183493137	-0.010240405797958374
0.0	-0.013979196548461914	-0.010553324595093727
0.0	-0.014930683188140392	-0.010836835950613022
0.0	-0.01588216982781887	-0.011095618829131126
0.0	-0.016833661124110222	-0.011341063305735588
0.0	-0.017785148695111275	-0.011567034758627415
0.14248479902744293	0.12458986043930054	0.11782713979482651
0.014350525103509426	0.02944103814661503	0.004785763565450907
0.0	-0.0006570778787136078	-0.0010624667629599571
0.0	-0.0016085660317912698	-0.0021554671693593264
0.0	-0.0025600541848689318	-0.0032334276475012302
0.0	-0.003511542920023203	-0.004182221833616495
0.0	-0.004463030491024256	-0.004975420422852039
0.0	-0.005414518993347883	-0.005758416838943958
0.0	-0.006366007495671511	-0.006532349623739719
0.0	-0.007317495997995138	-0.007278868928551674
0.0	-0.008268984034657478	-0.007927104830741882
0.0	-0.009220472536981106	-0.008489111438393593
0.0	-0.010171960107982159	-0.008981335908174515
0.0	-0.011123448610305786	-0.009416217915713787
0.0	-0.012074937112629414	-0.009807297959923744
0.0	-0.013026425614953041	-0.010163807310163975
0.0	-0.013977913185954094	-0.010486099869012833
0.0	-0.014929401688277721	-0.010779021307826042
0.0	-0.01588089019060135	-0.0110465157777071
0.0	-0.0168323777616024	-0.011291840113699436
0.260824978351593	0.21986687183380127	0.2357076108455658
0.14224869012832642	0.12471804767847061	0.1215527281165123
0.007828053086996078	0.029569221660494804	0.008486294187605381
0.0	-0.0006557958549819887	-0.0010256774257868528
0.0	-0.0016072842990979552	-0.002118866192176938
0.0	-0.002558772685006261	-0.0031969905830919743
0.0	-0.003510260721668601	-0.004094801377505064
0.0	-0.004461748991161585	-0.004888127092272043
0.0	-0.005413237493485212	-0.005671232007443905
0.0	-0.0063647255301475525	-0.006445263512432575
0.0	-0.00731621403247118	-0.007191312033683062
0.0	-0.008267701603472233	-0.007846003398299217
0.0	-0.00921919010579586	-0.008417036384344101
0.0	-0.010170679539442062	-0.00891839899122715
0.0	-0.01112216617912054	-0.00936250388622284
0.0	-0.012073655612766743	-0.009758936241269112
0.0	-0.013025143183767796	-0.010115203447639942
0.0	-0.013976631686091423	-0.010437301360070705
0.0	-0.01492812018841505	-0.010730056092143059
0.0	-0.015879608690738678	-0.01099740993231535
0.3600364625453949	0.315143883228302	0.3535880446434021
0.2603868544101715	0.21999503672122955	0.239433154463768
0.14231905341148376	0.12484622001647949	0.12527835369110107
0.011415412649512291	0.02969740331172943	0.012187115848064423
0.0	-0.0006545143551193178	-0.0009888869244605303
0.0	-0.0016060026828199625	-0.002082263119518757
0.0	-0.002557490486651659	-0.0031605500262230635
0.0	-0.0035089789889752865	-0.004008172079920769
0.0	-0.004460467491298914	-0.00481119891628623
0.0	-0.005411955527961254	-0.00560399005189538
0.0	-0.006363444030284882	-0.0063876984640955925
0.0	-0.007314932066947222	-0.007142834831029177
0.0	-0.008266420103609562	-0.0077992514707148075
0.0	-0.00921790860593319	-0.008369739167392254
0.0	-0.010169397108256817	-0.008870667777955532
0.0	-0.011120885610580444	-0.009314421564340591
0.0	-0.012072374112904072	-0.009710565209388733
0.0	-0.013023861683905125	-0.010066598653793335
0.0	-0.013975350186228752	-0.010388500988483429
0.0	-0.01492683682590723	-0.0106810899451375
0.44454720616340637	0.41042089462280273	0.4714684784412384
0.35974690318107605	0.3152720630168915	0.3573136329650879
0.2605143189430237	0.22012324631214142	0.24315878748893738
0.1421896517276764	0.12497443705797195	0.12900389730930328
0.012719906866550446	0.029825590550899506	0.015487181954085827
0.0	-0.0006532325060106814	-0.0009656764450483024
0.0	-0.0016047201352193952	-0.0020688134245574474
