Reference data	Fit 0 layers	Fit 1 layer
5.033851380176202e-07	0.2853575348854065	-3.37118653988e-05
2.7399182496388494e-39	0.24621383845806122	-0.00124924851115793
1.961817850054744e-44	0.20707012712955475	-0.0024647838436067104
1.5414283107572988e-44	0.16792641580104828	-0.002602724591270089
1.5414283107572988e-44	0.12878268957138062	-0.0025840350426733494
1.5414283107572988e-44	0.08963897824287415	-0.002692421665415168
1.5414283107572988e-44	0.05049528554081917	-0.002463890705257654
1.5414283107572988e-44	0.011351567693054676	-0.0021907032933086157
1.5414283107572988e-44	-0.0002779214992187917	-0.0019381765741854906
1.5414283107572988e-44	-0.000669358647428453	-0.0017035120399668813
1.5414283107572988e-44	-0.0010607958538457751	-0.0014843944227322936
1.5414283107572988e-44	-0.0014522328274324536	-0.0012788902968168259
1.5414283107572988e-44	-0.0018436696846038103	-0.0010853756684809923
1.5414283107572988e-44	-0.002235107123851776	-0.0009024743922054768
1.5414283107572988e-44	-0.0026265440974384546	-0.0007290126523002982
1.5414283107572988e-44	-0.0030179815366864204	-0.0005639836890622973
1.5414283107572988e-44	-0.0034094182774424553	-0.00040652137249708176
1.5414283107572988e-44	-0.003800855716690421	-0.00028873814153485
1.5414283107572988e-44	-0.0041922926902771	-0.0003323660930618644
1.5414283107572988e-44	-0.004583729896694422	-0.00038157685776241124
0.24855059385299683	0.31773829460144043	0.17555299401283264
0.13697679340839386	0.27859458327293396	0.05399942025542259
0.09364715218544006	0.2394508719444275	-0.0006782473647035658
0.07139786332845688	0.20030717551708221	-0.0009155168081633747
0.05765898898243904	0.16116344928741455	-0.0009447073098272085
0.0483306422829628	0.12201973050832748	-0.0010715459939092398
0.04164452105760574	0.08287603408098221	-0.0010218567913398147
0.03654924035072327	0.04373231530189514	-0.0007933647138997912
0.032590046525001526	0.004588597919791937	-0.0005796424811705947
0.02939261682331562	-0.00034555120510049164	-0.0003788823669310659
0.02676958218216896	-0.0007369883824139833	-0.00018956066924147308
0.024577884003520012	-0.0011284253560006618	-1.0383576409367379e-05
0.022712845355272293	-0.0015198622131720185	0.015975458547472954
0.021117113530635834	-0.0019112995360046625	0.014633674174547195
0.019726235419511795	-0.0023027367424219847	0.011299851350486279
0.01851046085357666	-0.002694173948839307	0.0073107327334582806
0.01743415929377079	-0.0030856109224259853	0.002728882012888789
0.016476286575198174	-0.003477047896012664	-2.3910899471957237e-05
0.01561925932765007	-0.0038684855680912733	-8.000958041520789e-05
0.014845026656985283	-0.0042599220760166645	-0.0001405823277309537
0.4134548306465149	0.35011905431747437	0.3534829318523407
0.24628998339176178	0.3109753429889679	0.22806783020496368
0.17407290637493134	0.2718316316604614	0.10015254467725754
0.13495370745658875	0.23268790543079376	0.06358472257852554
0.11015026271343231	0.1935441941022873	0.055770233273506165
0.09300876408815384	0.15440048277378082	0.04373679682612419
0.08056145906448364	0.11525677889585495	0.03232315927743912
0.07098797708749771	0.07611306756734848	0.051946815103292465
0.06349632889032364	0.036969348788261414	0.05748391151428223
0.05741457641124725	-2.1743720935774036e-05	0.0562327578663826
