	GSM1140407	GSM1140408	GSM1140409	GSM1140410	GSM1140411	GSM1140412	GSM1140413	GSM1140414	GSM1140415	GSM1140416	GSM1140417	GSM1140418	GSM1140419	GSM1140420	GSM1140421	GSM1140422	GSM1140423	GSM1140424	GSM1140425	GSM1140426	GSM1140427	GSM1140428	GSM1140429	GSM1140430	GSM1140431	GSM1140432	GSM1140433	GSM1140434	GSM1140435	GSM1140436	GSM1140437	GSM1140438	GSM1140439	GSM1140440	GSM1140441	GSM1140442	GSM1140443	GSM1140444	GSM1140445	GSM1140446	GSM1140447	GSM1140448	GSM1140449	GSM1140450	GSM1140451	GSM1140452	GSM1140453	GSM1140454	GSM1140455	GSM1140456	GSM1140457	GSM1140458	GSM1140459	GSM1140460	GSM1140461	GSM1140462	GSM1140463	GSM1140464	GSM1140465	GSM1140466	GSM1140467	GSM1140468	GSM1140469	GSM1140470	GSM1140471	GSM1140472	GSM1140473	GSM1140474	GSM1140475	GSM1140476	GSM1140477	GSM1140478	GSM1140479	GSM1140480	GSM1140481	GSM1140482	GSM1140483	GSM1140484	GSM1140485	GSM1140486	GSM1140487	GSM1140488	GSM1140489	GSM1140490	GSM1140491	GSM1140492	GSM1140493	GSM1140494	GSM1140495	GSM1140496	GSM1140497	GSM1140498	GSM1140499	GSM1140500	GSM1140501	GSM1140502	GSM1140503	GSM1140504	GSM1140505	GSM1140506	GSM1140507	GSM1140508	GSM1140509	GSM1140510	GSM1140511	GSM1140512	GSM1140513	GSM1140514	GSM1140515	GSM1140516	GSM1140517	GSM1140518	GSM1140519	GSM1140520	GSM1140521	GSM1140522	GSM1140523	GSM1140524	GSM1140525	GSM1140526	GSM1140527	GSM1140528	GSM1140529	GSM1140530	GSM1140531	GSM1140532	GSM1140533	GSM1140534	GSM1140535	GSM1140536	GSM1140537	GSM1140538	GSM1140539	GSM1140540	GSM1140541	GSM1140542	GSM1140543	GSM1140544	GSM1140545	GSM1140546	GSM1140547	GSM1140548	GSM1140549	GSM1140550	GSM1140551	GSM1140552	GSM1140553	GSM1140554	GSM1140555	GSM1140556	GSM1140557	GSM1140558	GSM1140559	GSM1140560	GSM1140561	GSM1140562	GSM1140563	GSM1140564	GSM1140565	GSM1140566	GSM1140567	GSM1140568	GSM1140569	GSM1140570	GSM1140571	GSM1140572	GSM1140573	GSM1140574	GSM1140575	GSM1140576	GSM1140577	GSM1140578	GSM1140579	GSM1140580	GSM1140581	GSM1140582	GSM1140583	GSM1140584	GSM1140585	GSM1140586	GSM1140587	GSM1140588	GSM1140589	GSM1140590	GSM1140591	GSM1140592	GSM1140593	GSM1140594	GSM1140595	GSM1140596	GSM1140597	GSM1140598	GSM1140599	GSM1140600	GSM1140601	GSM1140602	GSM1140603	GSM1140604	GSM1140605	GSM1140606	GSM1140607	GSM1140608	GSM1140609	GSM1140610	GSM1140611	GSM1140612	GSM1140613	GSM1140614	GSM1140615	GSM1140616	GSM1140617	GSM1140618	GSM1140619	GSM1140620	GSM1140621	GSM1140622	GSM1140623	GSM1140624	GSM1140625	GSM1140626	GSM1140627	GSM1140628	GSM1140629	GSM1140630	GSM1140631	GSM1140632	GSM1140633	GSM1140634	GSM1140635	GSM1140636	GSM1140637	GSM1140638	GSM1140639	GSM1140640	GSM1140641	GSM1140642	GSM1140643	GSM1140644	GSM1140645	GSM1140646	GSM1140647	GSM1140648	GSM1140649	GSM1140650	GSM1140651	GSM1140652	GSM1140653	GSM1140654	GSM1140655	GSM1140656	GSM1140657	GSM1140658	GSM1140659	GSM1140660	GSM1140661	GSM1140662	GSM1140663	GSM1140664	GSM1140665	GSM1140666	GSM1140667	GSM1140668	GSM1140669	GSM1140670	GSM1140671	GSM1140672	GSM1140673	GSM1140674	GSM1140675	GSM1140676	GSM1140677	GSM1140678	GSM1140679	GSM1140680	GSM1140681	GSM1140682	GSM1140683	GSM1140684	GSM1140685	GSM1140686	GSM1140687	GSM1140688	GSM1140689	GSM1140690	GSM1140691	GSM1140692	GSM1140693	GSM1140694	GSM1140695	GSM1140696	GSM1140697	GSM1140698	GSM1140699	GSM1140700	GSM1140701	GSM1140702	GSM1140703	GSM1140704	GSM1140705	GSM1140706	GSM1140707	GSM1140708	GSM1140709	GSM1140710	GSM1140711	GSM1140712	GSM1140713	GSM1140714	GSM1140715	GSM1140716	GSM1140717	GSM1140718	GSM1140719	GSM1140720	GSM1140721	GSM1140722	GSM1140723	GSM1140724	GSM1140725	GSM1140726	GSM1140727	GSM1140728	GSM1140729	GSM1140730	GSM1140731	GSM1140732	GSM1140733	GSM1140734	GSM1140735	GSM1140736	GSM1140737	GSM1140738	GSM1140739	GSM1140740	GSM1140741	GSM1140742	GSM1140743	GSM1140744	GSM1140745	GSM1140746	GSM1140747	GSM1140748	GSM1140749	GSM1140750	GSM1140751	GSM1140752	GSM1140753	GSM1140754	GSM1140755	GSM1140756	GSM1140757	GSM1140758	GSM1140759	GSM1140760	GSM1140761	GSM1140762	GSM1140763	GSM1140764	GSM1140765	GSM1140766	GSM1140767	GSM1140768	GSM1140769	GSM1140770	GSM1140771	GSM1140772	GSM1140773	GSM1140774	GSM1140775	GSM1140776	GSM1140777	GSM1140778	GSM1140779	GSM1140780	GSM1140781	GSM1140782	GSM1140783	GSM1140784	GSM1140785	GSM1140786	GSM1140787	GSM1140788	GSM1140789	GSM1140790
AR	1.01261951998546	1.26041180787281	0.602732316789047	1.14555746741591	1.03490217538916	0.620431851330177	0.620989277996728	0.805077379973915	0.732778972321786	0.700561682712874	2.16592559077006	1.25935887857225	0.860730969044508	0.156431177301308	0.254296485903232	0.789008605438933	0.954607584967555	0.812224404621795	1.04645448330777	0.889673060957843	0.710606967937492	-0.0542541949794541	0.680681667594313	0.629752534187	2.12850023227795	-0.237065694090885	-0.465835878136116	1.52221079669033	1.36969580097592	0.838966191196712	1.40792548336323	0.811026408069255	2.45607366344054	1.24149517901989	1.78653249541339	1.28375823385019	1.16248138761043	1.79810086362959	-0.911840285754896	-0.906171115272156	-2.49026446383449	0.230281674068285	-0.599604149241266	-2.52585300355106	1.29819832947435	-1.76310731525307	-2.85755854042814	-1.11205471871546	-2.4667265424769	-1.86862516588942	0.244484962875591	1.86526520863469	-0.167809849054997	-0.341461695780583	-0.191043374848638	-1.43973288172425	0.349643762351629	-0.798568968909986	-0.0142222351030136	-0.841043707901341	0.00376572340990591	-1.67759138560042	-1.48441012631685	-1.24654970235171	-0.0322991880555102	-0.796065291605362	-1.52305597589847	-0.676643440309195	-1.71257675226619	2.11838608736277	-2.09394099735446	-2.07554009358944	-1.58619072603545	-2.18379944555705	1.3014932563645	0.816761175225448	0.711556955591101	-0.606587943253686	1.48778856618159	0.36927915138091	0.0433497392916928	-1.26889376800757	-0.526574198159014	-0.450883006703032	-1.94138410166853	3.00107033391084	-1.49951021703111	1.32131309552532	1.4397751518648	0.0563768476067427	2.29230626261975	0.244536091033407	-0.151485313333583	-1.1433359366961	2.50558720855427	-1.07972611744876	0.48645702812646	-1.32665441377163	2.91224075166015	-0.520294733233653	-0.169775720763604	-0.146261620139941	0.297593980935888	2.30818915436055	-0.650470756021816	1.13213356765466	-0.362512300860813	1.53344700804509	-1.06107023870936	-1.47460448681481	-0.165967318686174	-0.275046272456673	2.35598277387467	0.279762419064158	2.14224233833349	-1.28945811016836	1.71659123442488	1.52979072915173	-0.413368448621482	-1.64606664309623	0.4023763697946	0.10945988290256	1.54377841786429	1.03102379085644	0.890490269303206	1.15473660069333	-1.54458218543387	2.51455032161141	-1.54524896612028	0.822116785971633	-3.78013278952107	-1.19079478446336	0.849317902918467	-1.16802145043116	0.611590641315585	0.254213327947254	0.0128241118855717	-0.0237078719981887	-0.208011267878485	1.89214856777095	0.610096548442342	-0.671456723334465	-1.02814577804157	1.22297308462319	0.768602183515247	1.59348298449297	0.657523237649928	0.451294487342239	0.999811615614359	1.73634049913647	0.551698482493758	-0.363685462178468	0.92009495444225	0.171388856609329	0.758667135692987	0.33625576367741	1.86017912441569	0.925889011392301	-0.132209958193247	1.88628687991418	1.57798033119424	-1.69453017275291	1.63907972925176	0.0289046806230731	-2.25896123257864	2.2389160558181	-2.30543021206259	0.0786762800366658	-2.79497142597769	1.6245240585395	2.19016898095467	-0.056576819525414	-0.522277029877981	-2.65846425090549	1.52670090907821	-0.0984224277138354	-2.53182144392165	-0.413937183599403	-0.776630614080477	-0.766334153066407	1.3561699467174	-2.42419759761482	-0.12866815966021	1.00019395301642	0.794442034818088	1.40224786595756	-1.42143593376392	-1.2487324135067	0.947027068035614	-0.558994581309664	0.673596542032198	1.82089432226591	0.44204687388019	0.434410543901537	0.241888800278786	-1.14678362770932	-2.86815679907499	-0.531573312842518	-2.47090356767894	-1.62389508138798	0.32663139152038	-0.209869197400499	-2.86743891057695	0.589298955990455	-1.70724675649584	-0.144101984328114	0.586989075925219	-2.73944322281059	-0.322033300887116	-2.58452306049514	-1.00124459325712	-0.410631443531165	-0.952419670806457	-1.90971093426277	1.15217921369948	-1.91249819188202	1.00709268211314	-2.70960606919651	0.510676498698062	0.444415776762268	-0.0496248548504581	1.50497785291186	0.733506039239821	0.60489856039363	1.26527063563665	0.235689109504243	0.828149360390449	0.788847653200221	0.147388848351688	1.24301577476081	0.402966906182707	2.29433040200106	1.26039754289576	0.401458098113373	1.37801474977875	1.12143554436182	3.05258736087998	0.777519247063428	1.71278931931975	1.3184619107174	0.770010125050469	0.142950322537012	1.20490071032444	0.491697868905904	0.46435351893706	-0.708528294127609	-1.19741803088841	-0.918334276260387	-0.121380525829028	0.724674721300226	1.23034853391702	-0.0259946941660414	-0.131281330035163	1.2780358263532	0.916479198478487	0.85051072969037	0.850418361213195	1.68872618714526	0.490931828191055	0.810229256710989	0.316375106952141	0.24492278636002	0.194432462692075	0.261475081026366	-0.212551333739641	0.608603401976551	1.01808108117227	0.556372502102475	-0.524651682838566	0.409190763673557	0.985551607343516	-0.923296317437296	1.1289585888867	1.14201710680126	0.285371569643606	-0.535508091917388	0.750428790673914	0.0607260464292911	-0.337835591409498	-1.12624289233571	0.193037037493919	0.655663867858845	1.54561475782773	0.812885334274041	-1.37586631298145	-0.801047938452596	1.01583022428315	0.101145700670147	-0.0430257435554117	-0.35382605948985	-0.186579276932229	-0.774446201964714	-1.78528313046345	0.450836649868248	0.0913651159817048	1.03792710580162	1.70029655329625	2.59046127322482	1.75526011942132	0.715274948195501	-1.12088699282676	0.222765360539005	1.21105155802973	0.846776582502861	1.47701574018366	3.08774059051159	0.135769416929081	0.629012189645672	1.11982136849885	0.474411462452892	1.51277875628697	0.791357560937764	1.80290481624938	0.651822667492258	0.971677228695468	1.39270981244594	1.10152594447959	0.549467215883874	0.50480434471842	0.777407510717493	-0.649849648888759	-0.308959570083474	0.531825626024885	0.735283202145432	1.45394873242776	1.17727902781332	-0.46316134059737	1.8612830485824	0.246947404042474	0.280680493654639	1.71446796632358	3.11254421367057	0.468660471811707	-0.0403961503501854	1.86357666986676	-0.412720989326884	-0.767249402375192	0.408086394860992	-1.5351612129235	-1.34325004847405	-0.775560541862258	-1.0202258489985	-2.01087853036316	-1.8123164673751	-0.97350609582372	-2.19044914963549	-0.721610064179035	-1.11408961774332	-1.51555844651697	-1.68464373898319	0.441141888231548	-0.138470343828716	0.235606652242206	-0.314802282138374	-0.0779205530932233	0.0957880212929531	0.114473783722233	0.599173963610818	0.0222310983012971	-0.0220140741703438	0.19321041941251	-0.144538074334909	-0.158054338314239	-0.554758740764348	0.456679437623522	-0.133189778506472	-0.212013289545896	-0.263484220888701	-0.14226152610865	-0.833720193830891	-0.509169532636743	-0.32448593940963	0.174200980775482	0.468446331746431	0.385932873494891	0.581128911435677	0.908323603488663	0.642032438180975	0.752758295559459	0.605203907047929	0.945533006247314	0.880917067818233	0.410503810976294	0.637757387450372
ATF1	0.265077090175859	0.0784829619695209	0.0118876198137846	-1.06826353047684	-1.99099023165433	-1.02179426874878	-0.958960913206281	-1.42942644395037	-0.505769777030378	-0.736232347998603	-2.01777283836111	-0.594377466396422	-1.55172133778008	-0.187597576537562	-1.32426900882111	-1.19700900163981	-0.843658127633433	-1.28244245153959	-1.45196747520155	0.0174030021633291	-1.33216721757567	-1.30188793913705	-1.47790302724798	-1.05943199826291	-1.57804382499472	-1.52454907468467	1.98641092534764	-2.36256407775478	-1.98558764280683	-1.59839860277973	-0.96363614063262	0.583618035018115	-0.953744612133784	-1.19611154907874	-1.49105510281801	0.248734525625405	-2.26351073601261	-2.41303966835785	0.402321549471229	0.269548413944251	1.05631182056067	0.479017196561562	0.460197017626309	0.459260806252321	-0.2954961896282	1.10943071315741	1.06556254303858	0.846384852007596	1.32715608494109	1.37224240311986	-0.201650639475374	0.619702117153	0.173548370061569	0.888371492839823	0.612367658681653	1.83329757720923	0.339859060761766	0.0685876418011974	0.941981644415913	0.294792093006838	0.554614069497458	1.84633983997982	0.584119242187756	1.41069354427566	0.501514748527116	0.92676271781213	0.734167796537736	0.911390316793194	1.01863348220984	-0.37727223028412	0.727874053927907	1.37704435571551	0.140701253187505	0.643572380221767	-1.05836988314277	-1.01130590488151	-0.0160714400308323	1.16206604458272	-0.944918206800195	0.410425823088915	-1.01541780777136	-1.0658479040824	2.0711416935864	0.890151867872791	1.86447260126794	-0.61537963455421	1.41222221292944	-1.0512595434008	0.261175945383463	0.732819540364242	-1.26827786080246	0.641042136248369	-0.499553895979557	1.39369495889031	-1.31745234474065	0.33999947912602	-0.914152235618251	1.17774214647495	-1.54258922566261	0.231068552029464	0.685112861471664	0.569502484901247	0.150203674643801	-0.403950251018763	1.17365853139277	-0.156882288249825	1.66868548910075	-0.554515652345536	0.480649767704401	0.999897508511338	1.52929302345041	1.2276652264953	-1.05473629705537	0.837140346739771	-1.00844099445814	0.674121579272538	0.111531711007034	0.284182451010834	0.110489280850275	-0.268684346611777	-0.90314765066697	-0.0543237516649501	0.231612227444878	0.563833288260213	-0.504477723805577	0.394631069843112	1.00667543602735	-1.17415155460954	0.0904477285032741	-1.09878437623132	0.771301398212332	0.970585133939198	-0.0602480276664847	-0.391115851619014	0.51531187043036	1.13894082306554	0.31047704630504	1.59630727349547	1.20190599224977	-0.524369718485475	1.12591315077636	1.71741421398344	1.68393342126414	-1.10645132749052	0.388212501228249	-0.517171182458078	1.27294574889768	1.0291153014751	0.720988593876955	-2.44227697043909	-0.659580752748833	0.922279821021468	-0.249005530452883	-0.616070138151488	0.109863415292486	0.0462436292248158	-0.731548733706559	0.381824358132339	0.595657408912572	-0.640454437852306	-2.09901617983813	1.39146653079999	-0.739149588305965	0.458452104279406	0.181928630412985	-1.17664629507508	0.557935258371848	-0.383491433891488	1.1648289505206	-0.387044688831514	-1.95506768764008	-1.0734951405095	0.682568416613888	-0.0862231439262338	-1.31936830062677	-0.120860925296806	1.08771481310845	0.328096651356017	-1.35992320375455	0.797030443511377	-1.12878971397044	-0.164195394545126	0.162488820101827	0.0657764006600686	0.189968019784403	0.99976769332788	0.256158066553718	-0.232078860833909	0.549960816759094	0.325841487494632	0.0972763844080211	-1.52567168164851	-0.393010008762608	0.243791728125284	-0.00459475581564813	-0.416284951682271	0.73840196037128	0.942300724921179	0.99539600498459	1.83091276670315	0.526283267366825	1.21269911333662	1.01695999873734	1.58698759613264	0.792869162731006	-0.541097264066813	-0.659725669637009	1.69319919124484	0.364051964770722	1.37875321107342	1.0140130359966	2.15636340419927	1.87863768904694	0.297894996131477	-1.03670394399798	0.488412088440105	0.590485965448609	1.38604840588762	-0.652194705047315	-0.40361801848292	-0.785096276550214	-0.66217890499338	-0.860765690316167	0.104592097371776	-0.168156053138112	-0.702734186455064	-0.211024407725345	0.0273512582729876	-1.84324417267417	-0.683678394948449	-0.0385724560810669	-1.78737746723598	-0.825372126419457	-0.356178006341145	-1.07348431577762	-1.15790985934616	-1.60795612250771	-0.897059787763315	-1.35806737416396	0.995227252338622	-0.868597781081075	-0.252189017589861	-1.14369468628496	0.460085937671865	0.0394987203420779	1.23471827015152	1.24777867428852	1.80130054961987	0.513650658763622	0.291343791906192	1.62360032646526	0.939534891387811	1.36259941720683	-0.913489583151987	-0.103697112592762	0.494710331181066	0.63016960417776	0.853102841066289	-0.462341645573761	-1.04419962024265	0.510864019341926	1.62683786197389	1.1661902785398	-0.624342786790281	0.86257998414992	-0.496080262917599	-1.20171992186549	-1.01656481661732	0.0279785091518975	0.741983049038063	1.13457813514028	0.55470869962083	0.584737071602245	0.763192846086618	0.864327159941418	1.59587150941703	1.19034118700078	-0.538647011693603	-0.628614924597378	1.29884617087499	-0.66185906766817	0.775720774875332	-0.541144629382434	-1.17199084740563	0.566045112282938	-0.312900713950458	-1.00717776906186	-0.757183053001661	-0.730567105454937	-0.237791432552232	-0.0298483827068818	-0.317348141322761	0.527133367439556	-0.347759426948061	1.59719617370115	0.628126340094713	-0.0292607281259433	-1.28602575603629	-0.4623860746139	0.375686412698917	1.04083091042322	-1.2965232586356	-1.33495482925842	0.389503069058577	-0.556269319156078	0.506575698476497	1.15716084579192	0.439351428373371	0.692911780435817	-0.753573455900892	-0.0998879004092044	-0.743956494664012	-0.150899588571482	-0.910187388954943	-0.644910389291959	-1.34606369534807	-0.279119182153586	-1.40288793319026	0.548690123322304	0.0400551606447108	-0.845601405427145	1.02398686809178	-0.467977580036464	0.720972204589747	-0.871277758736005	0.0409956085222437	1.49956748174372	-1.28332751310877	0.983834752656917	-1.12957293941431	-1.42569955786725	-1.34109467257098	-0.276293784599293	-0.153423745328284	-0.538827285444575	-0.819404376187735	-0.433483991659373	-0.750667436859945	1.85065848590582	0.924947158267516	0.854546219069102	-0.166756831408351	1.13747525413648	-0.0677652438660739	-0.529402246446394	-0.458853860151882	0.279834983814288	1.07419776690899	0.927065799201047	-0.107565651519643	0.600681897651589	1.07127990230874	0.403362459779517	0.0905552210669517	0.562784921767886	0.168717207768888	-0.525977759940584	-0.849223330881156	-0.289202146795242	0.12513062108078	-0.882787787506705	0.0685110168828456	-0.114413849199678	0.369248847256546	-0.103587935302452	-0.0125374652979678	-0.209387901992919	0.544283610428511	0.0422932995571456	0.472185253212565	0.505404757046344	0.328701425331287	0.540233748282977	-0.843133391909959	-0.237169222966348	-0.469662842773814	-0.320249131070047	-0.936754685972616	-1.00008336781415	-0.305772726165394	-0.458262309888109	-0.528779370443989	-0.17154670786486	-0.047854567369458
ATF2	-0.860775134396974	-1.03619586524918	-1.39417209128195	0.0596920666444196	-1.92475886590659	-0.259903838789645	-0.758100009807889	-1.1668996132781	-0.680813738743737	-0.370125267631045	-2.31043554966036	0.343173980244972	0.650684807051097	-0.990675259597901	-0.857944294063011	0.167139707990732	-0.876498393856423	1.29634541555187	-0.578630190292721	-0.877932698352073	-0.566862447352792	1.16364191870074	0.839660537215456	-0.733976313419838	0.200092519175232	0.742062495553942	0.451397550197061	-0.531639779752499	0.67346302484352	1.7192938837307	-1.1851142600635	0.462510233523139	-1.47777082895795	-0.92416686282668	-0.160939137891754	-0.83597456730374	-1.39340340063572	-1.74064720743745	-0.378672967892962	3.35618282858146	0.474803553607291	-0.723772778155929	3.40741328571339	0.974888774306387	-1.45468844448738	0.844197982020206	2.39612200658011	0.47477088094485	0.794278875604268	1.10377848646458	0.0260878894402187	-1.79727984617182	0.108255552627018	1.10538834547944	0.0652414919272767	1.40610258094806	-0.0784200463900573	0.658147245896759	0.317664428483192	0.28818934981417	0.346730187229145	-0.962199363464272	0.727461287917804	-0.709308118317677	3.3192982437524	-0.883961598446079	-0.0222342993694141	3.38597128634676	0.357483275872763	-2.46886291966211	-1.25691582026721	-0.0717632720280049	0.911379342954853	0.176464030805662	-2.39983244732834	-2.00635019066251	-2.91032659374046	2.12662394669717	-0.789392962618646	-0.844267354982032	1.63037555782695	-0.828193766809985	1.25897985523206	2.63099147275446	1.79005543056137	-1.08087022290851	2.15003019454736	-2.43442327020217	-0.447056869116517	1.38537284188579	-0.548639904640578	1.60199460626895	-2.44309890209163	0.992107516361374	-2.61002004665105	1.85513653021808	-3.45602813293703	0.54742793838848	-1.91864652806193	2.19566318027609	-0.875992658519377	2.48793752248883	-2.31520179661496	-1.70689443898954	1.04554193813438	-2.51519867074409	1.20538495692381	-2.37514726082256	0.318882456919622	0.510721047951414	3.03782950778437	-1.38702641796188	-0.45271696696835	-0.155780799690852	-0.79174805100642	1.16311436436457	-1.03624567952856	-0.678292034577112	-1.68892597114208	-1.2645773200126	-2.90886159249103	-1.30043460115313	-1.48556972398608	-1.33778389909291	-2.2136750343053	-1.59937963489656	-1.68812714269208	-1.39542110300434	1.0019495693434	-1.12322661922549	3.33504693210064	1.85120507873091	-2.12878300627657	2.84868141508889	-1.29080022781917	-1.247600457734	0.117687809351567	-3.27822396844841	-2.17794832701434	-0.827884004024482	-2.84305452115217	0.689135862212471	0.512592009385557	-1.26380831125524	-2.09698345887649	-0.606569586543612	-2.5039458776452	0.995105409436953	3.90030988467001	-1.37374308091148	3.19844750931042	3.71773209992537	4.08912897992024	2.5078467375368	-1.46845296652523	-1.00187480929566	-0.632755181892091	-0.659563282642144	3.37075553199225	0.929938233933084	0.10097325693779	-1.22976767353417	1.64800023113084	-0.0280186885417901	1.47724286298359	1.34492610871207	0.582382074646411	4.05074044101075	0.94833447857251	3.50899934335776	-2.24980458973249	1.94673345091358	2.31734169428312	-0.0191629943933964	2.15123102581811	1.05050155849374	0.745889144658862	2.65484466384148	1.80926273378162	-2.51609187411361	3.29655401532749	0.396744521474071	0.645175867395564	-0.759113407715159	-2.27091552265805	1.04826208418798	-0.383624827521173	-0.410405559706999	-0.084548756147857	-0.39313184993003	3.09802716741439	1.40443308890504	0.024691201006285	3.64462050115033	-1.15276624009236	-0.462774097303786	1.1766697931679	1.71624983216526	1.41196756173104	2.97593795594609	-0.55741274807237	4.05959629542802	2.96024452853804	4.05603341340555	2.53611148833367	3.81014956149904	1.74659116857777	2.01965864257806	3.75634851602546	1.94921853470205	3.00976001326619	4.14826720559525	3.26142223184952	-0.207654102868912	-0.468570225864052	-0.644044046323965	1.09579876498662	2.47445600849808	2.3653541178996	-0.523517936511517	-1.83721989090043	-2.22365838328122	-2.71080544753992	-1.48224795694662	-2.06390562002599	-2.6211676222641	-2.26132837363884	-2.05727613104489	-2.60636832927681	-2.25533395864749	-0.44986230050464	-1.63295891809106	0.209610997497048	-3.03603808000611	-1.88458648798753	-1.45506762432869	-1.28638692415329	-2.13911841920895	-1.67251419353084	-2.46200038310244	-0.168586973969152	-0.840798630928394	0.9156144604005	-0.533148188943968	-1.62208924597322	1.47994761639373	3.06717537688018	2.30733708644977	-0.868092802888271	-2.41343650099816	-2.25719437094187	-1.17407715962517	-2.21287191417594	-2.68621022125326	-1.52311832298682	-0.568321118372255	-3.18838752868977	-0.298994264415112	-2.48725370992421	-2.01284258372377	-1.15044345464235	-0.389502456719943	-0.984693573761825	-2.56927311705078	-0.11856848261244	-0.76837359982615	-2.36445121852341	-1.84724200091458	-0.645311626205698	0.34672163074914	-3.04878454861322	-1.03817492375171	1.61311566470288	0.09235945764194	0.600140595169849	1.99206883301736	-0.607078850078043	-1.79781414885222	0.152823594145181	2.57421826041301	1.53887691637099	-0.60942889041925	-1.62384764198351	-2.05473375342792	0.836443227507583	0.535128252153328	-1.27921123997451	-2.0333608503233	-0.719224381325947	-0.866532431753535	-2.02569560494107	-0.687226036404706	-0.588391715707367	-2.08627887450686	3.03229564675384	0.564500144377921	-0.770320022672854	-2.65570512206675	0.951549169704291	-0.560823250996266	1.13568443753335	-2.55883211385646	-1.65790427089063	-1.25119166387207	-1.87431241403003	-0.385320880860259	1.7744308865533	-1.2101094920573	-1.2612929501067	0.0594345924261361	0.0916216791793466	-0.151211600749616	-0.0838749613780243	-0.00717189464887008	-0.208889341093185	-0.00697073839125619	0.340544054561503	0.0733750988220479	-1.41111022502033	1.09685627615558	-2.45308675168699	1.6601766257457	-1.99357143359564	-2.74660748166624	-0.977474864009649	2.06703598533225	-2.07303411002336	-0.581064837451497	-3.04449304909244	-2.96726970817956	-0.909633532723045	-2.18377012554372	-1.88487585027446	-2.50526687220734	-1.90688305137725	2.3750510562454	2.84096152072786	2.39776641736603	1.61890614607809	0.990078075079015	0.680566391102607	-0.085788069356926	2.78259454078239	1.93011396516341	1.56199167299382	1.40135882948275	-0.157063528923634	1.76400712614195	1.61547936788081	1.88005071769576	-1.65392726992156	1.08169067797948	-1.22157793923514	-2.10409890573239	-2.77690941481938	-3.24464262853694	-3.20800231755109	-3.0987455860668	-2.96643047927013	-3.27226144644609	-3.47309751794679	-3.07769031070141	-3.10008565386202	-2.21641370553267	-2.28904248547947	-2.91021832303187	-2.71209952189749	-1.70137520788757	-2.07036020186459	-1.7407303629569	-2.13580158873044	-2.08436554662045	-1.74804445628958	-2.03540607341831	-2.06337328717298	-2.43527806526948	-1.58964985126676	-1.75071909783538	-1.63919894376191	-2.07432274665288	-2.10983945279064	-2.09745798927479	-1.1924364108466	-1.41982853782051
