Row	CON_102	IL4_101	TNFa+PGE2+P3C_100	IFNg_99	LPSc+IC_98	IL13_97	IL10_96	LPSc_95	IFNg_94	IL4_93	LPSc+IC_92	GC_91	CON_90	TNFa+PGE2+P3C_89	IL4_88	IFNg_87	CON_86	TNFa+PGE2+P3C_85	IL4_84	IFNg_83	CON_82	TNFa+PGE2+P3C_81	IL4_80	IFNg_79	IFNg_78	TNFa+PGE2+P3C_77	CON_76	TNFa+PGE2+P3C_75	IL13_74	IL4_73	LPSc_72	CON_71	IL13_70	IL10_69	GC_68	IL10_67	GC_66	CON_65	LPSc+IC_64	IL4_63	TNFa+PGE2+P3C_62	IFNg_61	upLPS_60	upLPS+IC_59	upLPS+IC_58	upLPS+IC_57	upLPS_56	upLPS_55	LPSc_54	LPSc_53	LPSc_52	LPSc_51	LPSc_50	LPSc_49	TNFa_48	TNFa_47	TNFa_46	upLPS+IFNg_45	IFNg+TNFa_44	IFNg+TNFa_43	upLPS+IFNg_42	upLPS+IFNg_41	IFNg+TNFa_40	IL4_39	upLPS_38	IL4+upLPS_37	IL4_36	P3C_35	TNFa+PGE2+P3C_34	P3C+PGE2_33	TNFa+P3C_32	P3C+PGE2_31	TNFa+P3C_30	TNFa_29	TNFa_28	P3C_27	TNFa+P3C_26	P3C+PGE2_25	PGE2_24	P3C_23	TNFa+PGE2_22	PGE2_21	TNFa+PGE2+P3C_20	TNFa+PGE2_19	PGE2_18	TNFa+PGE2+P3C_17	TNFa+PGE2_16	TNFa_15	IFNb+TNFa+PGE2+P3C+IFNg_14	IFNb+TNFa+PGE2+P3C+IFNg_13	IFNb_12	IFNb_11	IFNb+TNFa+PGE2+P3C_10	IFNb_9	IFNb+TNFa+PGE2+P3C_8	IFNb+TNFa+PGE2+P3C+IFNg_7	IFNb+TNFa+PGE2+P3C_6	upLPS_5	IL4+upLPS_4	upLPS_3	IL4+upLPS_2	IL4_1
P10275	0.868327157098308	0.803514712262793	0.520265321700704	0.394816405629254	0.255222877013966	0.379425160786603	0.639452073210232	0.626843943164249	0.668988381554941	0.900743561475674	0.2666946026692	0.667415322751312	0.878445276082874	0.565858884935825	0.825237763548539	0.638536921596747	0.426514700458669	0.410421106343649	0.812427153936508	0.422901146501017	0.542804715487735	0.290074835113791	0.838356867677716	0.521162923799723	0.819969413584517	0.593881126248144	0.887183579898868	0.581827880665719	0.625336555095081	0.486641052217647	0.405351567162901	0.73211635659255	0.593377473201913	0.39223956852518	0.505947266098982	0.778855072391545	0.740752851980327	0.697060304253129	0.154515569447924	0.32421042530794	0.257334101776985	0.324555541680714	0.410975379894264	0.53102946404159	0.187310391941652	0.529836207769924	0.754605401867125	0.599227695343539	0.193216074233312	0.615762613067485	0.435030790307205	0.573711404693779	0.423622361263728	0.646975604301062	0.408492963362329	0.543548057266492	0.84159399588526	0.151078378308777	0.734781295749394	0.497812821309864	0.10225037654926	0.190021887396774	0.851411811246375	0.883747014747854	0.684539682144022	0.562557551935767	0.959426808451526	0.741268507949931	0.693046838318835	0.477148660358873	0.730535594433426	0.830478047267457	0.612548822474544	0.863230000817285	0.678138479926652	0.789562405029881	0.667762159819296	0.774016713248676	0.512530556204904	0.624304675891415	0.552540742117896	0.798713885807697	0.455077852900211	0.797865337588636	0.908454945895568	0.439577109446363	0.912190608219508	0.832588331420072	0.173459249343139	0.426379511673349	0.749687114304179	0.352610252997416	0.49963184374341	0.504651929788061	0.337151803821365	0.176579226839774	0.384364771478293	0.742012441293705	0.782031285440995	0.388752772325513	0.768973584718356	0.912089292604535
P49715	0.607958775409786	0.157051818500924	0.318931340908945	0.758861972525645	0.876437280293639	0.312780625753714	0.750831752481775	0.84995349201742	0.887673704928754	0.361628525235807	0.813578607000444	0.442172982845548	0.876564344934671	0.363625543319122	0.397157520376525	0.760617146854263	0.530089679148732	0.434003441909685	0.193914395201266	0.723012632422544	0.656861675665716	0.531463852206318	0.231833014641362	0.862847789268752	0.94910223045484	0.879519951904196	0.903703889699348	0.69516429892485	0.295465094491397	0.18679378310941	0.519129448867096	0.888716776512161	0.533957922943238	0.893433391163859	0.759174404453848	0.818694867168943	0.524770160948867	0.718300070692291	0.73366794515266	0.321716388184698	0.81963487491144	0.731968547388261	0.839395886401136	0.759278935076266	0.773710078005496	0.486443309123668	0.474711768284051	0.86061318585178	0.465652168787899	0.474479445735815	0.346516191954772	0.501126853870543	0.509652592725572	0.490499810161696	0.349954087937291	0.694282271129543	0.680486285760166	0.190838762278124	0.867281536428332	0.664361275641737	0.328423888326646	0.630374540727273	0.503762120731106	0.625647718843458	0.48438985168843	0.546483226470544	0.357843212486805	0.732728910906261	0.388775976076025	0.533524991971355	0.791686465719463	0.186892207232192	0.684782353893069	0.786879566704684	0.642828195412951	0.285405736894278	0.487126653096093	0.482975396424487	0.545038655095874	0.623394298287632	0.391522887440808	0.640017712907988	0.41451897469543	0.552908660189088	0.620534829226602	0.44876628942909	0.355388346312701	0.571975771782656	0.250402786591358	0.165230332801266	0.714277721078536	0.577974232798111	0.324887841724137	0.627808859592689	0.393197859957323	0.595358317029642	0.24510196067909	0.671600224773163	0.405793097934871	0.236622214466451	0.510443019505634	0.281439659706672
P17676	0.26763798886502	0.0522188365750526	0.657524307151508	0.416646047293131	0.963670163412711	0.436496048982768	0.329073762410008	0.933454902520579	0.71770806889878	0.23480354814186	0.950648985556106	0.124314766214026	0.196096128082739	0.562464988838006	0.161015288489076	0.468310886774641	0.265363400102373	0.573268751141732	0.173650835469252	0.775025083028166	0.166082616800043	0.784024602589131	0.117939369575181	0.836752358428538	0.965864114413482	0.881473333169237	0.531642011591568	0.933192616397637	0.0760416752631056	0.195282151566551	0.67346788873084	0.0954183585914442	0.147766801170456	0.197321899252002	0.112262907712144	0.224549353016623	0.173678065549705	0.0705403330104591	0.692942610978138	0.078511557750686	0.586553488394125	0.69879388031275	0.477715687784025	0.455822870473089	0.707345359781544	0.71558742679841	0.665684492889224	0.482009240133508	0.941694859379612	0.627475074714292	0.527451668147006	0.89827564826006	0.707342609078283	0.698731793926588	0.468913218249228	0.288459204166571	0.539334547573967	0.640147834616087	0.714644519157045	0.449134301830301	0.74264530514745	0.639469086114401	0.407150453878138	0.193054630476939	0.592231322346641	0.579702559668845	0.189986820303956	0.66380186677261	0.723679785379997	0.60052593803009	0.765493138093398	0.19920351199939	0.83055663614142	0.843640725674567	0.498799655558394	0.453313328769534	0.593648106761243	0.319283405137255	0.415358727474105	0.411254251706952	0.383101843136216	0.826719230582928	0.676491084355346	0.813709406841176	0.785288398208094	0.817713431956488	0.407215233586154	0.751252730688407	0.889980739826274	0.699044416177089	0.748510000144455	0.232447891658988	0.894019405666868	0.513803905741376	0.769924216270884	0.931158175971386	0.41399884643483	0.778883490948207	0.596266868941612	0.626244775372488	0.448009978950496	0.147312482860943
P16220	0.23213039696774	0.104891620274915	0.164797564314067	0.674132087881186	0.877758277025091	0.480805797948624	0.525916206031637	0.914047243361318	0.854103727562437	0.532912906384705	0.869422315066383	0.27976548841917	0.635741507029748	0.560982193259789	0.166330248977417	0.532368953445906	0.415328479934017	0.614142416582819	0.0702683537047527	0.704086563580359	0.120384786141544	0.659889879348999	0.133499453345826	0.581542373826429	0.652753116377266	0.930676587688385	0.15637351451108	0.826534285759159	0.322321695953783	0.224716002080159	0.849022579806476	0.222277502285506	0.557374454862173	0.787201222936983	0.226284458003353	0.665081829858953	0.105047415247774	0.30378429225838	0.841531820457399	0.490147571532525	0.635803950839144	0.732780099643984	0.609613040208714	0.704743045480532	0.861413325375022	0.267649745739821	0.709728134184604	0.761300876888714	0.75240515698986	0.724639194551808	0.778935358401181	0.597630359155785	0.235164996420317	0.551971378325957	0.572643237955623	0.331949738940695	0.769669033573646	0.503270075585867	0.323431541277908	0.415627953227843	0.449899593799166	0.307804846581752	0.74972397005432	0.334517390999787	0.246627133336607	0.716960234165728	0.287810830551266	0.718198632631317	0.60510039482435	0.255553881155192	0.761349785648537	0.612651178154273	0.325007157402686	0.853398850179583	0.57947161826256	0.423589157528903	0.345327005633078	0.790582561300934	0.265524161013977	0.540636957151668	0.489998784245487	0.396788304401398	0.547981798514003	0.474184422841857	0.228403685583722	0.456824771712431	0.75259423744771	0.633762692070295	0.604158274517539	0.150430546043063	0.601635089161049	0.420825345588804	0.40404122558477	0.806542096528379	0.542989966529726	0.778513603936312	0.459340281897982	0.357803821572743	0.406256474525015	0.133120545538107	0.533948410514716	0.358843062707044
P49711	0.467327348936637	0.547605684653817	0.260440972355496	0.546687183039134	0.771535726753859	0.479516383287241	0.146533768627734	0.76716648535542	0.498119571550405	0.493674141611821	0.721182684090813	0.256355300850106	0.370345201779134	0.54846462494132	0.460165871796602	0.343405780419486	0.299483642349331	0.415376980123927	0.354425304377003	0.593321084941852	0.395275586394281	0.638838878582898	0.469940068353976	0.466189860650251	0.549023055550354	0.455797695754381	0.736790315041902	0.54958083322866	0.459872272277334	0.362487662529505	0.580065930647165	0.484899085562343	0.325614281792248	0.506784921122511	0.242076577215566	0.290794096039617	0.406760771504028	0.346489792843525	0.428596136366775	0.281456385080283	0.547294464742699	0.392689587716146	0.219220157118222	0.382263802178457	0.618508670173653	0.731707334052841	0.749229916423724	0.300046707957415	0.819255937405119	0.928836046369829	0.775703354256001	0.772537583626052	0.758326347792921	0.83261293291324	0.282125366926819	0.343928474044512	0.440174913811938	0.443032250184267	0.594471897017881	0.410854203180109	0.808438360600052	0.62275010018972	0.288847715162371	0.691155128954864	0.663845637666076	0.616458842542116	0.792185717270141	0.57343611124798	0.619730175094961	0.561763326685074	0.723884607529155	0.678289617736686	0.570999431457482	0.916535083182763	0.741083598381679	0.847337984109228	0.877537682358634	0.284921591618681	0.366793926173833	0.850353542617445	0.59059693424644	0.720854613148405	0.642160745340691	0.632026449150086	0.477334491825021	0.727310190024751	0.759009868741971	0.501421441269066	0.820025514212902	0.470516914392932	0.697205984228253	0.785418162872901	0.854568696671318	0.419844887745633	0.794677603589816	0.86952601725502	0.687035628944088	0.623025204652794	0.619013118808408	0.617988521628998	0.700014066126506	0.839859987296391
Q01094	0.872124258455678	0.52580770364345	0.478438960641185	0.68137927202811	0.329021331930248	0.844621065946377	0.724800574238411	0.544721149818727	0.34284050318455	0.524596096208198	0.307140562168152	0.48383021141977	0.755193471619394	0.649412805530082	0.664242424204325	0.498368993527085	0.655552076544446	0.546409478391316	0.471567609041728	0.666405476579965	0.862753679173275	0.793146165805099	0.63134692850281	0.635889875696808	0.665508371692747	0.271077052239875	0.869773110966365	0.316854206769961	0.488618407042189	0.636694643428948	0.483451057294984	0.699936691798886	0.754383069863859	0.838584468757966	0.486964595551603	0.670983967552941	0.389456172304802	0.652624675085446	0.503920754155573	0.702312531579461	0.422181489146281	0.785487423814894	0.312274965726757	0.609452281721487	0.280119577093325	0.414390575414389	0.121154569049006	0.437776911048603	0.626676241975741	0.699679186973157	0.347185169140242	0.185432951382129	0.65945545826158	0.586476694996334	0.713147201463374	0.625499736605337	0.905267209797956	0.371686900230915	0.449833653198883	0.247032046069016	0.263675535564728	0.192927030678518	0.597191430994361	0.271529620771188	0.179321045938832	0.42449214075463	0.208560059314459	0.266584498490195	0.164753535809965	0.111814387588421	0.183416058640221	0.383730261341467	0.201308892375156	0.131194366886109	0.217179721011107	0.155321230971863	0.147061558839103	0.11751672655115	0.214952173263836	0.58743659644675	0.165179353712591	0.198811993391486	0.0789730237775207	0.514867245533926	0.166363238326271	0.311912565504516	0.549313339655425	0.676716216597815	0.322514207462294	0.154396120329287	0.860163134067726	0.226984546358081	0.598232250296653	0.31306439498673	0.371142175355889	0.462841280462208	0.18772723715424	0.444747024059308	0.13908679447485	0.196192277385677	0.125088997500715	0.378626629877607
Q16254	0.98618841614026	0.563654526256818	0.401636719532172	0.332850604754649	0.48085577388302	0.128461604482391	0.486554350441113	0.598393200862115	0.406991811475073	0.420939341099468	0.236768999903057	0.427195561652677	0.963649593610008	0.655112040545676	0.628151766535819	0.653102465202364	0.84560644529282	0.772721278398427	0.792964533262851	0.433158480379521	0.950314940668057	0.679906221546626	0.667591808293198	0.506490435842952	0.435756859819619	0.467477500369991	0.731371358986764	0.604074812993725	0.555112043613309	0.62382278205272	0.466256826266922	0.935540100478904	0.385326087582292	0.952312883801597	0.398867726745474	0.862569416620677	0.255530123615645	0.830561117974108	0.426943071566933	0.293924951970437	0.644681844030488	0.199936143164175	0.29891552514009	0.150224978986136	0.0715359947786511	0.0965077185451651	0.19554664124826	0.356499769255978	0.0971413133753208	0.187156543693842	0.144845481352061	0.228605951886378	0.24273545408093	0.347022768529011	0.787042916832249	0.870055640079251	0.941905456405487	0.0668681893048664	0.37367541952688	0.629518349182624	0.149780275015267	0.0719417794510535	0.255094239159918	0.0493053132202856	0.0832167200538565	0.0593549488636027	0.0701954266380496	0.119676227642403	0.0855925204693741	0.104409034224814	0.259938540394851	0.177310961255586	0.0701013637589505	0.290754465304935	0.250329727787255	0.0909001938384801	0.180315181508406	0.0444114154388533	0.157697892466626	0.455410366903672	0.456233887009384	0.170828349029554	0.150727713592554	0.307028660683666	0.114072729879394	0.272105766538297	0.439662870841159	0.579060638332018	0.0556329803487269	0.0232344125162236	0.889679559060717	0.0866654638431153	0.0711053779941388	0.0641542823691621	0.0617784573217495	0.0237224936382553	0.0235540617015769	0.0906863790064626	0.121562698356343	0.0743326136570655	0.118433711227906	0.169389794562673
P18146	0.497704302887227	0.480555088147089	0.622544272950884	0.896298168790138	0.636265339756549	0.107848672232972	0.335475747594815	0.767724837404841	0.521584110980797	0.26829593307355	0.742703898736783	0.242014286825514	0.719819963275719	0.38433906037069	0.447925461646826	0.769823897421224	0.403927171908432	0.438123816588045	0.323965408654232	0.692451628390078	0.341221506779392	0.551877787208178	0.45246405891455	0.739864824881283	0.805718383806736	0.653501418670315	0.690298797791536	0.609213711199294	0.428852588180224	0.196623961457269	0.412513289586727	0.729373854068717	0.28636157128141	0.363810418198074	0.275562478857804	0.577939778335022	0.352195654373177	0.389912377927601	0.435326944474077	0.19402352406208	0.828564742848376	0.561213473657312	0.809311851739134	0.740449054596759	0.840681829674555	0.85584436768134	0.66339591891079	0.79107909845226	0.612555933105629	0.744916702149352	0.7416952909297	0.583139876710421	0.418252074243515	0.680202676124879	0.696611575965329	0.833941950192368	0.710009093327242	0.284764965586716	0.673210121686644	0.504900360808229	0.743357231733075	0.705964061714102	0.824875888381545	0.795705164465127	0.594377431301348	0.54414414327082	0.699516444275742	0.794040513400996	0.816833496973169	0.611758578589059	0.481283905941902	0.552574821546544	0.806295623069125	0.742378113115648	0.351244803694924	0.565336534916625	0.60811987050079	0.917059081492217	0.700843252326208	0.811403331182754	0.795091821565445	0.189724610543532	0.728564590676877	0.889737022274133	0.618372182647835	0.848590764337597	0.606172736862804	0.728017442957547	0.67806923879163	0.52949400926891	0.775662195029595	0.872115350973605	0.403336595073356	0.616958281225116	0.661393709261494	0.507579755514711	0.453841281404851	0.726396642974657	0.757928934164981	0.657204559940848	0.639306201960474	0.396958873283243
P19419	0.444467746683357	0.499382993402319	0.545308811884288	0.561510229615142	0.727752309617394	0.509015424854278	0.254105309313051	0.542069839272984	0.814278798430487	0.545998319333231	0.74822111686692	0.468757209850555	0.474031361829188	0.442662136145151	0.502805400299005	0.566096302637624	0.301135474528956	0.569249679128687	0.52691658238973	0.69021991695226	0.495369313694951	0.628957007174648	0.427452846752777	0.68597469230889	0.580203588078728	0.434916560776342	0.225295798624827	0.594279823820485	0.338510410167468	0.784331537043836	0.5723136148008	0.412601697912243	0.723641524038342	0.439231359195073	0.330347028763351	0.406295306432002	0.463892843038846	0.39902312363655	0.492222650747384	0.418062136620229	0.566999526606221	0.510977126759627	0.3104266012794	0.0988249444885687	0.490398170767043	0.0614681089245554	0.492464562222296	0.72367809880254	0.592985202983534	0.542008418506126	0.289942375073035	0.481945757000869	0.235409641319249	0.563271545979632	0.508842168259319	0.201777038224462	0.390561363475535	0.812314129789234	0.663554493493646	0.151504735313287	0.848473897469658	0.786223317102716	0.734970832183185	0.428830980883991	0.531427888367125	0.43674385496472	0.499875166233903	0.277936182288588	0.447547263757731	0.19800606940715	0.530833464124842	0.198578686861965	0.25215168438015	0.497158801245328	0.515427795496799	0.113998501207813	0.689951567966298	0.452158538514581	0.182680445554323	0.126101097039619	0.60250949392181	0.189135473281453	0.280821402622681	0.479457508218474	0.241005686844623	0.784152254986284	0.31256509464378	0.227813423122849	0.485144561403304	0.424670913342739	0.365450719470189	0.211153918340094	0.475852591372512	0.478182670423981	0.466646362795173	0.478729045034389	0.406859893887827	0.39498822145542	0.215757465765652	0.405069326454723	0.568796700253978	0.546087693596382
P03372	0.249844098336078	0.545153349652018	0.849105632947002	0.936705947342691	0.650013329037874	0.760470149924595	0.556605981675999	0.852037996533172	0.670502005719235	0.526788885193344	0.921684114641434	0.481730920565236	0.688816495228311	0.908357053818202	0.602496325012612	0.767403115418233	0.611845870994047	0.934927595549086	0.357668748041393	0.860376806585009	0.596997426065562	0.886924376468605	0.573533775987072	0.632685739916852	0.560205982375443	0.826866795562746	0.283565455693622	0.678986716560321	0.837320041934791	0.625631237869851	0.948799379739595	0.706824930475763	0.56968603297134	0.466891950796359	0.693215411797976	0.692406404917513	0.615555703769968	0.667125758143667	0.965082246463895	0.633479474239763	0.925058518464752	0.883365428417611	0.734502900502529	0.579525738771325	0.363039987427539	0.175134052720865	0.427035944947967	0.549679717989523	0.643580319326407	0.863988956244655	0.94183095885679	0.920905601137722	0.317079088935388	0.968776436682951	0.480591759752424	0.455397482754036	0.736772103237671	0.891910752244624	0.531044005682447	0.68129536596201	0.891524206297649	0.871821270103312	0.903663777655809	0.313151505142508	0.506312396652598	0.47066421361602	0.278140259020328	0.599041896949259	0.868172986860519	0.767971427913545	0.864873832898463	0.57415087101623	0.733328950396786	0.89281793339967	0.899902112958507	0.493605492730279	0.723434106570225	0.596196897668442	0.424635628840911	0.609026819987909	0.955875881247505	0.785995332683476	0.936358277252978	0.959348770945247	0.649939208699926	0.867065087144665	0.777678377667406	0.793969361862739	0.397913207713033	0.807383456661939	0.223357620778598	0.605385389125554	0.759298248776849	0.583832096671865	0.722229903831933	0.550590588731092	0.758702761864994	0.262042380240531	0.597467393626541	0.240718009875171	0.354012974664342	0.713005337516895
