Row	Rep_1	Rep_2	Rep_3	Rep_4	Rep_5	Rep_6	Rep_7	Rep_8	Rep_9	Rep_10
N_300	0.0011781	0.000772	0.0009194	0.0007942	0.0010097	0.0007117	0.0007266	0.0006774	0.0007718	0.0007406
N_400	0.0008306	0.0008077	0.0008525	0.0008386	0.0008967	0.0008445	0.0008393	0.0008236	0.000805	0.0008189
N_500	0.0009658	0.0009036	0.0009715	0.0010991	0.0011121	0.000923	0.0009653	0.0009281	0.0009183	0.001025
N_600	0.0010627	0.0010706	0.0018839	0.0010456	0.0010779	0.001097	0.0011162	0.0011485	0.0010998	0.0010799
N_700	0.0013601	0.0012345	0.0011761	0.0012533	0.0012575	0.0012212	0.0013864	0.0013113	0.001296	0.0011662
N_800	0.0013594	0.0013323	0.0014208	0.0013171	0.001479	0.0013612	0.0014714	0.0013504	0.0013641	0.0014513
N_900	0.0015666	0.0017396	0.0016005	0.0018095	0.0016543	0.0015878	0.0016771	0.0017188	0.0016563	0.0016051
N_1000	0.003259	0.0020184	0.0017825	0.001931	0.0019676	0.0025794	0.0018888	0.0021498	0.0020605	0.0020291
