Row	Rep_1	Rep_2	Rep_3	Rep_4	Rep_5	Rep_6	Rep_7	Rep_8	Rep_9	Rep_10
N_300	0.0017043	0.0013394	0.001334	0.0012797	0.0014724	0.0013849	0.0010681	0.0010493	0.0011386	0.0011479
N_400	0.0026113	0.0024021	0.0024008	0.0023224	0.0025862	0.0022202	0.0024079	0.0020865	0.0023603	0.002196
N_500	0.0041984	0.0040449	0.0043131	0.0046868	0.0047531	0.0045089	0.0041028	0.0056565	0.0047351	0.0043117
N_600	0.0058707	0.0079365	0.0105885	0.0063547	0.0094706	0.0064346	0.0142112	0.0061005	0.0090264	0.0070152
N_700	0.0120786	0.0102383	0.0092342	0.0103253	0.0111795	0.0085457	0.0120094	0.0092962	0.0090662	0.0091653
N_800	0.0174642	0.0116132	0.0209469	0.0119807	0.017467	0.0176389	0.0157117	0.015511	0.0147164	0.0167573
N_900	0.0162699	0.0201376	0.0164613	0.019699	0.0198242	0.0158646	0.0197494	0.0176222	0.0187822	0.0194566
N_1000	0.0319677	0.0249811	0.0345895	0.0406831	0.0301259	0.0279146	0.0314736	0.0323544	0.0244373	0.0365977
