Row	Rep_1	Rep_2	Rep_3	Rep_4	Rep_5	Rep_6	Rep_7	Rep_8	Rep_9	Rep_10
N_300	0.0021376	0.0006913	0.0006009	0.0004664	0.0006439	0.0003557	0.0003473	0.000443	0.000471	0.000318
N_400	0.0004074	0.0004793	0.0003696	0.0011568	0.0005429	0.0004434	0.0004137	0.0006943	0.0005078	0.0005483
N_500	0.0010078	0.0005175	0.0010053	0.0005464	0.0005313	0.0005189	0.0005815	0.0009094	0.0006673	0.0006964
N_600	0.0007066	0.0006402	0.0007872	0.0006069	0.0006405	0.0007366	0.0006166	0.0007012	0.0006027	0.0006878
N_700	0.0010135	0.0010378	0.0009396	0.0009635	0.0009691	0.0008613	0.0010339	0.0009371	0.0009853	0.0010425
N_800	0.0013454	0.0011085	0.0011537	0.0012083	0.0012263	0.0012263	0.0012798	0.001121	0.0010607	0.0012263
N_900	0.0013047	0.0012172	0.0013126	0.0015006	0.0012757	0.001337	0.0012582	0.0013765	0.0014007	0.0013985
N_1000	0.0013611	0.0014417	0.0016868	0.0016518	0.0012736	0.0016478	0.0016396	0.0157685	0.0017346	0.0016521
