	Train	Test	Scramble	Relu
0	0.9526260676327857	0.8511609344468835	0.35470856360637254	0.3287750356795456
1	0.9401572259329172	0.7655634644692937	0.12043335853589025	0.7352487191423688
2	0.9592664632877563	0.8256726917934636	0.10107449522759686	0.7999666205520549
3	0.9404343737608318	0.9431582204423168	0.3973886560282698	0.9325563186119672
4	0.958362130629361	0.7954300390791325	0.23531104423768717	0.34679543633612914
5	0.9549974665125258	0.5071589741516864	-0.15231470898089675	0.863009298675451
6	0.9524421180564958	0.8784118791593236	0.21722098205381074	0.484122666354036
7	0.9590673961363415	0.26048410129481725	0.16514144649343465	0.8070591170646106
8	0.9570256226843944	0.9012353077767536	0.7797027273987118	0.879230704375493
9	0.9562624737675602	0.8500187628913559	-0.25625422927948843	0.8043598279708524
10	0.9344792501020043	0.8205215090823732	0.3347982022070351	0.9127412068752488
11	0.9495575368502872	0.8955523395443956	0.10433674136641907	0.9095929354508434
12	0.9521980543852064	0.9409136403027193	0.6048814266827245	0.939502214361192
13	0.9568238815453767	0.8662188505933501	0.26339819194400693	0.5590604866960649
14	0.9543501054975568	0.8780906818717853	0.5172074205634563	0.5096332820667944
15	0.9582360731057995	0.9034373629672432	0.15554889131803198	0.5624702528887646
16	0.9486183349149819	0.5473688642532091	0.26412168081956927	0.6416882717236807
17	0.9539548724719511	0.7743812682769198	-0.22692633092379794	0.7909481440482984
18	0.9344577734408837	0.6523727289834429	0.3008935332052406	0.8892034784428546
19	0.9531422871975297	0.8738254733993301	-0.06358436286989402	0.8696770129101273
20	0.9578468639882423	0.8138321484871327	-0.06027045232086979	0.8278433254016329
21	0.9572235958701102	0.8032374569730438	0.5783548567624152	0.7809697162771247
22	0.956408216428754	0.9237706920463147	0.3637617824526816	0.6324503669213184
23	0.9566734424351753	0.908927758455055	0.38667461116409607	0.9190413211790671
24	0.9548510131764677	0.4830096264899726	-0.7198432964157535	0.5541106822428452
25	0.9453411638520035	0.8985437900446314	0.14540506583829774	0.8601396092341362
26	0.9333622691394292	0.7859271904709588	0.08496322507172144	0.7542984217491957
27	0.9330717564796263	0.8620156081515356	0.3753799844316914	0.8853730022009276
