source	target	direction	stimulation	inhibition	confidence	sources	references
P23769	Q9P2R6	0	0	0	B	DoRothEA;PAZAR;PAZAR_DoRothEA;ReMap_DoRothEA	PAZAR:21808000
P23769	P48380	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q86UR5	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q99578	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9ULK6	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9Y6N7	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q15349	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9NQC3	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q86VV8	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q01196	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q92736	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	O94885	0	0	0	B	DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q86WG5	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9BY12	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q96GD3	0	0	0	B	DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q92503	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q99985	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9H2E6	0	0	0	B	DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	O00141	1	0	1	A	DoRothEA;ENCODE-distal;ENCODE-proximal;ORegAnno_DoRothEA;PAZAR_DoRothEA	DoRothEA:22951020
P23769	Q86VZ5	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q7Z6J0	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q8TF72	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9Y2K2	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9H173	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	O43166	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9P2F8	0	0	0	B	DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	A1A5C7	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	O75094	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q5VYV7	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P84022	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9H7B4	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q7KZF4	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9H3E2	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9BX66	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	O94875	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P48436	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9NUQ6	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q69YQ0	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q08AE8	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q08629	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q01082	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P81877	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9BWW4	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P15907	0	0	0	B	DoRothEA;ENCODE-proximal;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9NRC1	0	0	0	B	DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9Y3M8	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q13586	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9UEW8	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q5T5C0	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q8NFX7	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	O95425	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q8NF91	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P21579	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	O95359	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P17542	P23769	0	0	0	B	ARACNe-GTEx_DoRothEA;DoRothEA;PAZAR_DoRothEA	nan
P23769	P17542	0	0	0	B	ARACNe-GTEx_DoRothEA;DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA	nan
P23769	Q9C0D5	0	0	0	B	DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9H2K8	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q92609	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9BZK7	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q99081	0	0	0	B	DoRothEA;ENCODE-distal;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P15884	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P28347	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q6N022	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P61812	1	0	1	A	DoRothEA;HOCOMOCO_DoRothEA;ORegAnno_DoRothEA;PAZAR_DoRothEA	DoRothEA:22951020
P23769	Q03167	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q6YHU6	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9UPZ6	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q13009	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q8IVF5	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9UDY2	0	0	0	B	DoRothEA;ENCODE-proximal;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9UKI8	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9Y4G6	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9UHN6	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9BSN7	0	0	0	B	ARACNe-GTEx_DoRothEA;DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA	nan
P23769	Q8N394	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	O95379	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q8WVP5	1	1	0	A	DoRothEA;ENCODE-distal;ORegAnno;ORegAnno_DoRothEA;PAZAR_DoRothEA	DoRothEA:22951020;ORegAnno:22951020
P23769	Q9UKE5	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9UPQ9	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q68CZ2	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P55327	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q16890	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q6ZUI0	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q96Q05	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	O75962	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9UHF7	0	0	0	B	DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q13454	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q16881	0	0	0	B	DoRothEA;ENCODE-distal;ENCODE-proximal;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P62256	0	0	0	B	DoRothEA;ENCODE-proximal;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q6ZT12	0	0	0	B	DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	O95185	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q6UXZ4	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9Y2C2	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	P46939	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9P2Y5	0	0	0	B	DoRothEA;ENCODE-proximal;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q9UKW4	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q14D04	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q14135	0	0	0	B	DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
P23769	Q96RL7	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
