	Mean activity
TNFRSF1B	0.00022554778005446952
LCK	0.00021122290769917334
FGF2	0.00020627722612293954
TBK1	0.00020082612918082877
ZBTB17	0.0001905045584117222
EFNA1	0.00019040215076298174
IKBKB	0.00018620473964519802
SMO	0.00018529695256437183
BTC	0.00018218917452353538
GIT1	0.00017982950308604022
