	CON	GC	IFNb	IFNb+TNFa+PGE2+P3C	IFNb+TNFa+PGE2+P3C+IFNg	IFNg	IFNg+TNFa	IL10	IL13	IL4	IL4+upLPS	LPSc	LPSc+IC	P3C	P3C+PGE2	PGE2	TNFa	TNFa+P3C	TNFa+PGE2	TNFa+PGE2+P3C	upLPS	upLPS+IC	upLPS+IFNg
CEBPB	0.1320713849752439	0.0867294214528007	0.1694016065857852	0.78052991238027	0.9351278351388864	0.7683772914164045	0.4610529054709636	0.1346979841712021	0.1303221689802542	0.0866250985219533	0.2613858540709635	0.7773475702709498	0.9086758369334	0.354439419698863	0.4342240102862183	0.5625646848281215	0.4801188648788704	0.6647051210491494	0.715935666951446	0.8540557547202923	0.3767518006433897	0.3363291378606137	0.7813386116218023
SPI1	0.648351521243991	0.4382366603524825	0.486289181299839	0.6958437980322857	0.6672666168752794	0.7095625484700133	0.7460976947591761	0.4512394698234958	0.1006258894188474	0.1432942887443876	0.5611462439963723	0.8913411463955414	0.8532649087322904	0.4310588282091931	0.6103353964544125	0.6495568885218261	0.4890571707582118	0.5774261041998657	0.6485399147419892	0.7027686300813287	0.7097038917608419	0.5842643589557607	0.957778786670715
EGR1	0.5809587706199633	0.4117076311539402	0.7548181342098363	0.4024834026952869	0.4423591289656732	0.519384684571169	0.6774830979995027	0.5960686118498824	0.3354935791405198	0.5408341552055087	0.6987375965506724	0.4071338170094505	0.4375621436912079	0.6606782096951451	0.6206014482404884	0.4625573203416886	0.7313813148634628	0.5214028876780226	0.5886325166904741	0.4995641399500739	0.7387157513951966	0.8531194737547648	0.5275138343332463
ATF4	0.2395787795607308	0.0969978454230375	0.1035348449620892	0.7480183495680355	0.9528197078701588	0.9377971837290434	0.7690570495661045	0.5063978611237584	0.3060558204057579	0.0956331921950011	0.0770720676000741	0.7753651954061898	0.9330930097853396	0.3108850066143909	0.5226145431061014	0.3196391896802231	0.7585444001131006	0.5539755396102016	0.8666890095540515	0.8420539216758008	0.2660207012621792	0.1200777771687557	0.8819957938771422
ELK1	0.3315791403657683	0.4211004078662866	0.3228404917242776	0.5807235091120043	0.6254717686831174	0.650108738926476	0.5779082955382934	0.3712661127270609	0.5578185783199697	0.5251940636709305	0.4385794648084418	0.4649807745736642	0.6551822631940524	0.1756946299629297	0.2514472586095966	0.1890626966502843	0.4083801738457305	0.5198847280714721	0.5788275559992734	0.6037377178344615	0.4419820552336535	0.1970940009712237	0.8097777552824906
NFKB1	0.2012966466434746	0.0164249824673899	0.0429764382027305	0.7452223459299043	0.726846116933884	0.9230073478809908	0.932483682023452	0.2455432161242609	0.0604448732751973	0.0576601026401722	0.3184619728919786	0.9024253452400705	0.9751192725382042	0.0926457108276747	0.1237288722546719	0.0326602243503961	0.9338713101854506	0.6164101412397838	0.9790098489860708	0.9226590734256866	0.3191019845527054	0.088064666666212	0.8894070037307773
NFYA	0.7687844414360264	0.4962887546064785	0.0883095017749109	0.0605650891103198	0.0827176125612089	0.5410868190947735	0.5915569586408546	0.4820612456124189	0.4491027315046112	0.6561958819917362	0.6160171966294105	0.4976513582363064	0.1577219701048537	0.6611586845951744	0.6184164067304075	0.7674760248247345	0.4556910768684998	0.3070064078940241	0.5492208131538246	0.4356830997643517	0.5836946817336539	0.6422239317765647	0.3540136506475848
GATA2	0.6577534689251252	0.7046404825668903	0.396648624460102	0.4600613602033827	0.2605956428023151	0.5604499002753695	0.24834913325771	0.7285039061238657	0.7524239164504273	0.7826534852235068	0.7201424139462591	0.5566112923217598	0.5319302421477169	0.6764669734596503	0.732272400244692	0.6699974739783233	0.3665925442876818	0.7691962546044285	0.669030014323034	0.536286910032909	0.6059208136789415	0.5292740687143037	0.2785869968303996
GATA3	0.4952465028201174	0.7717215474433984	0.488109790067507	0.744566015067067	0.6856590246047395	0.2862836882789208	0.2106783342616427	0.6981080839738255	0.6653654780478991	0.5382749587256819	0.6178082850861822	0.490042439010698	0.71681201808695	0.8387194145705186	0.7618929649174665	0.6315779325399963	0.4016780191886704	0.7108513651393751	0.6278320577842837	0.7395632577624504	0.629227762873948	0.5655434016972354	0.6329116589639265
YY1	0.4861565231774265	0.6768316884496267	0.5555710250040052	0.4659783289044086	0.4777909580068866	0.294383791485671	0.2967019342282144	0.6434004072453734	0.6654863286074282	0.5128103421341457	0.461279733058273	0.5880576824067143	0.5431187315024442	0.6404247979013222	0.4737809366988438	0.3864450580221938	0.4447751235237462	0.5993346865503445	0.2978653509230176	0.4076378168033175	0.5399941787820256	0.6643990989833914	0.4825540597394952
SREBF1	0.2528524305986092	0.0301107308082474	0.5197062015629608	0.1086172157323604	0.0838551916214742	0.0903596109870809	0.1872662557047108	0.183365631819261	0.5084790455239756	0.5872897034952134	0.0268278859392078	0.0790650487355135	0.1857024682895022	0.0297275996335813	0.0551408324142749	0.0264423561406221	0.596300954411313	0.0569254447265425	0.0570944194711784	0.1161142193948099	0.034651224810732	0.0274543755689035	0.0715907845101568
PPARG	0.4201569767573763	0.2253295569279493	0.7146936542558094	0.205041847433397	0.1851052030799098	0.3327970939917781	0.6202581854892402	0.3909839730581135	0.2774005884478228	0.2824851765909705	0.3782552808169304	0.4160494761426341	0.3203854126955852	0.6965283853743246	0.8146281486871977	0.7249842858958266	0.348132522608545	0.484975305118496	0.6932892941904728	0.3663361941981225	0.4322852327401616	0.7942197488008041	0.5377221785881913
STAT3	0.2799463810326871	0.3225233082356145	0.1986711758117813	0.7498587868639316	0.7318302343804518	0.718584249488196	0.4597629369520969	0.4079302459608785	0.3036723510223635	0.2724832022485669	0.5431206514684476	0.5721242195719287	0.8454995714712106	0.305135858573439	0.3561615060478867	0.3403325735475385	0.5457029852943741	0.491889384786831	0.7809463960861893	0.7493750415783875	0.3130966765456001	0.3533578130274032	0.6214258971299781
STAT1	0.1918344172386457	0.115053841166192	0.518346865642019	0.4096017009888276	0.7760279529548594	0.9299560588623408	0.6837308014580614	0.0878164325411772	0.0776256487371879	0.1497056555599849	0.7336963475533067	0.8102226109319369	0.6196544012256872	0.3569269255471037	0.2045300841121947	0.508735537706588	0.1275076739340934	0.3760195776386556	0.3734329576992585	0.2635236855545425	0.6128517715873018	0.5235590681521721	0.9503612881079964
STAT5A	0.3778566497536272	0.7707489984345921	0.2561853340758293	0.7295931417020709	0.6899555077490914	0.3430937216032247	0.5187984741083164	0.2574523969554492	0.1588125113007551	0.2616583499380164	0.3817908876078111	0.749199752789318	0.7529465847711089	0.7778417274135873	0.8239477422541421	0.7763405741081812	0.4693086298261935	0.830096710912906	0.6425714376086601	0.7901778001802531	0.525635115341556	0.760870630487116	0.584077888533173
SOX9	0.4928430725200062	0.428649000847235	0.4698792624462128	0.4895663878215885	0.3725837284022657	0.5347440266906182	0.4969888188749742	0.532799070452686	0.5945729471982792	0.6310404019740931	0.5838109191517509	0.4896924305068013	0.5547884962995006	0.3403983645772695	0.4592660581038337	0.5077791559887156	0.3047662008777175	0.3358479786926442	0.5376252382046786	0.4548101058481076	0.4345428861549897	0.579058664224278	0.5236399212067284
CEBPA	0.6131217946916985	0.4399176670527194	0.5778040905279044	0.2223287786013799	0.3355144762439714	0.8481974891791909	0.7244427489630244	0.6365348507532682	0.2675880736539827	0.2985018612582541	0.3977473305462779	0.4452834927691628	0.6191147861851936	0.5258254575973494	0.381693144858131	0.4027738255695169	0.6444618143051991	0.5425200958377512	0.4123971749636562	0.5323080125172873	0.4699045752089656	0.4732469835398097	0.3992188354113445
STAT5B	0.467354113968946	0.7066192676240992	0.2254187360998069	0.6713403842863589	0.6129186501006768	0.6254480727755458	0.6639790677630418	0.2542947650447129	0.2987310310432931	0.491971904732151	0.6322925124789439	0.6982942331625437	0.6478686891198072	0.6345326062677379	0.6993320126933694	0.6636233984831297	0.5594912925842932	0.7204778762366995	0.6580453350911769	0.7089457937676393	0.5776617520472379	0.5643802216527863	0.6274006857833544
SMAD3	0.383142179072287	0.2531844404623626	0.4783739522278332	0.4584274397773334	0.136706695984434	0.6363977259165569	0.6777643597107401	0.5556471411179783	0.8787973404124688	0.8573357187464795	0.873373839003092	0.3913442035170485	0.619822726609138	0.1755945276957447	0.1624162867508944	0.0871661052759803	0.8182759045661911	0.4071918152288002	0.6849330882950287	0.4057333477923636	0.3515600053451966	0.1212792225688692	0.4629915835115608
FOXO4	0.2275670620989924	0.2023429462640098	0.3399755562640985	0.8954775510133719	0.8686067912129528	0.7557816621763812	0.6437994618251516	0.3847687588861903	0.5014071969079689	0.549009688982677	0.7368120764543359	0.5774696002667439	0.6449650922575886	0.2539750088284154	0.3599517357346737	0.1700256974899854	0.4084353028381728	0.7901666899177447	0.783426158381607	0.8183734407550969	0.317495194114188	0.1138765974043344	0.7203754151911244
HSF1	0.7462826142690719	0.8587446553775359	0.5838002977858929	0.5794810445934142	0.505769570194723	0.7313422778340458	0.2886956705867958	0.7786915744170001	0.5806646405950738	0.6195713092889862	0.5390556882253955	0.4656231772022165	0.5267886955254782	0.715700505945532	0.7821674154140409	0.7745799944475039	0.4565096316211415	0.6162086024054275	0.5356855902715445	0.5707202420720223	0.6418689094265919	0.6121195233312844	0.276473403567592
NFKB2	0.6954525520397106	0.7058953760821778	0.8746767230350366	0.2113759216856386	0.3762044581489993	0.8790370439686442	0.3902418101248037	0.887575281590621	0.971187323367788	0.9189695530077964	0.7361238396055141	0.1397844005200041	0.1345325053599204	0.5148823752250751	0.5084951880941294	0.6227121898869376	0.3021057093640836	0.2832468188287506	0.1050055288370905	0.1691075715480882	0.5995512703926222	0.34124250448528	0.3396847975573826
E2F1	0.6413475406838296	0.5918558460852006	0.7035816848671486	0.4655745553135856	0.4372478316688363	0.3385985286112319	0.2888390533700957	0.6346263196975569	0.6707098042761084	0.593390352004526	0.3809825238083111	0.26007830437084	0.3114409904053642	0.3780638685790398	0.195765074003379	0.2287895780417013	0.4888711160876618	0.1756778794094581	0.2081250150403223	0.2722144435285284	0.3213398741358085	0.5412838222250484	0.2971945035149121
RELB	0.200085649327621	0.0633541824326049	0.1720877269144969	0.4776650166272813	0.6244554126856307	0.7435534932022411	0.8776013208940352	0.1500743232502358	0.0906970530806796	0.1668579817780046	0.420225557031336	0.781041244456451	0.6942813306807082	0.2041507876548914	0.1172381389837063	0.1303448053486958	0.8121248251955402	0.6591873304250951	0.8470604176243516	0.6199905487587903	0.2803442998607289	0.218212222027987	0.8596609045525861
FLI1	0.7895401682016044	0.8310020547416356	0.4312803321283378	0.4257425597661641	0.3217386951158535	0.5304798885951275	0.3165424657914469	0.7146451950619422	0.8649881587445037	0.722012411800997	0.3971372485783166	0.4204679770080405	0.7022475820359265	0.3643701294611968	0.422495109516444	0.4750180337960947	0.176733943181037	0.2304771272941926	0.5021691562365643	0.5634121987398324	0.3728431980083586	0.2516428477894941	0.2425389024210104
RELA	0.1262464302591311	0.0147222262260726	0.025202438405206	0.8713354869273721	0.8022476890517835	0.8581082776169515	0.8997858458548227	0.1691014116224968	0.0425850777063663	0.0354714080959507	0.3572610210545548	0.9059566135662076	0.9828579072963756	0.1680677939689976	0.3239838268705554	0.1258522197518105	0.8572257671318751	0.7393335168310974	0.9805178523059724	0.957969556296578	0.1743578334144106	0.0673153560925493	0.9115751950633094
REL	0.0788670012641444	0.0478429886753994	0.0543072645485148	0.7895021895960656	0.6949042291200814	0.4986854409598123	0.8727395382913968	0.0409408729785885	0.1650486768217259	0.1047884545392653	0.904969250149145	0.840147528987367	0.9551956806911178	0.0925171479234382	0.2466223662407167	0.130815243203459	0.9305271856057976	0.6526909246328668	0.9387733468337776	0.8622122662881001	0.1684976758481723	0.1357484031581821	0.775042011658493
PPARA	0.4796738697336657	0.2994058570870242	0.5059448015471282	0.2416781084072278	0.0881500799209432	0.2838971351420108	0.5197965729011204	0.481994150007324	0.8435217802626721	0.7343293796468778	0.3012674029903719	0.3960129914147227	0.6573848641221399	0.2419100245365738	0.3015973107446661	0.1724523555251418	0.7631691993283978	0.455669568151636	0.6762549200995984	0.3327074962821975	0.4271065064364917	0.5815448739886729	0.1132273776742398
FOXM1	0.4048910622891228	0.1033141970913935	0.7328703468339522	0.7351637103631911	0.6559499117275126	0.350336822603254	0.4478281667450883	0.2798966913249662	0.6589714137724599	0.6963115290127071	0.9089171003627696	0.2160779596764304	0.2336411790402353	0.3343012783568042	0.2051703414490656	0.1531839727163524	0.6451632211996203	0.4102004096184459	0.6486441565292747	0.252145252928087	0.4679213412084222	0.1148590677805347	0.4441168119827332
FOXO1	0.4094490149224864	0.6567805103783986	0.5133550479537855	0.7096996597957901	0.7624603122915925	0.5725616558764358	0.4518910876493724	0.3901996387513726	0.5457773959062086	0.53959248951629	0.4874462271575218	0.4268191436630844	0.4863709559286577	0.2173777508128445	0.2356266545107726	0.1912492132442852	0.1634710135945906	0.4072139502759922	0.3414153780291194	0.6558827949387792	0.3117009115320885	0.482400475435714	0.6187851755856223
REST	0.5680490851582096	0.4401035617947821	0.4296960313094904	0.3833257352940948	0.4099820881657823	0.5886043263814589	0.5575406691777168	0.3489481879132508	0.2913160694588689	0.4499131035906858	0.3341385387798823	0.626723217360777	0.4079430085341817	0.4534369323017875	0.4191693353841927	0.5405617037516821	0.4731109096212011	0.5416438252649605	0.4687053188957817	0.4972834217814132	0.474847693644894	0.352578382833803	0.5842356792124607
SMAD4	0.4392744163431584	0.5443964731843209	0.5091112951987241	0.5039093615673969	0.1991536267715165	0.543343200288158	0.4853555044652855	0.5979728145019287	0.775500790516879	0.6983842756296945	0.672895241014036	0.4870323319830026	0.7276165611379835	0.2143228545228322	0.2619661885193854	0.1728828897967393	0.5405009093321697	0.3203252360827321	0.6158385454437476	0.4215818483868492	0.1880113930052207	0.2025636347562826	0.4809139919280874
TFDP1	0.7020480476802174	0.4822355755862464	0.5454775671147446	0.1508671624449015	0.1997749253508824	0.2416615920918774	0.4078359887580652	0.5887726696665694	0.4146700350853924	0.4192847040170636	0.3372470499689187	0.2719122314817147	0.2171362827129182	0.4420367602733284	0.3831358515262808	0.3887725802899737	0.4493746775179739	0.1821980793490202	0.2537333755013133	0.3678923558792065	0.3905313422624894	0.2272537202978683	0.1638467186950468
HIF1A	0.4500626922558187	0.0942888057817617	0.1316424478560314	0.7361574907144147	0.818583017118919	0.7842930982830726	0.6729456523919976	0.520688344823939	0.0999322538849676	0.1949116075234075	0.1582163918584923	0.7072373357032345	0.8063878983591836	0.3802447688376707	0.7578673856808695	0.335574817229601	0.6865533762692908	0.698598648186518	0.9082728104333576	0.9236104817795086	0.3546299906744836	0.219596821294579	0.4048902514182617
TP63	0.1476297865920705	0.2503316974102585	0.5577539121062635	0.5565621135294956	0.6775922657535549	0.218428849255613	0.6430312703015945	0.1886274617620246	0.3043878619457321	0.4191226753978435	0.8081271888125365	0.6056851449940526	0.3816448025200427	0.571196361651579	0.6859005343324923	0.627328729897379	0.2893776325160314	0.5421006188250527	0.7994297578821213	0.4383835118461433	0.4320375020178723	0.7071789169033975	0.7260657198057993
TCF7L2	0.3849036594992944	0.2092802313044372	0.4655579415206037	0.390065974365714	0.3464230008024807	0.2739760029618458	0.2792771074353877	0.4589454736200229	0.2595900093483154	0.1662770998377677	0.6540064926551392	0.2831782018381792	0.2332452449373324	0.6106433987606007	0.3111292842333609	0.2816837381696485	0.4849170678829828	0.5758720642626421	0.3772850105165064	0.395360951174468	0.3915121349401919	0.3497413808122495	0.1783057548139141
LEF1	0.677773563471838	0.6371345359647602	0.649615904535254	0.2327721042620301	0.1655529310046227	0.3707478976322725	0.3495780290475347	0.8961840217948996	0.7894940564160459	0.4883883048822109	0.5972807274695038	0.3460745181853004	0.4228593248475165	0.6865922004761993	0.3267979661220381	0.3028546192284708	0.7079166614276037	0.5067686536519025	0.2970900007414756	0.4031472834059902	0.3637837689202957	0.6009296530860587	0.2241252633107281
