source	target	direction	stimulation	inhibition	sources	references
P29597	P15498	1	1	0	HuGeSiM	HuGeSiM:9038355
P29597	P07948	1	1	0	HuGeSiM	HuGeSiM:9633884
P19235	P42229	1	1	0	HuGeSiM	HuGeSiM:30267440
P19235	P51692	1	1	0	HuGeSiM	HuGeSiM:30267440
P17181	P42224	1	1	0	HuGeSiM	HuGeSiM:30267440
P17181	P52630	1	1	0	HuGeSiM	HuGeSiM:30267440
P48551	P42224	1	1	0	HuGeSiM	HuGeSiM:30267440
P48551	P52630	1	1	0	HuGeSiM	HuGeSiM:30267440
P48551	P42224	1	1	0	HuGeSiM	HuGeSiM:30267440
Q13651	P40763	1	1	0	HuGeSiM	HuGeSiM:30267440
P78552	P42226	1	1	0	HuGeSiM	HuGeSiM:30267440
P24394	P42226	1	1	0	HuGeSiM	HuGeSiM:30267440
P14784	P42229	1	1	0	HuGeSiM	HuGeSiM:30267440
P14784	P51692	1	1	0	HuGeSiM	HuGeSiM:30267440
P31785	P42229	1	1	0	HuGeSiM	HuGeSiM:30267440
P31785	P51692	1	1	0	HuGeSiM	HuGeSiM:30267440
Q8N6P7	P40763	1	1	0	HuGeSiM	HuGeSiM:30267440
Q9UHF4	P40763	1	1	0	HuGeSiM	HuGeSiM:30267440
P24394	P42229	1	1	0	HuGeSiM	HuGeSiM:30267440
P24394	P51692	1	1	0	HuGeSiM	HuGeSiM:30267440
P40189	P40763	1	1	0	HuGeSiM	HuGeSiM:30267440
P16871	P42229	1	1	0	HuGeSiM	HuGeSiM:30267440
P16871	P51692	1	1	0	HuGeSiM	HuGeSiM:30267440
Q99650	P40763	1	1	0	HuGeSiM	HuGeSiM:30267440
Q9HC73	P42229	1	1	0	HuGeSiM	HuGeSiM:30267440
Q9HC73	P51692	1	1	0	HuGeSiM	HuGeSiM:30267440
P24394	P35568	1	1	0	HuGeSiM	HuGeSiM:12704343
P24394	Q9Y4H2	1	1	0	HuGeSiM	HuGeSiM:12704343
P48551	P35568	1	1	0	HuGeSiM	HuGeSiM:21372217
P48551	Q9Y4H2	1	1	0	HuGeSiM	HuGeSiM:21372217
P17181	P15498	1	1	0	HuGeSiM	HuGeSiM:21372217
Q13873	Q15750	1	1	0	HuGeSiM	HuGeSiM:27048361
P08047	Q01094	0	0	0	HuGeSiM	HuGeSiM:8657141
P08047	Q14209	0	0	0	HuGeSiM	HuGeSiM:8657141
P08047	O00716	0	0	0	HuGeSiM	HuGeSiM:8657141
P29762	P04049	0	0	0	HuGeSiM	HuGeSiM:31358819
P26367	P48431	0	1	0	HuGeSiM	HuGeSiM:11358870
P26367	P41225	0	1	0	HuGeSiM	HuGeSiM:11358870
Q9H2X6	P26367	1	1	0	HuGeSiM	HuGeSiM:27126352
P62136	P26367	1	0	1	HuGeSiM	HuGeSiM:27126352
P63330	P26367	1	0	1	HuGeSiM	HuGeSiM:27126352
P01023	P00734	1	0	1	HuGeSiM	HuGeSiM:22183066
Q9H2X6	P04637	1	1	0	HuGeSiM	HuGeSiM:17332358
Q8IUQ4	Q9H2X6	1	0	1	HuGeSiM	HuGeSiM:18536714
Q13315	Q8IUQ4	1	0	1	HuGeSiM	HuGeSiM:18536714
Q99814	O75469	0	1	0	HuGeSiM	HuGeSiM:26783937
Q07954	P29353	1	1	0	HuGeSiM	HuGeSiM:29144234
Q9UP38	Q92997	1	0	0	HuGeSiM	HuGeSiM:29144234
Q07954	Q9UP38	0	0	0	HuGeSiM	HuGeSiM:14739301
Q07954	Q5VWQ8	0	0	0	HuGeSiM	HuGeSiM:14739301
Q9UP38	O14640	1	1	0	HuGeSiM	HuGeSiM:19388021
Q9UP38	O14641	1	1	0	HuGeSiM	HuGeSiM:19388021
Q92633	P29992	1	1	0	HuGeSiM	HuGeSiM:29947596
Q92633	Q03113	1	1	0	HuGeSiM	HuGeSiM:29947596
Q92633	Q14344	1	1	0	HuGeSiM	HuGeSiM:29947596
Q92633	P09471	1	1	0	HuGeSiM	HuGeSiM:29947596
Q9HBW0	P29992	1	1	0	HuGeSiM	HuGeSiM:29947596
Q9HBW0	Q03113	1	1	0	HuGeSiM	HuGeSiM:29947596
Q9HBW0	Q14344	1	1	0	HuGeSiM	HuGeSiM:29947596
Q9HBW0	P09471	1	1	0	HuGeSiM	HuGeSiM:29947596
Q9UBY5	P29992	1	1	0	HuGeSiM	HuGeSiM:29947596
Q9UBY5	P09471	1	1	0	HuGeSiM	HuGeSiM:29947596
Q99677	P29992	1	1	0	HuGeSiM	HuGeSiM:29947596
Q99677	Q03113	1	1	0	HuGeSiM	HuGeSiM:29947596
Q99677	Q14344	1	1	0	HuGeSiM	HuGeSiM:29947596
Q99677	P09471	1	1	0	HuGeSiM	HuGeSiM:29947596
Q99677	Q5JWF2	1	1	0	HuGeSiM	HuGeSiM:29947596
Q99677	O95467	1	1	0	HuGeSiM	HuGeSiM:29947596
Q99677	P63092	1	1	0	HuGeSiM	HuGeSiM:29947596
Q9H1C0	P29992	1	1	0	HuGeSiM	HuGeSiM:29947596
Q9H1C0	Q03113	1	1	0	HuGeSiM	HuGeSiM:29947596
Q9H1C0	Q14344	1	1	0	HuGeSiM	HuGeSiM:29947596
Q9H1C0	P09471	1	1	0	HuGeSiM	HuGeSiM:29947596
P43657	Q03113	1	1	0	HuGeSiM	HuGeSiM:29947596
P43657	Q14344	1	1	0	HuGeSiM	HuGeSiM:29947596
P43657	P09471	1	1	0	HuGeSiM	HuGeSiM:29947596
Q03113	P61586	1	1	0	HuGeSiM	HuGeSiM:29947596
P08047	P36956	0	1	0	HuGeSiM	HuGeSiM:10224053
Q96J02	Q9H3D4	0	1	0	HuGeSiM	HuGeSiM:16908849
Q00987	Q9H3D4	1	0	1	HuGeSiM	HuGeSiM:20571051
Q969H0	Q9H3D4	1	0	1	HuGeSiM	HuGeSiM:24822180
P06400	Q01094	1	0	0	HuGeSiM	HuGeSiM:8657117
P06400	Q14209	1	0	0	HuGeSiM	HuGeSiM:8657117
P06400	O00716	1	0	0	HuGeSiM	HuGeSiM:8657117
P48039	P50148	1	0	0	HuGeSiM	HuGeSiM:10598579
Q16665	P04637	1	1	0	HuGeSiM	HuGeSiM:9537326
Q92793	P10242	0	1	0	HuGeSiM	HuGeSiM:16055500
Q9UBE8	P10242	1	0	1	HuGeSiM	HuGeSiM:16055500
Q9H422	Q13158	0	1	0	HuGeSiM	HuGeSiM:11034606
Q9H422	P25445	0	1	0	HuGeSiM	HuGeSiM:11034606
P25445	Q13158	0	1	0	HuGeSiM	HuGeSiM:11034606
P53355	O43293	1	1	0	HuGeSiM	HuGeSiM:15367680
Q13464	O43293	1	1	0	HuGeSiM	HuGeSiM:17158456
O43293	P40763	1	1	0	HuGeSiM	HuGeSiM:16219639
Q96IZ0	O43293	0	0	0	HuGeSiM	HuGeSiM:10602480
Q96IZ0	O43293	0	0	0	HuGeSiM	HuGeSiM:10602480
Q96IZ0	P18848	0	0	0	HuGeSiM	HuGeSiM:10602480
Q9UER7	O43293	0	0	0	HuGeSiM	HuGeSiM:12917339
O43293	P10275	1	1	0	HuGeSiM	HuGeSiM:18084323
Q9H422	P10275	1	1	0	HuGeSiM	HuGeSiM:9725910
P30530	P62993	1	1	0	HuGeSiM	HuGeSiM:19815557
Q07912	P10911	1	1	0	HuGeSiM	HuGeSiM:11394904
P60953	Q07912	0	1	0	HuGeSiM	HuGeSiM:11394904
P62993	Q07912	0	1	0	HuGeSiM	HuGeSiM:11394904
Q07912	P10275	1	1	0	HuGeSiM	HuGeSiM:25347744
O14543	Q14186	1	0	1	HuGeSiM	HuGeSiM:18687693
Q01094	Q14186	0	1	0	HuGeSiM	HuGeSiM:18687693
P42574	P36956	1	0	0	HuGeSiM	HuGeSiM:8605870
P42574	Q12772	1	0	0	HuGeSiM	HuGeSiM:8605870
Q92793	P36956	1	0	0	HuGeSiM	HuGeSiM:8918891
Q92793	Q12772	1	0	0	HuGeSiM	HuGeSiM:8918891
Q08334	P42224	1	1	0	HuGeSiM	HuGeSiM:25004819
Q08334	P42229	1	1	0	HuGeSiM	HuGeSiM:25004819
Q08334	P51692	1	1	0	HuGeSiM	HuGeSiM:25004819
Q9UHF4	P42224	1	1	0	HuGeSiM	HuGeSiM:30319661
Q8N6P7	Q06124	0	1	0	HuGeSiM	HuGeSiM:20671117
P29373	P10276	1	1	0	HuGeSiM	HuGeSiM:31344789
P29373	P10826	1	1	0	HuGeSiM	HuGeSiM:31344789
P29373	P13631	1	1	0	HuGeSiM	HuGeSiM:31344789
P29373	P19793	1	1	0	HuGeSiM	HuGeSiM:31344789
P29373	P28702	1	1	0	HuGeSiM	HuGeSiM:31344789
P29373	P48443	1	1	0	HuGeSiM	HuGeSiM:31344789
P29373	Q92753	1	0	1	HuGeSiM	HuGeSiM:12958591
P25106	P49407	1	1	0	HuGeSiM	HuGeSiM:29082918
P25106	P32121	1	1	0	HuGeSiM	HuGeSiM:29082918
P25106	P61073	0	1	0	HuGeSiM	HuGeSiM:29082918
Q8N2W9	Q06710	1	0	0	HuGeSiM	HuGeSiM:18974227
Q9GZV5	Q06710	1	1	0	HuGeSiM	HuGeSiM:19010321
Q9GZV5	Q15361	1	1	0	HuGeSiM	HuGeSiM:19010321
Q13309	Q06710	1	0	1	HuGeSiM	HuGeSiM:31391550
Q96F46	O43734	1	1	0	HuGeSiM	HuGeSiM:17277779
O43734	Q9Y4K3	1	1	0	HuGeSiM	HuGeSiM:17277779
O43734	P49116	1	1	0	HuGeSiM	HuGeSiM:17277779
P16284	Q06124	1	1	0	HuGeSiM	HuGeSiM:14519385
Q9NPH9	Q86WV6	1	1	0	HuGeSiM	HuGeSiM:28356384
Q9NPH9	Q9NR96	1	1	0	HuGeSiM	HuGeSiM:28356384
Q86WV6	Q9UHD2	1	1	0	HuGeSiM	HuGeSiM:32268090
P11021	P18850	1	0	0	HuGeSiM	HuGeSiM:15657421
