steady state	autograd
-0.00017710197888047108	-0.00017710197888047105
0.003810508145480319	0.003810508145480318
1.2558331335265616e-05	1.2558331335265616e-05
0.010398253363380142	0.01039825336338014
-0.0004443124868341779	-0.00044431248683417794
-0.00020509207197351255	-0.00020509207197351253
-0.00010797260987894174	-0.00010797260987894176
0.007966373260917654	0.007966373260917654
-0.0003498188624944798	-0.00034981886249447976
-0.00047457358414115363	-0.0004745735841411533
-0.00019712711917634713	-0.00019712711917634716
0.008672884975351939	0.008672884975351939
0.00035751244013048245	0.00035751244013048245
0.003835318795288839	0.0038353187952888386
0.02308409591908015	0.02308409591908015
0.0005798058331333431	0.0005798058331333432
-0.000270239570981762	-0.00027023957098176195
-0.00022404436740980883	-0.00022404436740980886
-0.00010651011322454265	-0.00010651011322454265
0.07132990067268352	0.07132990067268354
0.0005450960923104412	0.0005450960923104413
-0.0006582514942760368	-0.0006582514942760369
0.035043877873642826	0.03504387787364283
0.00653454134557658	0.00653454134557658
-0.0018789315876357698	-0.0018789315876357687
-0.00042917309357327335	-0.00042917309357327335
0.002548350173049809	0.0025483501730498093
1.5767718597134562e-05	1.5767718597134562e-05
0.00027593947583214046	0.0002759394758321404
0.00564634946343397	0.005646349463433971
-0.0411169438181006	-0.0411169438181006
-2.8053467599556918e-05	-2.8053467599556918e-05
0.08141276157107032	0.0814127615710703
0.024949655457749437	0.024949655457749437
0.0050895881778026545	0.005089588177802654
1.9412653024547648e-05	1.941265302454765e-05
0.004562084282908891	0.004562084282908889
-0.0004467757307693433	-0.0004467757307693434
0.0003888891366804908	0.00038888913668049083
-6.520581973314307e-05	-6.520581973314308e-05
-0.07671607703616888	-0.07671607703616888
6.43287398440587e-05	6.43287398440587e-05
-0.0010835391165395331	-0.0010835391165395331
0.0002155740602620792	0.0002155740602620792
-0.0005888566564227832	-0.0005888566564227834
0.0037340179232676724	0.003734017923267669
-0.0273836763629619	-0.027383676362961903
-0.00034085137099465766	-0.00034085137099465755
4.476147993241086e-05	4.476147993241085e-05
0.01638147736082327	0.016381477360823272
