Name	Code
A2M	P01023
ADIPOQ	Q15848
ANGPT1	Q15389
APOE	P02649
BMP4	P12644
C5	P01031
CCL11	P51671
CCL2	P13500
CCL3	P10147
CCL5	P13501
CD40LG	P29965
COL18A1	P39060
CSF1	P09603
CSF2	P04141
CXCL12	P48061
DLL1	O00548
EPO	P01588
FASLG	P48023
FGF1	P05230
GAS6	Q14393
GDF15	Q99988
IFNB1	P01574
IFNG	P01579
IGF1	P05019
IL10	P22301
IL13	P35225
IL15	P40933
IL17A	Q16552
IL1A	P01583
IL1B	P01584
IL1RN	P18510
IL22	Q9GZX6
IL26	Q9NPH9
IL33	O95760
IL4	P05112
IL6	P05231
IL7	P13232
INHBB	P09529
NAMPT	P43490
OSM	P13725
PECAM1	P16284
PF4	P02776
PLAU	P00749
RARRES2	Q99969
SAA1	P0DJI8
SEMA4D	Q92854
SERPING1	P05155
SPP1	P10451
TGFB1	P01137
THBS1	P07996
TNF	P01375
TSLP	Q969D9
VEGFA	P15692
WNT7A	O00755
LTB4	CHEBI15647
ATRA	CHEBI15367
LPA	CHEBI32957
PGE2	CHEBI15551
LPS	CHEBI16412
ox-LDL	CHEBI60151
