TFs:
AR
ATF1
ATF2
ATF4
CEBPA
CEBPB
CREB1
E2F1
E2F2
E2F3
ELK1
EPAS1
ESR1
ETS1
ETS2
FLI1
FOS
FOSL1
FOXM1
FOXO1
FOXO3
FOXO4
HIF1A
HNF1A
HSF1
IRF1
IRF9
JUN
JUND
MITF
MYB
MYC
NFE2L2
NFIC
NFKB1
NFKB2
NR3C1
PAX8
POU2F1
PPARA
PPARG
RARA
REL
RELA
RELB
REST
RFX5
RUNX1
RUNX3
RXRA
SMAD3
SMAD4
SP1
SP3
SPI1
SREBF1
SREBF2
SRF
STAT1
STAT2
STAT3
STAT4
STAT5A
STAT5B
STAT6
TCF3
TCF7L2
TFDP1
TP53
TWIST1
USF1
VDR
YY1
ZEB1
