	random	"random
(relu)"	"random
(MML)"	kegg	"kegg
(relu)"	"kegg
(MML)"
0	0.1895241898830001	0.1249056436755835	0.1157049432169494	0.617663877570495	0.9927553431223607	0.7983984169955595
1	0.4263317663889986	0.12619685196497843	0.11350259688326846	0.7230481938806209	0.9327313385385602	0.9308916631755377
2	0.1956148320924864	0.11402508961018656	0.10276850109208495	0.5399348218976253	0.9999823939663124	0.9769926293940072
3	0.35297384147512223	0.11513762113347199	0.09668408447374134	0.6497085719438808	0.9632966255973024	0.8275894776965399
4	0.14934999446546185	0.12826509942307024	0.14850100710155348	0.8197372303659349	0.9354826856690827	0.9813703658517283
5	0.28252155222744313	0.11839044001585837	0.12723102597563019	0.6824382177803239	0.9999999999998008	0.9844115915298167
6	0.12895094347492822	0.16943160123212064	0.12576746013398193	0.7080892868881001	0.9911967826035976	0.9933492981719196
7	0.4089252003075302		0.10703192765940164	0.6473615078581497	1.0	0.966325213138743
8	0.3333338698155037		0.10743748943887313	0.7172375557362993	0.9962143107240772	0.7020428904765453
9	0.3640950857782483	0.100867171617928	0.12272984871187925	0.5516049205674839	0.9937764779777133	0.8797527488722126
10	0.5580736395673469	0.11426188604750664	0.13649440228348966	0.9153306604547408	0.8215814166648279	0.9260429701070445
11	0.5880877329524001	0.12499761237155019	0.1449522811736689	0.5990715598154897	0.9999922421572981	0.7477075194031036
12	0.24218350022853732	0.16337020218448392	0.12358602543122602	0.8038227933648151	0.9788829528641015	0.9473844735159906
13	0.20315104813131485	0.1600640006965432	0.15240973767497462	0.5733135088696224	0.9368639140913805	0.9718129627630757
14	0.3045163411740502	0.11006303389466768	0.13750203542015815	0.8275029268449166	0.9999999999999997	0.9738906887658468
15	0.48631770927757323	0.11600143634530966	0.11624361839326725	0.7244315550680792	0.9915341906241625	0.947434081407641
16	0.1692040434374245	0.18918058774630733	0.11970067436498205	0.9228648854084236	0.9443126105194575	0.9514675441776986
17	0.4472928528573512	0.11869333623851126	0.131231576136067	0.7627012125464571	0.9842890092149944	0.9916874958496726
18	0.44283569529597017	0.17252088356657094	0.13182087865814987	0.8165545455854072	0.9548732389326866	0.919529354327654
19		0.12459949710823819	0.15554937057778637	0.8185270937107116	0.999979741117242	0.9814231668724531
