	P3C	LPSc	IFNb+TNFa+PGE2+P3C+IFNg	TNFa+PGE2+P3C	IFNb+TNFa+PGE2+P3C	TNFa+PGE2	upLPS+IFNg	LPSc+IC	CON	IFNg+TNFa	PGE2	upLPS	P3C+PGE2	TNFa+P3C	IFNg	IFNb	TNFa	IL4	IL4+upLPS	upLPS+IC
CON	0.9549041570708194	0.96978236994577	0.970660959927552	0.9797771803353775	0.9439980699246637	0.9672302422391547	0.9764537910974498	0.959135743233196		0.9584278984301008	0.983976332176669	0.9587164598658426	0.987642109729881	0.9705749533793975	0.9574136910515851	0.9785685668186884	0.9617106170045435	0.9499978693498323	0.972304993189757	0.9687106560800295
IFNb	0.9467734920143268	0.9698090960844902	0.9775971435336649	0.9802249204692413	0.9744740548193053	0.9640663480059615	0.9737880915514239	0.9567781685057473	0.917000279090303	0.9458130548924322	0.9750442931980408	0.962924598465428	0.978224820130509	0.9649789208741094	0.9725811736502843		0.9518903980140108	0.9418074282122018	0.9689077234428285	0.9589850141325148
IFNb+TNFa+PGE2+P3C	0.9557812935846429	0.9819063730872212	0.9564803187276577	0.9829362550988502		0.9676894472955675	0.9716974590937559	0.9603478068867205	0.846643884165315	0.9476142535849374	0.9818202118270052	0.9571619357451999	0.9875254770222345	0.967874604114229	0.9697844848455576	0.933856549944718	0.9698318015314629	0.9457278823111278	0.9726035089535586	0.9663719846745795
IFNb+TNFa+PGE2+P3C+IFNg	0.9455912045415819	0.9781904891938102		0.980612145343108	0.9069112633225613	0.9673247674762442	0.9747930463044135	0.9578197347430729	0.9143493751628802	0.952103591858017	0.9747647644815627	0.9588032917304075	0.9848721211947928	0.9562511204902041	0.9821383780205315	0.9422922406842624	0.9568734881382754	0.9460013866375518	0.9616707401019188	0.9698261782116883
IFNg	0.9473888712217186	0.965653402682408	0.9745696959327214	0.9754054728469188	0.9788937774059823	0.959450219472778	0.9728422630291296	0.949811692891072	0.8524844100174154	0.9517096865027195	0.980634149221062	0.9610674091166408	0.9829305448536314	0.9509365941216625		0.9532279427420552	0.9440341390452319	0.9392434591221376	0.9652412401785628	0.96011738954264
IFNg+TNFa	0.9610177835967622	0.97774455229423	0.9773162761169437	0.9819007958390411	0.9755379298861374	0.9538706861554138	0.9710242148749925	0.956934653945339	0.9223463689958253		0.9765891304371543	0.970872350112457	0.9854072826586238	0.9710892567180809	0.964336566224058	0.9482966972872895	0.9580746177511805	0.933543803944259	0.9737595116558655	0.968748058427346
IL4	0.9425083151186784	0.9472946112434838	0.961271342343119	0.9792453159341784	0.9557694981630491	0.9604377999176011	0.9724933729558076	0.9241560439488559	0.8571325645314438	0.9430647565374692	0.9619066968455416	0.9252160458416846	0.975706188393993	0.952066936489061	0.9795802256927925	0.9520335020735589	0.9538759670982406		0.9566189146947832	0.9615656209386235
IL4+upLPS	0.9457167118517762	0.9296971490664874	0.9628391581180045	0.9810248282896059	0.9628511281750791	0.9678396644854115	0.9709979859357629	0.9317731871502268	0.8425629063368327	0.9593668392616155	0.9679237595843566	0.9653271018526456	0.9772131360033576	0.960764823155676	0.9813166104702518	0.9495200466348311	0.9561453678896554	0.9320597697999142		0.9651762618540369
LPSc	0.950242813007799		0.9678764832671937	0.9774583228779896	0.9719845055174496	0.966306185928095	0.9765104496195158	0.9517451013680316	0.8475807639357468	0.9491050070546292	0.9680130841782927	0.959135553934826	0.9778624526197224	0.9697893554343746	0.9798427369827385	0.9471192743658366	0.9634764363125452	0.9416613815362126	0.9649405837561502	0.9681899715791222
LPSc+IC	0.947189142446675	0.9809013551200219	0.9550550071809751	0.9751558407043931	0.9399488820880713	0.9668052793645531	0.9762492452232442		0.8685781128577278	0.9529435069129912	0.96807493297559	0.9611462496650891	0.9779637028688787	0.9581580210663565	0.9803429194294662	0.9439777596354291	0.9634691038722267	0.9408060230219817	0.9691142112518298	0.9639512335209501
P3C		0.9746560921306817	0.9711525966613677	0.9759627251969702	0.9733577142048028	0.9657732868552799	0.9705172374365203	0.9358319007190237	0.8978043380506795	0.9556826085727266	0.9723576030214187	0.9552259681571758	0.9797946434399355	0.9565578698518071	0.9699460697759281	0.9443510979927359	0.9548894634469809	0.9324938736609177	0.9640457113573322	0.9656180927526042
P3C+PGE2	0.945260405419956	0.9431071645839672	0.9722300195230176	0.9704478584875287	0.950153627982333	0.9605461739879189	0.9732504287714581	0.9360519557848587	0.8513842079962656	0.9437768409599494	0.9596536035479276	0.9385778820360628		0.9573862532549455	0.9723762049056701	0.940864749970028	0.9597414610368635	0.9323742448789011	0.9655847565160186	0.9592733814092719
PGE2	0.9619543605125556	0.9744128858075563	0.9805911464745378	0.9820628396068964	0.9795454486823878	0.9692040132238224	0.9715334057005864	0.9513698123766449	0.9273816965786832	0.9753246116135631		0.9507663506671575	0.9771993540742578	0.966789881934227	0.9752763952023911	0.9531596513534298	0.9547216432699631	0.9336771479538615	0.966428971018472	0.959720202684925
