	HNF1A	ZEB1	FOXL2	RELB	GLI2	NFKB2	STAT5A	PAX8	FOXA1	REST	FLI1	RELA	SMAD4	BACH1	CEBPB	AR	GATA1	ETS1	IRF1	STAT5B	ATF1	GATA3	HNF4A	PRDM14	SOX9	FOS	STAT3	ATF4	ESR1	GATA2	ELK1	REL	SOX10	MITF	NFIC	STAT1	USF2	CTCF	USF1	RARA	SP3	E2F1	HSF1	NFKB1	SREBF1	PPARG	TFDP1	WT1	ATF2	CREB1	YY1	JUN	SOX2	VDR	ETV4	SPI1	MYCN	MYC	TCF3	TAL1	TP63	PPARA	TFAP2A	ETS2	CEBPA	TCF7L2	EGR1	E2F4	FOXO1	E2F3	TP53	LEF1	KLF4	TFAP2C	NFYA	MYB	RUNX3	ESR2	SMAD3	SP1	FOXO4	FOXP1	PGR	ZBTB33	FOXM1	POU2F1	FOXO3	HIF1A	NFE2L2	ZNF263	IRF9	STAT2
GC (N=3)	0.07081217880720841	0.09892427718525232	0.007464978479848444	0.009934903922242616	0.038362680829126514	0.015583956230418845	0.02877397014259357	0.01870886960083444	0.012550044884073927	0.03730703127545435	0.06576079851594559	0.007718575866489374	0.1118807473581865	0.026293171615590773	0.01928622003695047	0.0779320942554187	0.03661783551306552	0.10255569789124011	0.04101643303888951	0.03272521062179855	0.049924507659980896	0.07796328129651993	0.04179174597215305	0.03043553909693298	0.12584687428959102	0.07617840426760987	0.05575382329194382	0.026927524118320736	0.046968181126867244	0.09860447050002354	0.018342402809964773	0.00773496230440923	0.03952415805304093	0.0438802973875163	0.02525056792725753	0.0564727303482218	0.127888574703128	0.04400205118245139	0.07932768761280434	0.03195194767574384	0.07276037317592306	0.06996054929537761	0.022521287664298877	0.011928963927746335	0.008494057046060648	0.04754158113745375	0.08404496782289654	0.01016822663162586	0.019283559344361077	0.07421562776953022	0.11969824498729577	0.005557085262241655	0.07575632876032504	0.13337198110093867	0.09949511928685581	0.14901577489745116	0.10253558446448982	0.15103666234664917	0.1158174371498272	0.1295803090898745	0.043262898738773044	0.10226628885660727	0.06574630849515507	0.023956422947630163	0.05083966734749744	0.030527718436460856	0.03380055692881061	0.06490408122876605	0.03393292646617162	0.046346681642091825	0.0325794400700818	0.1795558087136369	0.042204831121867625	0.060649289603112506	0.09072064863891274	0.03947890883074229	0.08723283024434433	0.01385231418194689	0.07287179104995846	0.1540517378219869	0.07714254818306121	0.15747010398339809	0.06347824749287306	0.016937837076850364	0.021933853776581917	0.1774301206565694	0.1947370339416278	0.029353333002609595	0.09909237430887631	0.051437256326750246	0.015413120148696046	0.014368596463710678
upLPS+IC (N=3)	0.04486456003760758	0.06854704118909423	0.029191919266156448	0.041165203965614766	0.05958778936263302	0.0963894990216033	0.031510755689261476	0.07449222003906476	0.07489740137721657	0.040812847328181655	0.07015258641866794	0.03472915329288598	0.06080073915894563	0.048875424294443026	0.10965458420229435	0.08543967892460515	0.1552998487704864	0.09822292316778672	0.11471217294931288	0.0024085486215441147	0.033255023128051474	0.04941677812460412	0.07072722551413162	0.10821138391994976	0.11465827281624837	0.06615270287323792	0.12469580390599172	0.04601434223577463	0.0863089169051653	0.07873548960924677	0.1220096262256022	0.02697007502720964	0.09328838604874622	0.049642405553630205	0.04411201331734981	0.27951277190348517	0.11144825367935884	0.07057089010157445	0.06487333520989809	0.060378389616270005	0.07158474500751054	0.08235409143992223	0.0659123168480403	0.0512931805883883	0.003895915771942588	0.09873529137857277	0.027887412062253314	0.016506106049123642	0.027511411813419404	0.10344835457163902	0.08625348459707571	0.007640714292088188	0.0360979913610682	0.07476989886961832	0.03876003560097005	0.12030057098039773	0.06021672633597654	0.027077633952296627	0.06761716775201346	0.04536527677444412	0.0424334660315179	0.06855597687099878	0.1108892235221199	0.09684600842976906	0.17771022314774568	0.089662345889264	0.025239785379368912	0.026883018050059826	0.06322636700819231	0.069920598848341	0.01559778300563123	0.13529045184401148	0.02222868915099296	0.11892354227161757	0.09522722629458505	0.17541861330386516	0.019625844555439996	0.027789706907124758	0.032249665814228674	0.22573240155124089	0.046390555428199816	0.09139277096343533	0.047172362469558624	0.06985636282517788	0.0449358142388759	0.18757561983525622	0.047866836810819616	0.08166026783592784	0.07412876553101395	0.11473317559411846	0.342275670039539	0.4295857916155868
IL4+upLPS (N=3)	0.06779581364900615	0.06619758267068053	0.034213107899493896	0.16031223498502248	0.0852946367801454	0.1064971102621956	0.09565348429495553	0.06327741968667928	0.03259514677076232	0.087379167214006	0.10591595368909616	0.19786875141050655	0.01920984359918407	0.06066898542143841	0.03365555806150448	0.028205273958383063	0.08123875702840261	0.04295438131018852	0.08436783274208337	0.05843119729836223	0.02512635221885434	0.17809886201301123	0.07584028596105112	0.08513381370731284	0.09918358170440057	0.08528766261696452	0.034514927778749635	0.04036649698371093	0.045342204861877636	0.09913401591443885	0.14705680914279654	0.0690086807464422	0.040668076212730164	0.03499547733689453	0.06309116822507867	0.04124683068105745	0.06281982317101559	0.057973082769837966	0.05275195952448162	0.1017138968394588	0.018247074817530448	0.06214693579342338	0.0697205022581387	0.12716059625507542	0.0029330044777911876	0.12603735715013858	0.06754258885237857	0.054440227747426205	0.09467402994230469	0.019974117072140314	0.05483405195091777	0.03697247960458081	0.0313795701364869	0.02893526481764682	0.028978263403267576	0.09394511968468183	0.03924781774702143	0.1489906769517564	0.1252358661353795	0.13179488123731004	0.020811933655983213	0.030124990078074943	0.10822979612035691	0.11031501481106884	0.08340934705708715	0.11083527768655226	0.07717575806723405	0.026029235068692137	0.10108491043995312	0.06837819719552317	0.047056723063741694	0.14509661839491528	0.07987957235864733	0.07797353074652746	0.054125665473879	0.15061282509366192	0.15414715865513787	0.0369875327713298	0.04450831833992871	0.05306170829009685	0.0835685619016856	0.16702464647737342	0.042230138373519084	0.10158514766178206	0.009784514336689688	0.049157038364647264	0.06205275970737305	0.022077049401274515	0.09701290425005372	0.06628567767116456	0.05348630199110443	0.030754744352169024
IFNb+TNFa+PGE2+P3C+IFNg (N=3)	0.02897766620765331	0.0053921876629316814	0.018782013226245474	0.16216310838229916	0.040823430546376466	0.021280286971338425	0.013420291565664785	0.08002342499675419	0.06898638064212341	0.1340077659359274	0.031968584083964274	0.0990115768656879	0.037540411256643466	0.06933854806282952	0.02007660950902255	0.06885067515517286	0.034753416067665466	0.07645022637186265	0.1541014338432512	0.030362007727667797	0.09949955410164607	0.10083786323108371	0.07084845156510564	0.06655348929649271	0.08908582709539423	0.0662319412160212	0.12474231876451168	0.021424598342936273	0.03757485303131069	0.057839854733688544	0.025593388340517748	0.2068939386314974	0.02035612981704005	0.06940237360437546	0.021259868045581404	0.11072221552842469	0.05867456632278144	0.04315684248249298	0.044569965621275104	0.05364026373378296	0.016237808025398568	0.12832890059196495	0.12383738419533617	0.1581833883035647	0.007105563146262767	0.06068796285465288	0.06858710199581144	0.006054737112476836	0.1473755992989161	0.11127576561326429	0.04171462242542592	0.02925048038367362	0.05526227308894581	0.0721612235866724	0.07898412677949258	0.10633505052895813	0.06457895037576071	0.015268090127671	0.18443444960067673	0.0971354563208719	0.07278132187876468	0.01753467168101054	0.013357920041029779	0.13873772972764056	0.08819762452556311	0.13313749627498433	0.13161801118875097	0.0030818372672381518	0.08872581022838355	0.0648415293445229	0.07774491777365845	0.04990132078118374	0.2113066098992588	0.07131868621505048	0.03260586617855144	0.07490175702711611	0.12660433677104824	0.18140541873164842	0.0725884097774282	0.08533741706645875	0.04967028863273694	0.04520825084509267	0.09987264753626922	0.01362033401653301	0.030099376330865325	0.02601481661810531	0.06279454126013602	0.018769855353227508	0.047801990534261526	0.10975589736425304	0.20768521927755942	0.2455432001496973
PGE2 (N=3)	0.04081137355478337	0.06852204649966721	0.0609213304977057	0.04659454786506381	0.10234311650228108	0.1569129790123581	0.10137423117166525	0.10263222667327572	0.08741109882762743	0.11799394548671878	0.13583139954503648	0.042482225395242865	0.024362093664281576	0.12122795533359448	0.0764076466314864	0.07351434671045261	0.019437176126702323	0.0678549013596407	0.04207005701346407	0.09892543828843126	0.1796710117901148	0.05855765407392161	0.04368288751675966	0.052750253678117254	0.13023423773189088	0.013978230216047292	0.10986313692056862	0.09927560700162445	0.08397560958124173	0.10230705555220972	0.011420742529955003	0.047308757457527655	0.10634774815405956	0.012748471912174058	0.06751787310952001	0.09179560750865981	0.018472432396431874	0.07001628086466206	0.0706099024468554	0.04517671802883171	0.06050837235535311	0.057349494919222276	0.0620519137682732	0.007034373299038338	0.0007187424535891971	0.13456703335387318	0.09690589571629768	0.15660270884526942	0.1188592624299064	0.02178647800101004	0.068945028698227	0.0775471763106377	0.03658795525442142	0.24636198632201042	0.0642573438711435	0.03542933042072014	0.10747735776608318	0.05360548139080419	0.03236517919111693	0.048151963876704985	0.021356847234303273	0.014359567551780682	0.03024376878873414	0.07251541649721416	0.09586078471819853	0.17579802639515404	0.2191424949051393	0.018920730529627956	0.04841029174315488	0.20860642065904306	0.11337129468742624	0.2549292012059831	0.10535975269391123	0.09469646706821598	0.08082234260382547	0.05348663642445455	0.01045192256941318	0.04397503798598915	0.017196002512399423	0.041405173790017465	0.051620220255797704	0.055985117527973	0.128333331816291	0.1159777908558367	0.04205964012744336	0.09144640856091396	0.011699560398130693	0.27245716359492933	0.3011481843215356	0.039220893105172676	0.21474966489245195	0.15144735074292803
TNFa+PGE2 (N=3)	0.07198447244646346	0.015426597455231675	0.025186271800785396	0.053305325872146876	0.09419034408655648	0.0212587850665239	0.14789820746012042	0.054117894408659176	0.08281068297712019	0.09970193506911378	0.2362240489361441	0.012927986108788743	0.07889764258260734	0.11220857223312426	0.039494308626732366	0.1259796230140915	0.12050260318347601	0.07659120225523441	0.12349432071673325	0.1736909155943908	0.025021039545742793	0.18081969054734207	0.025851081047472073	0.04235324564898175	0.07096649362899547	0.07055211831925623	0.09421187115419113	0.023535221938198615	0.05024884765359851	0.06889694785547186	0.20574971051317834	0.009549877220207233	0.016426390266007503	0.12224544274168968	0.14107808308414965	0.02694632180648747	0.13734147332370097	0.12670633231033934	0.10557582633611634	0.13077821563525063	0.06656076563276772	0.033224375585667355	0.08854938927225126	0.0035020261563603054	0.02706441316415088	0.018997253460302923	0.042640307230997064	0.10949562670853398	0.15163374037799673	0.046982795747972865	0.06427955646253056	0.07424898806772011	0.08007735337424796	0.07986265517390104	0.149444791629123	0.17626762057069953	0.10177751831358992	0.03620111070140083	0.03304630048258449	0.09949237013565038	0.07688415473390704	0.1800527063432398	0.05445673279532794	0.08056302192580693	0.09261346865802388	0.04711366138005101	0.16341806206956921	0.028442922834736557	0.08579198272226815	0.08434824538478862	0.07755364376455406	0.0869452999872715	0.232070942004817	0.16057434411490212	0.1493665966287023	0.0549523376779092	0.053015935967918426	0.07332876075122466	0.03372052537853231	0.19457328452568134	0.09302008430990338	0.03731990265987269	0.17963659333277052	0.015100181755067643	0.08150076359400542	0.19733797859274274	0.06049363473203146	0.07470006165474512	0.12001168624074741	0.05584830326479264	0.0171992497822706	0.0048010679875758605
IFNb+TNFa+PGE2+P3C (N=3)	0.06916386209794782	0.03058519678418699	0.10276721912846166	0.02716765412375923	0.03783495852008868	0.05547521775940484	0.03509682891858667	0.03934782317630651	0.07009508147202771	0.06426732246063546	0.05731476071988393	0.08966332321038749	0.06975258905439254	0.11340336625799435	0.12788833181893242	0.1229121547482796	0.10760005938371973	0.0945543246088256	0.08753312245928391	0.04452528829781401	0.011348802087513684	0.039815540214256685	0.012628399551680426	0.07583947684021249	0.23501878199217457	0.07944641148897272	0.06193237532448351	0.09648879312831359	0.01913684599871021	0.11044163845465226	0.06886485142581548	0.17464257073982328	0.1502467677182068	0.12716729612294028	0.07187474977626268	0.04613750892628003	0.1444801249811457	0.048152068340160906	0.044082194994516585	0.021153992779684976	0.015132861874997064	0.06573009736282161	0.20085787451039264	0.15614597097185545	0.06032826850938857	0.10181680233108527	0.017415419116808682	0.1245388605652706	0.09786140870622906	0.07510654019502161	0.1515646691180128	0.13134600621182035	0.02984392640282548	0.034278117644127866	0.130185405990351	0.020327918319950542	0.07732776681642356	0.024184196551204712	0.16086805041165317	0.12251766406749724	0.18099786586800196	0.048991370978257696	0.07530795662253502	0.1698594912261417	0.0138642093114441	0.17288766248046408	0.11919101379480992	0.006840061478948257	0.07374460326220508	0.1683560190426983	0.09802423818161966	0.09333208773889715	0.17331099230552258	0.22694655389585136	0.024818519000436468	0.17538132570442233	0.06583617826062521	0.12525556266694876	0.07331592078699395	0.07114654041031092	0.025492407010282183	0.07115627315722281	0.024558430384853	0.014949607616799532	0.032938093672510986	0.04203054995029353	0.03987194255179754	0.17100889462607727	0.035331073962262156	0.07990007804963238	0.03628980758334046	0.06671926106058838
P3C+PGE2 (N=3)	0.024183670178393627	0.04132688526616434	0.2446689052138027	0.03247914079662775	0.04260027052744169	0.055108244298550435	0.026185019472291703	0.1050818567314313	0.04357897393089638	0.057006451077279356	0.0369943068844171	0.04305690314298671	0.10117839922601123	0.05237315194079963	0.025693431807209878	0.09592059743712436	0.06432606007313783	0.0525209175045344	0.024765905419574193	0.06803551363475009	0.09321233003527125	0.05721216438367315	0.03396975815903546	0.12110016205113319	0.08068076576002846	0.044680962747907844	0.026659125200510718	0.22454475221837536	0.051759634531677284	0.04789270361452603	0.07066795561959723	0.10009792965785297	0.15325748308560944	0.09508702458392312	0.03744315099236102	0.05090892961418681	0.0685629479317837	0.07488529605508516	0.13403113093629615	0.03110232961230632	0.01310221051061091	0.10237188313977916	0.04008419163622563	0.05720852415765884	0.033491666529143274	0.05118059274914354	0.05759596524212289	0.10799221910180919	0.13504434673333862	0.19608073951609797	0.10489811549080591	0.2282952298342874	0.05659586830432825	0.1299620273042338	0.16540792521755537	0.06775899049452942	0.12836408431908333	0.02315310147421393	0.11126975119891193	0.12053457124279318	0.07766749453475504	0.14324175066545583	0.22805989541873017	0.1476474779152051	0.17358530699679325	0.13039766869376607	0.17618774719469205	0.018854547626457965	0.05432059625664272	0.1817161812893936	0.06044236023792184	0.13757197529237145	0.24170785334494452	0.22947141882720862	0.10128655866880139	0.03256756547098734	0.07642166698669746	0.10822562744596913	0.03818644312626616	0.17193904480786196	0.05589278453835469	0.055676865825869025	0.07282646738571429	0.08327919632443798	0.02651166471832367	0.19586324055200804	0.0463382904527079	0.22170290388867062	0.2500510060942864	0.07385038849007683	0.005463954667692178	0.0009480582496573562
IL10 (N=3)	0.08697962354375861	0.022549162858066824	0.05028416466181101	0.03673671181945248	0.037893985531199	0.051270499470864886	0.021860403437812214	0.09247811804386129	0.05579880073505139	0.07193544624810327	0.055919159401004725	0.07133890936815325	0.13004314139457418	0.1648061617553812	0.048216476881076505	0.13884936883980278	0.07936195177426622	0.0838918239526582	0.030376741314511894	0.060741177524822	0.04566423227686548	0.10483343590128184	0.06639092340768557	0.11759987526999431	0.06573685753893634	0.05940632540065547	0.04933373908620475	0.10883954502812959	0.17188824589436993	0.13465834085365577	0.05027692847285392	0.002434846560594059	0.09636279777619752	0.06896653390548503	0.07069974093504838	0.022269140019919906	0.07650599652250119	0.10274356156227288	0.12388861979798363	0.015365844251430418	0.12940832182443127	0.1033065878130614	0.11829227030200738	0.11810500722173266	0.1569897813941455	0.05498986994188419	0.19341240384188316	0.020820984511278225	0.05985925120809933	0.02292764624535102	0.04413190674859068	0.1968766696624774	0.0639387015383148	0.014067613065092683	0.19287825169395234	0.18516339967342382	0.2296155346431449	0.1491620999886973	0.14472012010485022	0.046793874186596834	0.02486451875961238	0.1273837479663451	0.095602706684744	0.01813770150395956	0.0046393466427913305	0.04703236671220139	0.12902517277524855	0.2320841431046016	0.1672549620614531	0.03440254062425714	0.0946100809133452	0.05945795508828326	0.07818948628675461	0.17278165749477822	0.19411772825745546	0.09288189674109396	0.2113900046169636	0.07259773792148928	0.05591783583799521	0.0365647114676486	0.1400537413086144	0.029987323935597075	0.16181985945361832	0.07997572703363373	0.027370593499128928	0.07480478265421796	0.042364819138499855	0.17068945678838063	0.050288276386353	0.18162193716311156	0.0031851567613112087	0.0022018735820285677
IL13 (N=3)	0.0826206465270855	0.02697967961958083	0.028958847267023274	0.0165099417000317	0.08393005933712169	0.0014895572712285354	0.02245489120340311	0.04396642789615896	0.019402545684728153	0.09444634778133523	0.008405233326535122	0.022116091765299724	0.07946219207670145	0.06810189897730605	0.10412801142336328	0.044642709481698996	0.054962731880475464	0.02438349903453671	0.08537919477208472	0.06904976230931041	0.14238224972415672	0.048744944945418464	0.06328091329037039	0.07664625100390886	0.03817608684389236	0.04085605645926477	0.1246919905532724	0.13510849844875286	0.11587723496382989	0.12232493485042889	0.12942967649162673	0.1295846409864935	0.016219020293542802	0.10636486729931377	0.024277450637698282	0.015021472768963828	0.04415206639261185	0.10384447676072223	0.06390455705347783	0.059365361032916696	0.009311246739979758	0.18454705269827493	0.1474593266681301	0.04460953673366773	0.290347596508707	0.06075269053448574	0.1314518486782589	0.06356717429222809	0.03187395136600171	0.06684914728031745	0.05270036156533387	0.12525641158518816	0.20361616085773995	0.09274006820850249	0.07152507982515306	0.054921394617031605	0.07659863605772768	0.15401480684882127	0.1747867664288185	0.07936812101373503	0.03812650462583672	0.08094748011180879	0.03197346562670196	0.1611462550386734	0.10550835488590189	0.06735907132020104	0.12468676267772963	0.19568979341953308	0.060078073968796636	0.17103042324342602	0.07168744598870781	0.08401527084433066	0.1293175346950885	0.023154407213933657	0.22984717210443958	0.09630437602608512	0.059777909524819595	0.19293428792052345	0.09828972369446068	0.10097450320765579	0.1425869006712959	0.18461696528945276	0.1876252363183715	0.20228928454065706	0.20048403797747685	0.21228632761802235	0.1525431317510378	0.026206731590752916	0.01347480673748919	0.07367770749113643	0.011526326150816469	0.0043576522721771255
