	TNF	NFKBn	p100
-0.08403361344537816	0.0	0.0	0.0
-0.07563025210084033	0.0	0.0	0.0
-0.06722689075630252	0.0	0.0	0.0
-0.058823529411764705	0.0	0.0	0.0
-0.05042016806722689	0.0	0.0	0.0
-0.04201680672268908	0.0	0.0	0.0
-0.03361344537815126	0.0	0.0	0.0
-0.025210084033613446	0.0	0.0	0.0
-0.01680672268907563	0.0	0.0	0.0
-0.008403361344537815	0.0	0.0	0.0
0.0	1.0	0.0	0.0
0.008403361344537815	1.0	0.2137065823123494	0.0
0.01680672268907563	1.0	0.3846718481622289	0.0
0.025210084033613446	1.0	0.5214440608421325	0.0
0.03361344537815126	1.0	0.6308618309860554	0.0
0.04201680672268908	1.0	0.7183960471011938	0.0
0.05042016806722689	1.0	0.7884234199933043	0.0
0.058823529411764705	1.0	0.8444453183069929	0.0
0.06722689075630252	1.0	0.8892628369579437	0.0
0.07563025210084033	1.0	0.9251168518787043	0.0
0.08403361344537816	1.0	0.9538000638153128	0.0
0.09243697478991597	1.0	0.9767466333645995	0.030242542163625697
0.10084033613445378	1.0	0.9925152371067129	0.0813524384201531
0.1092436974789916	1.0	1.0	0.14619547307318298
0.11764705882352941	1.0	0.9976220660250457	0.2193899555021559
0.12605042016806722	1.0	0.982364043535722	0.2969203901341629
0.13445378151260504	1.0	0.9501871938410442	0.375832353172826
0.14285714285714285	1.0	0.9021183987447337	0.4539919012501776
0.15126050420168066	1.0	0.8415489352779583	0.5298962198173738
0.15966386554621848	1.0	0.7746082484293308	0.6025249199648609
0.16806722689075632	1.0	0.707728053283125	0.6712235483942705
0.17647058823529413	1.0	0.6442717481589215	0.7356125959349619
0.18487394957983194	1.0	0.58586647004411	0.795150331518112
0.19327731092436976	1.0	0.533178696891513	0.8491981173354178
0.20168067226890757	1.0	0.4863389340860459	0.8969641349979176
0.21008403361344538	1.0	0.44519306645487644	0.9373166620055671
0.2184873949579832	1.0	0.4094643399332216	0.9686769259645891
0.226890756302521	1.0	0.37885775523042764	0.9897851379270417
0.23529411764705882	1.0	0.3530826274987617	1.0
0.24369747899159663	1.0	0.33185787737016775	0.9996181613123039
0.25210084033613445	1.0	0.3149004570977591	0.9898138193898975
0.2605042016806723	1.0	0.3019150737804225	0.9721079790646386
0.2689075630252101	1.0	0.2926048683129779	0.9480845978249147
0.2773109243697479	1.0	0.2866838604064085	0.9192477140112018
0.2857142857142857	1.0	0.28388561600913725	0.8869543901276241
0.29411764705882354	1.0	0.2839675650043947	0.8523906022986157
0.3025210084033613	1.0	0.28671162876859474	0.8165727046110054
0.31092436974789917	1.0	0.2919218121963304	0.7803635055773792
0.31932773109243695	1.0	0.2994191453224927	0.7444897687047141
0.3277310924369748	1.0	0.3090347067014517	0.7095585367579405
0.33613445378151263	1.0	0.32060131926513963	0.6760700224877721
0.3445378151260504	1.0	0.3339446438309019	0.6444276270675674
0.35294117647058826	1.0	0.34887445006028983	0.6149483677265323
0.36134453781512604	1.0	0.3651765714027657	0.5878739194918731
0.3697478991596639	1.0	0.3826060780310254	0.5633816689035605
