	Average TF	Only Reg.	Scrambled Y
0	0.16209216402158538	0.1536549543248076	0.10640465359645478
1	0.163965026081285	0.16022400449384555	0.09890039118625378
2	0.1637745280301809	0.16215706850218695	0.12036095278138709
3	0.16178729913656126	0.1452769496126152	0.0963302630600061
4	0.1592485884577339	0.1416113953981888	0.10339433502736241
5	0.16276788952786225	0.14356783950355573	0.07946548758365295
6	0.17746527999945116	0.1303195580913683	0.11196303648376883
7	0.16082043763326512	0.13436488902802138	0.11033522783423844
8	0.1556004004013825	0.15844626320749944	0.09849463768478404
9	0.15796276033220233	0.16549655949782358	0.10217058109013938
