	0
TP73	0.9623876961952529
FOXO3	0.9640984160330204
MITF	0.9877010720409689
NFATC1	0.9659116547702515
FOS	0.9738847781109696
MYC	0.988225624180443
ESR1	0.9757775670891828
TP53	0.9736319216976326
JUN	0.9944242347853708
SP1	0.9881006680626756
GLI1	0.9602370359633539
GLI3	0.9659116287034952
THRB	0.9879898858896893
ETS1	0.9881006700672903
ATF2	0.9939436791726346
TCF3	0.9990665597682923
CREB1	0.9620713640235599
JUND	0.995371697162946
ATF4	0.9719355181154009
ELK1	0.9943965306621764
NFKB1	0.9765311770546146
BCL3	0.9774828356536017
NR4A1	0.9822468818135652
NFKBIA	0.9361716038672916
ELK4	0.9941503972831687
TEAD1	0.9938609228189887
DDIT3	0.995182037060545
STAT3	0.9993026344829927
STAT1	0.9993028190616009
STAT6	0.9999069591600852
STAT5A	0.999779740075426
SOX9	0.9609265479149248
CEBPA	0.9884419711096226
STAT2	0.9990889266058003
MAX	0.9939436786830929
FOXO4	0.9614412224940152
NFKB2	0.9575685074493587
IRF9	0.9991578970128888
E2F1	0.9355848118852808
RELB	0.9554371411861865
RELA	0.9717179230765752
REL	0.9968554465044843
MEF2C	0.9939436785588674
PPARA	0.992139821977987
FOXO1	0.9614411658366453
ZBTB17	0.9884339925227109
SMAD4	0.998250636811777
IRF5	0.9971406303503759
IRF3	0.9966741513012333
SMAD2	0.9970060603768507
SMAD1	0.999038415419954
HIF1A	0.9029847506422425
IRF7	0.9698970655462457
EPAS1	0.9088573891538481
LEF1	0.99907243538932
