	P10275	P18846	P15336	P18848	O14867	P49715	P17676	P16220	P49711	Q01094	O00716	Q16254	P18146	P19419	P03372	Q92731	P14921	P15036	P43268	Q01543	P01100	P55317	P58012	Q08050	Q12778	O43524	P98177	Q9H334	P15976	P23769	P23771	P10070	Q16665	P20823	P41235	Q00613	P10914	P05412	O43474	Q9UJU2	O75030	P10242	P01106	P04198	P08651	P19838	Q00653	P23511	Q06710	P06401	P14859	Q07869	P37231	Q9GZV8	P10276	Q04864	Q04206	Q01201	Q13127	Q13761	P84022	Q13485	P56693	P48431	P48436	P08047	Q02447	P17947	P36956	P42224	P40763	P42229	P51692	P17542	P15923	Q9NQB0	P05549	Q92754	Q14186	P04637	Q9H3D4	P22415	Q15853	P11473	P19544	P25490	Q86T24	P37275
CON	0.7260356936813738	0.40185437906424554	0.1734987090258698	0.2395787795607308	0.6906533399970998	0.6131217946916985	0.13207138497524398	0.18685606958243234	0.38924519373604527	0.6413475406838296	0.2516780634803506	0.7774864423569566	0.5809587706199633	0.33157914036576835	0.5088399171735619	0.8019997695780494	0.22990975159896787	0.856080914594618	0.5922129661093981	0.7895401682016044	0.2887050787483339	0.6097092799163211	0.07767428231537075	0.4048910622891228	0.4094490149224864	0.5434866822552512	0.22756706209899247	0.7797038067226966	0.44220129665097757	0.6577534689251252	0.49524650282011745	0.46570091662284335	0.45006269225581874	0.45047989847369146	0.4671237013434644	0.7462826142690719	0.21723030509188554	0.4560159239369356	0.2817555947329653	0.677773563471838	0.5063553037656854	0.4072976992968304	0.5249443463627208	0.5411439434171132	0.5890212278207143	0.20129664664347466	0.6954525520397106	0.7687844414360264	0.33122937439245853	0.3894223150497054	0.5877354835077367	0.4796738697336657	0.42015697675737634	0.37671268356640114	0.13012937395716667	0.07886700126414449	0.12624643025913115	0.20008564932762107	0.5680490851582096	0.4744853472639391	0.383142179072287	0.43927441634315845	0.5160282019511218	0.28724700945908604	0.4928430725200062	0.7998853078488705	0.4963479375613252	0.648351521243991	0.2528524305986092	0.1918344172386457	0.27994638103268715	0.37785664975362726	0.46735411396894605	0.7097099068337085	0.38740043640203586	0.3849036594992944	0.4143908439715456	0.7658632447841541	0.7020480476802174	0.5359297149118597	0.14762978659207057	0.8145768117047806	0.5990530250079841	0.2541413174830399	0.20379153743107073	0.4861565231774265	0.38440925008773214	0.5506031819881787
GC	0.6992166331256211	0.30795878558214723	0.07694384704808538	0.09699784542303759	0.42311809187961824	0.4399176670527194	0.08672942145280077	0.22140184029645296	0.37858106602408875	0.5918558460852006	0.18290429274143816	0.3409014448587953	0.4117076311539402	0.4211004078662866	0.6138676843386414	0.8596264096914864	0.20530239101054246	0.9106113270499292	0.19961247293790904	0.8310020547416356	0.11949363831363452	0.7490811589699556	0.07111516868257435	0.1033141970913935	0.6567805103783986	0.6779265027876388	0.20234294626400984	0.6621519499613141	0.48376205886937146	0.7046404825668903	0.7717215474433984	0.4215935240952458	0.09428880578176176	0.5720849902870676	0.5643802994650841	0.8587446553775359	0.11791644742357016	0.011825866910455873	0.36892695153022714	0.6371345359647602	0.617777578246605	0.6775854722577268	0.7249376896162297	0.34463167366451364	0.858470957985105	0.01642498246738991	0.7058953760821778	0.4962887546064785	0.3079598713980249	0.37363372413916635	0.6810140650061419	0.2994058570870242	0.2253295569279493	0.5147458280413103	0.24024628134928727	0.04784298867539948	0.014722226226072693	0.06335418243260499	0.44010356179478216	0.2541476387733751	0.2531844404623626	0.5443964731843209	0.5148234105732369	0.5600947941120104	0.428649000847235	0.43914406310938087	0.4660836126662922	0.4382366603524825	0.030110730808247468	0.11505384116619206	0.32252330823561454	0.7707489984345921	0.7066192676240992	0.420837254644899	0.4121917803921582	0.2092802313044372	0.24633324554606184	0.8320384252084462	0.4822355755862464	0.796771056707286	0.25033169741025857	0.778722442207203	0.41778156909984404	0.3104703307377716	0.07521701880336208	0.6768316884496267	0.14606374134408495	0.6731902209658095
IFNb	0.558964944262209	0.36171375988363713	0.22059321883156946	0.10353484496208921	0.36856716243027754	0.5778040905279044	0.16940160658578526	0.5026150250149607	0.7253161370847693	0.7035816848671486	0.621996408705061	0.35486353346314775	0.7548181342098363	0.3228404917242776	0.558822588901164	0.4077125771942938	0.12624487840894696	0.8679978843207715	0.3280068476529712	0.43128033212833783	0.10947380587365489	0.6597916699655152	0.09156431020596917	0.7328703468339522	0.5133550479537855	0.3846894299228385	0.33997555626409853	0.6913323341052552	0.5809071025367047	0.396648624460102	0.48810979006750704	0.43019354838760887	0.13164244785603144	0.7145716844806881	0.5522674828007998	0.5838002977858929	0.1533042790000467	0.187316120727731	0.40132114859675627	0.649615904535254	0.6217479034365586	0.5738455827766352	0.35254480127805027	0.502580205911889	0.32259425591158314	0.042976438202730505	0.8746767230350366	0.08830950177491097	0.511219671775997	0.6433895268967321	0.47488247676762657	0.5059448015471282	0.7146936542558094	0.5068560445946954	0.4351059002492152	0.054307264548514846	0.025202438405206074	0.17208772691449695	0.4296960313094904	0.19185754314642334	0.4783739522278332	0.5091112951987241	0.7917104516789296	0.7408129660398751	0.46987926244621286	0.3265406595314672	0.6406147239519376	0.48628918129983906	0.5197062015629608	0.518346865642019	0.1986711758117813	0.2561853340758293	0.22541873609980692	0.4601490880621448	0.6173239928540809	0.4655579415206037	0.292135908380955	0.7010527902917745	0.5454775671147446	0.5126177531059258	0.5577539121062635	0.5661007737162342	0.2410764315200933	0.5395530398464558	0.21524048916640415	0.5555710250040052	0.5836112909005806	0.3484265623771316
IFNb+TNFa+PGE2+P3C	0.44627038196592883	0.4253595700700343	0.2470214647446524	0.7480183495680355	0.29233465494196753	0.22232877860137998	0.78052991238027	0.7408637559018346	0.8258326055213687	0.46557455531358566	0.6879980817690664	0.038375399249849	0.4024834026952869	0.5807235091120043	0.7891240207723195	0.5995348340387183	0.4761455830066648	0.6274866054299583	0.5847458497761134	0.4257425597661641	0.8155262571095275	0.7747144260445785	0.7137853087569871	0.7351637103631911	0.7096996597957901	0.8943438780990108	0.8954775510133719	0.11582576874398882	0.7194449621062228	0.46006136020338273	0.744566015067067	0.39958011869889826	0.7361574907144147	0.7840016896511033	0.7444746065917925	0.5794810445934142	0.22508874455201333	0.3931949146541869	0.3407871735530856	0.23277210426203018	0.6183039744535086	0.4982364695447676	0.029119977771317168	0.42411265159604294	0.4285419198484217	0.7452223459299043	0.2113759216856386	0.06056508911031986	0.4631337245706216	0.6998542446117962	0.2681662360776462	0.24167810840722784	0.205041847433397	0.6195286857691354	0.7455401791564246	0.7895021895960656	0.8713354869273721	0.4776650166272813	0.38332573529409486	0.6643984307856465	0.4584274397773334	0.5039093615673969	0.5586423048082071	0.8820563895639942	0.4895663878215885	0.5519645211396019	0.9046002206029903	0.6958437980322857	0.10861721573236048	0.4096017009888276	0.7498587868639316	0.7295931417020709	0.6713403842863589	0.35446574762539546	0.6235530107876425	0.39006597436571405	0.8200684797091745	0.45239137561200876	0.1508671624449015	0.6270742176593256	0.5565621135294956	0.193070787977169	0.4191976869895285	0.7332442242564957	0.41897562719053694	0.46597832890440866	0.7964344994349636	0.204681227511157
IFNb+TNFa+PGE2+P3C+IFNg	0.2183757025140739	0.5630237463487898	0.56179931457155	0.9528197078701587	0.28118634841784435	0.3355144762439714	0.9351278351388864	0.7481179195411043	0.8867311910855675	0.43724783166883635	0.5792593659202714	0.020605414752099704	0.4423591289656732	0.6254717686831174	0.6451254755499277	0.3916555502477442	0.415836266668612	0.48293734401327865	0.5243605784726405	0.32173869511585357	0.7723281116976065	0.5610752181223598	0.9178354101879492	0.6559499117275126	0.7624603122915925	0.7576418076832784	0.8686067912129528	0.14125217628210734	0.7136535443616082	0.2605956428023151	0.6856590246047395	0.4063771499647593	0.818583017118919	0.6875063999271113	0.6494766593997192	0.505769570194723	0.6876252723063504	0.619819897464386	0.4342404481422066	0.16555293100462273	0.5067604781784358	0.30336793413786173	0.03334554733601604	0.3133828287594585	0.20315043134667032	0.726846116933884	0.37620445814899933	0.0827176125612089	0.42821038305747544	0.4727076752325025	0.17753563166046463	0.0881500799209432	0.18510520307990985	0.44339641634295274	0.6442340220698819	0.6949042291200814	0.8022476890517835	0.6244554126856307	0.4099820881657823	0.5456632569081834	0.13670669598443408	0.19915362677151652	0.69820176098681	0.8096603923780394	0.3725837284022657	0.4209491893428337	0.8751202999980281	0.6672666168752794	0.08385519162147426	0.7760279529548594	0.7318302343804518	0.6899555077490914	0.6129186501006768	0.2501578285652687	0.6043514508558009	0.34642300080248073	0.8560701074753675	0.35233848665726225	0.19977492535088248	0.7621464615677809	0.6775922657535549	0.24278219535543344	0.637660793109848	0.7356024438028639	0.5765537114411686	0.4777909580068866	0.863957114081792	0.26806787221563
IFNg	0.3664028046079236	0.5878130712429848	0.9092234547023873	0.9377971837290434	0.6915411547278082	0.8481974891791909	0.7683772914164045	0.7494687193061242	0.4630108896052815	0.3385985286112319	0.3761353319747905	0.13398919937990003	0.519384684571169	0.650108738926476	0.7087292231834497	0.4800987984166557	0.5818404730598591	0.25481836914534417	0.7378478911319798	0.5304798885951275	0.7879647292871607	0.5377476809519626	0.8740928918634097	0.35033682260325405	0.5725616558764358	0.6788219319526514	0.7557816621763812	0.5198999801959915	0.47698650861061964	0.5604499002753695	0.28628368827892087	0.40438095553860925	0.7842930982830726	0.4164137261591835	0.49847992639148636	0.7313422778340458	0.9472163988719579	0.900059815228502	0.7998769151840349	0.37074789763227256	0.38104346461576466	0.3175828761727301	0.06490109089849871	0.25573927082281983	0.4175455666138665	0.9230073478809909	0.8790370439686442	0.5410868190947735	0.43088796417714104	0.30198620742907034	0.7424791693106171	0.2838971351420108	0.3327970939917781	0.46661317866040847	0.2797381748963784	0.4986854409598123	0.8581082776169515	0.7435534932022411	0.5886043263814589	0.5396041032567925	0.6363977259165569	0.543343200288158	0.6331514269462256	0.25963214230830806	0.5347440266906182	0.8949872241299902	0.7963575207463335	0.7095625484700133	0.09035961098708094	0.9299560588623409	0.718584249488196	0.3430937216032247	0.6254480727755458	0.5767023249744518	0.476197933513608	0.2739760029618458	0.7974751686574602	0.466624841511755	0.24166159209187743	0.7983722260732085	0.21842884925561304	0.40259177991085193	0.6769459764819313	0.5055037216825815	0.4875048197553799	0.294383791485671	0.707624605118774	0.6294637936205632
IFNg+TNFa	0.5611801090731164	0.6638855421470962	0.6537545214901427	0.7690570495661045	0.7441031413015411	0.7244427489630244	0.4610529054709636	0.6362911302697071	0.3353022501934359	0.28883905337009574	0.4190708473055839	0.1669715244927266	0.6774830979995027	0.5779082955382934	0.7222122124815904	0.24763427444307165	0.5601591803987994	0.2519127606884251	0.6775856833465115	0.3165424657914469	0.59725281489632	0.367530650048556	0.7892038909852329	0.44782816674508835	0.45189108764937247	0.23938395031167156	0.6437994618251516	0.4555066829608923	0.5008691468341583	0.24834913325771005	0.21067833426164273	0.7350140951328982	0.6729456523919976	0.6214609900407533	0.37968829405539317	0.28869567058679585	0.8516505473151775	0.9767996454385216	0.6973551546529023	0.34957802904753477	0.5365308463352104	0.5620512434405603	0.2003919994810354	0.17204643909260645	0.3402758740904352	0.932483682023452	0.39024181012480375	0.5915569586408546	0.6823341552290482	0.48926245122235584	0.4334860394155294	0.5197965729011204	0.6202581854892402	0.836674346850669	0.3179238961806404	0.8727395382913968	0.8997858458548227	0.8776013208940352	0.5575406691777168	0.5423234929080091	0.6777643597107401	0.4853555044652855	0.693081059974609	0.35221667933127204	0.4969888188749742	0.8703805705815172	0.7839909564673859	0.7460976947591761	0.18726625570471087	0.6837308014580614	0.45976293695209697	0.5187984741083164	0.6639790677630418	0.640847939705688	0.3599921695171957	0.27927710743538775	0.7679459704601669	0.5109886043834833	0.4078359887580652	0.6383117997016529	0.6430312703015945	0.5810584849884947	0.6032698086909438	0.683216217660228	0.5165022159941927	0.2967019342282144	0.7455292882174896	0.47843913025187224
IL10	0.5755012738236039	0.5887077523098269	0.22147622032321132	0.5063978611237584	0.5695332132866824	0.6365348507532682	0.13469798417120213	0.42693122558235763	0.33818329839680566	0.6346263196975569	0.29273652942752804	0.6644682682044827	0.5960686118498824	0.3712661127270609	0.5392858917248375	0.774610199716177	0.2841494663099606	0.89669741251162	0.6620417044350903	0.7146451950619422	0.3918838645135058	0.7448307234432	0.13935076573291758	0.27989669132496625	0.3901996387513726	0.7686845010260263	0.3847687588861903	0.8904933865878516	0.3644654820197406	0.7285039061238657	0.6981080839738255	0.585520918086454	0.520688344823939	0.495278917453336	0.6675248893356357	0.7786915744170001	0.11448157231919541	0.344451709324561	0.30531513508013997	0.8961840217948996	0.5816793575865574	0.641277233145157	0.5451249710789491	0.5760238047881826	0.8152946036443677	0.24554321612426092	0.887575281590621	0.4820612456124189	0.41328683879665123	0.49031444757352743	0.7214933171651522	0.481994150007324	0.39098397305811355	0.4879229491610226	0.31257449106407265	0.040940872978588526	0.16910141162249684	0.1500743232502358	0.3489481879132508	0.418932994587308	0.5556471411179783	0.5979728145019287	0.45652091792707866	0.29945936873904416	0.532799070452686	0.9215447280191232	0.7881264837467045	0.45123946982349583	0.18336563181926102	0.08781643254117726	0.4079302459608785	0.25745239695544925	0.25429476504471293	0.6709911092994938	0.3908204562399031	0.45894547362002297	0.4074246935651303	0.7626163872901374	0.5887726696665694	0.6118887870844542	0.18862746176202463	0.7225349494002392	0.5099146563434153	0.15639516574124077	0.10758704487259968	0.6434004072453734	0.22457722932117363	0.618569993744874
IL13	0.8503768022328296	0.369598635477683	0.34588553787752313	0.3060558204057579	0.6298047358408506	0.2675880736539827	0.13032216898025423	0.47061456305229754	0.419600554185865	0.6707098042761084	0.4279713247793138	0.34609004899849377	0.33549357914051986	0.5578185783199697	0.7542914674574911	0.5571916695125708	0.4299080695811526	0.4467599831651679	0.33468998258714094	0.8649881587445037	0.2664352702267477	0.8980947884855212	0.09252341606227193	0.6589714137724599	0.5457773959062086	0.7354390944775474	0.5014071969079689	0.5879827308035362	0.540158152776861	0.7524239164504273	0.6653654780478991	0.5376354524886789	0.09993225388496767	0.5501604134902753	0.4838334391093188	0.5806646405950738	0.1368163374833364	0.1651168344474861	0.6814434355032507	0.7894940564160459	0.27013733893407105	0.8412124611813873	0.4109794645428171	0.2570522318377523	0.8942177288649207	0.06044487327519732	0.9711873233677881	0.4491027315046112	0.3035408437989576	0.6193381688520353	0.7403434112815441	0.8435217802626721	0.27740058844782284	0.5604353813619541	0.4856402202610795	0.16504867682172597	0.042585077706366305	0.09069705308067962	0.29131606945886895	0.4998837107572705	0.8787973404124688	0.775500790516879	0.5762406998911764	0.6152523912629912	0.5945729471982792	0.601898506399452	0.3308968068351286	0.10062588941884743	0.5084790455239756	0.07762564873718798	0.3036723510223635	0.15881251130075513	0.2987310310432931	0.7329133344833738	0.4717856368793359	0.25959000934831544	0.3732279714113729	0.8162330922841577	0.41467003508539246	0.7578953975674064	0.3043878619457321	0.4814146849456855	0.24946286014289418	0.6313948604878186	0.1615963974418987	0.6654863286074282	0.5925692983185743	0.6269214167457425
IL4	0.9002093540741892	0.20748206349716006	0.200357559929942	0.09563319219500116	0.637057149250043	0.2985018612582541	0.08662509852195335	0.2191193388584447	0.4542853048006027	0.593390352004526	0.44383736870292534	0.43739125279342206	0.5408341552055087	0.5251940636709305	0.6492473908590997	0.5676253216470756	0.24197261459940841	0.31984679450711784	0.22401333138157953	0.722012411800997	0.10011705995583826	0.8126016249504311	0.07469851913312442	0.6963115290127071	0.53959248951629	0.6429944528493101	0.549009688982677	0.4777362693189177	0.6430395351738045	0.7826534852235068	0.5382749587256819	0.4962989048769823	0.19491160752340758	0.4576839331768559	0.4410359980490594	0.6195713092889862	0.11507338179608548	0.14791829305631912	0.6189443881639665	0.48838830488221097	0.3170597018011488	0.7225725690763058	0.5031706168799641	0.26390116362708016	0.6952933631036362	0.057660102640172226	0.9189695530077964	0.6561958819917362	0.36583621010549133	0.49985022987561506	0.7641765227836504	0.7343293796468778	0.2824851765909705	0.6214019728288025	0.4701107758604378	0.10478845453926537	0.03547140809595077	0.16685798177800465	0.4499131035906858	0.4648158032514931	0.8573357187464795	0.6983842756296945	0.6114196257413888	0.6304833876576283	0.6310404019740931	0.4622643669491885	0.37954837545697	0.14329428874438768	0.5872897034952134	0.14970565555998497	0.2724832022485669	0.2616583499380164	0.491971904732151	0.6768820061670939	0.5002540155604474	0.16627709983776776	0.3999921931820108	0.7076974475222728	0.41928470401706364	0.6370245001437854	0.4191226753978435	0.5905588453251263	0.2623116013025273	0.6290110258283655	0.2062349528245134	0.5128103421341457	0.5323563082865187	0.5197496730783646
