	P10275	P18846	P15336	P18848	O14867	P49715	P17676	P16220	P49711	Q01094	O00716	Q16254	P18146	P19419	P03372	Q92731	P14921	P15036	P43268	Q01543	P01100	P55317	P58012	Q08050	Q12778	O43524	P98177	Q9H334	P15976	P23769	P23771	P10070	Q16665	P20823	P41235	Q00613	P10914	P05412	O43474	Q9UJU2	O75030	P10242	P01106	P04198	P08651	P19838	Q00653	P23511	Q06710	P06401	P14859	Q07869	P37231	Q9GZV8	P10276	Q04864	Q04206	Q01201	Q13127	Q13761	P84022	Q13485	P56693	P48431	P48436	P08047	Q02447	P17947	P36956	P42224	P40763	P42229	P51692	P17542	P15923	Q9NQB0	P05549	Q92754	Q14186	P04637	Q9H3D4	P22415	Q15853	P11473	P19544	P25490	Q86T24	P37275
IL4+upLPS	0.8371777670634066	0.22183166519228917	0.25920846426210425	0.07707206760007419	0.5497995231681719	0.3977473305462779	0.2613858540709635	0.6645088630007826	0.6513108389517318	0.3809825238083111	0.678823549940915	0.07637930020964788	0.6987375965506724	0.4385794648084418	0.685920866218115	0.6453260807995436	0.1487705045559374	0.5552528559640629	0.055357031802753774	0.3971372485783166	0.5179822982088568	0.7956167575087938	0.07357482237657209	0.9089171003627697	0.4874462271575218	0.23168528558310922	0.7368120764543359	0.6653661477373836	0.6266473514814499	0.7201424139462591	0.6178082850861822	0.35258428101843586	0.15821639185849237	0.6845630900430613	0.6837463801768622	0.5390556882253955	0.8006224356156961	0.21168091259675048	0.46278166901978746	0.5972807274695038	0.21174374956073325	0.4984352611549922	0.6309133176183602	0.4001085387325138	0.6520020479225234	0.31846197289197864	0.7361238396055141	0.6160171966294105	0.31599293790402433	0.7235895480460118	0.7990021774192343	0.30126740299037197	0.3782552808169304	0.6389918531540667	0.7195616256705318	0.904969250149145	0.3572610210545548	0.42022555703133607	0.33413853877988237	0.33617660719379644	0.873373839003092	0.672895241014036	0.47627095932065694	0.6573502286775782	0.5838109191517509	0.24780802610861033	0.8524394036082382	0.5611462439963723	0.026827885939207846	0.7336963475533067	0.5431206514684476	0.38179088760781116	0.6322925124789439	0.677579526297618	0.721550394720023	0.6540064926551392	0.6408658873873655	0.7151050912292479	0.3372470499689187	0.2436695311094262	0.8081271888125365	0.7777135158590721	0.27733979502213524	0.7960103089947461	0.2684969699278394	0.461279733058273	0.3044568387534002	0.31911597953229504
LPSc	0.36031894435524736	0.6659962839054842	0.5802251351520669	0.7753651954061898	0.532120473708491	0.44528349276916285	0.7773475702709498	0.7576998850998363	0.637570101603399	0.26007830437084	0.372742148392727	0.09248618295360655	0.4071338170094505	0.46498077457366427	0.7598799706673253	0.6664543038228226	0.7053311570310306	0.4119581011928596	0.7638632513435804	0.4204679770080405	0.948808264042574	0.34166807318368264	0.7637071276031766	0.21607795967643043	0.4268191436630844	0.5601880095407783	0.5774696002667439	0.2888742145368837	0.47253186037232686	0.5566112923217598	0.490042439010698	0.4557619871841446	0.7072373357032345	0.44220922912340915	0.6833573999939972	0.4656231772022165	0.7755307775067712	0.7992921890103029	0.4563709568005355	0.34607451818530044	0.568696387727189	0.437396871987672	0.08766961265141923	0.41977148981155277	0.4943302810633914	0.9024253452400705	0.13978440052000418	0.49765135823630646	0.6049490250589099	0.4849487620222381	0.4574278579498697	0.39601299141472274	0.41604947614263416	0.5586885868471052	0.6026019798071751	0.840147528987367	0.9059566135662075	0.781041244456451	0.626723217360777	0.5869755145244699	0.3913442035170485	0.48703233198300266	0.4300220504548938	0.5652826278855536	0.4896924305068013	0.8174418382566945	0.8015422764556596	0.8913411463955414	0.07906504873551354	0.8102226109319369	0.5721242195719287	0.749199752789318	0.6982942331625437	0.48431618993239495	0.40262773607309316	0.28317820183817927	0.770554460289184	0.3667025677563882	0.27191223148171473	0.6211652076848082	0.6056851449940526	0.4566886506677048	0.6872380972817709	0.3807401576375958	0.6510626966940102	0.5880576824067143	0.5815974990896019	0.24685803427594738
LPSc+IC	0.23703667858327138	0.6961402203313051	0.8401924649333715	0.9330930097853397	0.3122264423066849	0.6191147861851936	0.9086758369334	0.9327869558429299	0.6452612030074046	0.3114409904053642	0.4452531354302978	0.2560014775565924	0.4375621436912079	0.6551822631940524	0.891289951548619	0.7217173525296076	0.7690002114836952	0.6177231927168404	0.668637987001179	0.7022475820359265	0.9334881265571512	0.6585070505962106	0.9332466600085946	0.23364117904023537	0.4863709559286577	0.9410773385086547	0.6449650922575886	0.28588078280421464	0.3737280979317094	0.5319302421477169	0.71681201808695	0.513297527045505	0.8063878983591836	0.6447770463653868	0.7499346510804741	0.5267886955254782	0.7502539509729952	0.7741714408884116	0.6086176568559286	0.4228593248475165	0.3648915875684558	0.4813821888213133	0.0653456532003819	0.5776773719353702	0.6928157845551427	0.9751192725382042	0.13453250535992048	0.1577219701048537	0.49786978043157415	0.6981637658987143	0.6594339235245437	0.6573848641221399	0.3203854126955852	0.47928806233785753	0.8716982773602068	0.9551956806911178	0.9828579072963755	0.6942813306807082	0.40794300853418175	0.6328653405765903	0.619822726609138	0.7276165611379835	0.39663658913649535	0.5882869662252691	0.5547884962995006	0.9342227522632012	0.870548001427157	0.8532649087322904	0.1857024682895022	0.6196544012256872	0.8454995714712106	0.7529465847711089	0.6478686891198072	0.42093077993273437	0.48025453756447645	0.23324524493733248	0.8072278813477887	0.35564338454777666	0.21713628271291827	0.6673647634507702	0.3816448025200427	0.2977001057105953	0.7816717149304653	0.26766933964236594	0.6671050639815234	0.5431187315024442	0.5427092814199372	0.29826607975889335
P3C	0.6770122633858469	0.4814753153007671	0.09457804438994843	0.3108850066143909	0.5285893425431848	0.5258254575973494	0.354439419698863	0.4534661659463011	0.7581691218721563	0.37806386857903984	0.2800224865604996	0.10296235278089655	0.6606782096951451	0.17569462996292973	0.5967306112713295	0.45675904026437103	0.24816404585608742	0.7474975259550622	0.532671998980081	0.3643701294611968	0.5635962147608492	0.35136030886214514	0.17938154099470108	0.3343012783568042	0.21737775081284458	0.4071303723457307	0.2539750088284154	0.3948841841717808	0.6484542766143789	0.6764669734596503	0.8387194145705186	0.39210974108133984	0.3802447688376707	0.5756550418510006	0.3349039728402234	0.715700505945532	0.10703349362958059	0.35086091964227584	0.19635989569967024	0.6865922004761993	0.6865582731103773	0.29734013536624904	0.23435019016888423	0.6276063382970133	0.309170989179044	0.09264571082767471	0.5148823752250751	0.6611586845951744	0.5743341550192281	0.4673855445451709	0.5367412185218906	0.24191002453657381	0.6965283853743246	0.6306545109279912	0.26168399105057255	0.09251714792343824	0.16806779396899765	0.20415078765489145	0.4534369323017875	0.27934899920886397	0.1755945276957447	0.21432285452283226	0.6782678198252775	0.7563402419217367	0.3403983645772695	0.30587784340740237	0.41681123593228847	0.4310588282091931	0.02972759963358133	0.35692692554710376	0.305135858573439	0.7778417274135873	0.6345326062677379	0.43221223927727576	0.3660369183464753	0.6106433987606007	0.26602682108070297	0.7180179444218013	0.44203676027332844	0.3449779480070854	0.571196361651579	0.6608169079918401	0.4274953886956238	0.30032480371387277	0.227703877076307	0.6404247979013222	0.43633876430579327	0.5751334392820525
P3C+PGE2	0.5762758087811385	0.7510444266114268	0.2880206385015606	0.5226145431061014	0.7086341061277688	0.38169314485813105	0.4342240102862183	0.4570337825100148	0.725197986369122	0.19576507400337909	0.3965303344098084	0.02535062416552351	0.6206014482404884	0.25144725860959666	0.6092256903450464	0.7737798089740952	0.38093446601526154	0.5533993028167626	0.5996559770081483	0.422495109516444	0.8761783357470289	0.259634376312166	0.4838005264526238	0.20517034144906568	0.2356266545107726	0.5836584863706659	0.35995173573467376	0.1917493570405273	0.48181697313831	0.732272400244692	0.7618929649174665	0.5222480584750423	0.7578673856808695	0.5998793436099423	0.41119793409369926	0.7821674154140409	0.06908205191709928	0.28332779493544974	0.5132516746397116	0.32679796612203815	0.6666407365786643	0.19545809895718366	0.050158447163220966	0.44352110175210474	0.225463265537061	0.12372887225467195	0.5084951880941294	0.6184164067304075	0.4122904597144427	0.27320210457762956	0.30821771086359645	0.3015973107446661	0.8146281486871977	0.6453350365209864	0.21247766842954027	0.24662236624071676	0.32398382687055544	0.11723813898370632	0.41916933538419276	0.22904721163723699	0.1624162867508944	0.2619661885193854	0.5452942464548493	0.8594904446963866	0.45926605810383375	0.42180911771139495	0.6801097764181331	0.6103353964544125	0.0551408324142749	0.20453008411219478	0.3561615060478867	0.8239477422541421	0.6993320126933694	0.3978997722894944	0.5197345325797545	0.3111292842333609	0.5024953209734387	0.38883555392438995	0.3831358515262808	0.5505827039735068	0.6859005343324923	0.6088351427883147	0.7080108213253645	0.5406868202669535	0.42276679547344626	0.47378093669884386	0.40434560211813947	0.3355593672878225
PGE2	0.6414287002408839	0.6325335836787099	0.21135416021954756	0.3196391896802231	0.5804598508581726	0.40277382556951696	0.5625646848281215	0.34274069309933014	0.7334741175719244	0.22878957804170139	0.43644278756791954	0.04307512843752134	0.4625573203416886	0.18906269665028433	0.58873424591281	0.7596152076834292	0.2850018448662076	0.5811852428290073	0.5476660467738891	0.47501803379609475	0.6995163146365234	0.43482198241288944	0.1763112295021406	0.1531839727163524	0.19124921324428523	0.40540689968019206	0.17002569748998544	0.23167684048211476	0.6233366855015997	0.6699974739783233	0.6315779325399963	0.5154995030423671	0.335574817229601	0.708217386155284	0.3812784219467164	0.7745799944475039	0.18167440897826778	0.13564108615968096	0.5779980956975791	0.30285461922847084	0.582081153556414	0.23125630131775	0.08286814631138605	0.542432194809903	0.28480764315006396	0.03266022435039615	0.6227121898869376	0.7674760248247345	0.4399954778410214	0.3402716145378284	0.2208581438124758	0.17245235552514182	0.7249842858958266	0.6278758970326035	0.24345580613921589	0.13081524320345905	0.12585221975181057	0.13034480534869583	0.5405617037516821	0.12550448050973725	0.08716610527598036	0.1728828897967393	0.647323297741827	0.8871057741735119	0.5077791559887156	0.20266163226126357	0.6097411483298477	0.6495568885218261	0.02644235614062219	0.508735537706588	0.3403325735475385	0.7763405741081812	0.6636233984831297	0.4552353721120601	0.32170524469117007	0.2816837381696485	0.39865229823085474	0.3901088858851363	0.38877258028997375	0.43285964022050294	0.627328729897379	0.7380039482787949	0.7422136477913278	0.5049534111133541	0.43523250166949284	0.38644505802219387	0.39219730745872816	0.40162400924029623
TNFa	0.7271383699777555	0.5779348331439923	0.319484689021678	0.7585444001131006	0.6153024939622612	0.6444618143051991	0.4801188648788704	0.685563048628012	0.39068485441244144	0.4888711160876618	0.6448927772027454	0.5544946305170368	0.7313813148634628	0.4083801738457305	0.7589396138658397	0.2450830198891115	0.42781687478606073	0.5567571734526878	0.8006182034030794	0.176733943181037	0.5428498246718735	0.602592688174776	0.6268933456348988	0.6451632211996203	0.1634710135945906	0.3230562284786064	0.4084353028381728	0.385363165649978	0.5536102193028126	0.36659254428768184	0.4016780191886704	0.5977938034634055	0.6865533762692908	0.5383099009222502	0.492995623683044	0.4565096316211415	0.33718406297516945	0.9467637875805016	0.40480864474314293	0.7079166614276037	0.6786021614055348	0.6583351239623179	0.5767170281701032	0.5620792395991866	0.6638591321514152	0.9338713101854506	0.3021057093640836	0.4556910768684998	0.6013483578206527	0.8895185130333695	0.6492694745335944	0.7631691993283978	0.34813252260854505	0.736214827334824	0.5011941297863802	0.9305271856057976	0.8572257671318751	0.8121248251955402	0.4731109096212011	0.5619691003836852	0.8182759045661911	0.5405009093321697	0.5915746489705277	0.55459031979801	0.3047662008777175	0.8780300474920509	0.7770258220012861	0.4890571707582118	0.596300954411313	0.12750767393409349	0.5457029852943741	0.4693086298261935	0.5594912925842932	0.4528700504292454	0.2890431124296784	0.4849170678829828	0.7321947843113709	0.7797053066165364	0.4493746775179739	0.17786259218764286	0.2893776325160314	0.5217220949945818	0.5355458727511793	0.40356477552660874	0.3272409004081817	0.44477512352374626	0.5650437354393035	0.3791284308264973
TNFa+P3C	0.6644732186791895	0.5838786149199517	0.153005316591743	0.5539755396102016	0.5025295535750728	0.5425200958377512	0.6647051210491494	0.6180486100073973	0.6417639842319623	0.1756778794094581	0.4960851998302506	0.10555990682373383	0.5214028876780226	0.5198847280714721	0.7640956391980455	0.5542657998316066	0.5148177576696026	0.6000093986851466	0.5755957299047592	0.23047712729419267	0.7931059973435173	0.4947655178961847	0.5892520336053391	0.41020040961844595	0.4072139502759922	0.7653990746082068	0.7901666899177447	0.24851559666779033	0.6963196649309795	0.7691962546044285	0.7108513651393751	0.363417801888232	0.698598648186518	0.6098272659666985	0.6158719402875495	0.6162086024054275	0.48020530056428584	0.54583435082352	0.25718296553840936	0.5067686536519025	0.790279513576833	0.44430783448184846	0.07526906642154249	0.5120918470842467	0.46961880771376885	0.6164101412397838	0.2832468188287506	0.30700640789402417	0.5696004278464833	0.7540564247362904	0.5164115843778857	0.455669568151636	0.484975305118496	0.7283249096939279	0.6684290095111255	0.6526909246328668	0.7393335168310974	0.6591873304250951	0.5416438252649605	0.7191165590855068	0.40719181522880027	0.32032523608273217	0.5618202258681294	0.8312330188863122	0.3358479786926442	0.5283271714741603	0.8767203349893654	0.5774261041998657	0.056925444726542575	0.3760195776386556	0.49188938478683103	0.830096710912906	0.7204778762366995	0.41089215865278356	0.4634646980818921	0.5758720642626421	0.6351835918211833	0.63501684558873	0.18219807934902024	0.18442689377002028	0.5421006188250527	0.6802295370934925	0.6839689562527176	0.5876811007536712	0.3907133430453467	0.5993346865503445	0.5594153586506627	0.38370028419597446
TNFa+PGE2	0.6012006015719197	0.6742618078884606	0.6300194738681426	0.8666890095540515	0.6460680196928985	0.4123971749636562	0.715935666951446	0.8281215804621813	0.609175074224955	0.20812501504032235	0.7251811953014413	0.1764502695259755	0.5886325166904741	0.5788275559992734	0.8738319308248034	0.4823462221740968	0.6067906997362772	0.12969156312030947	0.6174709567529629	0.5021691562365643	0.8735314216092952	0.47909048455244596	0.8485037468298254	0.6486441565292747	0.3414153780291194	0.6009158677514631	0.783426158381607	0.10822895864470293	0.508710744626519	0.669030014323034	0.6278320577842837	0.4222042428573414	0.9082728104333576	0.5298299206044861	0.6288983925172311	0.5356855902715445	0.6419132734123291	0.8739986263480004	0.5036681070579228	0.2970900007414756	0.5982610268505336	0.32188287693074935	0.069272597692602	0.450841300132561	0.4322042659488558	0.9790098489860709	0.10500552883709054	0.5492208131538246	0.5793956622875172	0.7113496863737496	0.7229861707220276	0.6762549200995984	0.6932892941904728	0.7886513774713242	0.6795002153085535	0.9387733468337777	0.9805178523059723	0.8470604176243516	0.46870531889578176	0.7685760019845514	0.6849330882950287	0.6158385454437476	0.6962871610027316	0.7395776517305962	0.5376252382046786	0.6262052040921948	0.8729218853753175	0.6485399147419892	0.05709441947117847	0.3734329576992585	0.7809463960861893	0.6425714376086601	0.6580453350911769	0.5500795685849238	0.6874827193833534	0.3772850105165064	0.7886671392745273	0.3054003037486766	0.2537333755013133	0.2726518473374507	0.7994297578821213	0.32516424584114856	0.6671267903391848	0.8013573522001769	0.6089849617082969	0.2978653509230176	0.5608923433253173	0.23866270858464886
TNFa+PGE2+P3C	0.35037606839819324	0.7090158735911417	0.5999014150826383	0.8420539216758008	0.5739671886796767	0.5323080125172873	0.8540557547202923	0.799152286544733	0.591208546985925	0.27221444352852847	0.5216079392666401	0.2530907877268157	0.4995641399500739	0.6037377178344615	0.8104667537594608	0.8451458048584705	0.7429604811304242	0.38844263716800287	0.7795414939008156	0.5634121987398324	0.9341610351374996	0.5321207955329179	0.8559145199216767	0.252145252928087	0.6558827949387792	0.9201412019066229	0.8183734407550969	0.171913879290352	0.4214663020901785	0.536286910032909	0.7395632577624504	0.39504137237873654	0.9236104817795086	0.5536210150298254	0.5936655432665752	0.5707202420720223	0.4584602870933301	0.7994341707057737	0.5251683618482231	0.40314728340599026	0.5441970378781408	0.35814325481948917	0.06313772327926488	0.4530582597009197	0.5151053039202763	0.9226590734256866	0.1691075715480882	0.43568309976435177	0.41915570785989525	0.516964234972897	0.6247165349595647	0.33270749628219753	0.3663361941981225	0.47654504924823077	0.5830748636393779	0.8622122662881001	0.957969556296578	0.6199905487587903	0.49728342178141327	0.7621526546870534	0.40573334779236364	0.42158184838684926	0.5992173710416028	0.5688703460180567	0.45481010584810766	0.8310974194237755	0.8424878658363234	0.7027686300813287	0.11611421939480997	0.26352368555454253	0.7493750415783875	0.7901778001802531	0.7089457937676393	0.42992928904615324	0.5099599977166921	0.395360951174468	0.8612056994740973	0.2790827392129417	0.36789235587920655	0.6251919587579073	0.4383835118461433	0.3914928615883695	0.7955571249062737	0.4976577791469217	0.65302679965227	0.40763781680331757	0.566313820111977	0.25545163821557193
upLPS	0.6249750091149835	0.5772550169310897	0.09385290123938052	0.2660207012621792	0.5790480135688512	0.4699045752089656	0.3767518006433897	0.38550159093337305	0.5106014252095046	0.3213398741358085	0.3239212400102218	0.058871199452199464	0.7387157513951966	0.4419820552336535	0.5337170105412526	0.7083128790280476	0.3234148952954001	0.7185247446518971	0.2810160579358804	0.37284319800835863	0.3765491761692639	0.527795103351805	0.09951324442154647	0.4679213412084222	0.3117009115320885	0.2730955128341472	0.31749519411418803	0.7050319345869044	0.5698164361760955	0.6059208136789415	0.629227762873948	0.4600288491351682	0.35462999067448364	0.6237433889674032	0.5779590000984771	0.6418689094265919	0.3903077782170912	0.27302819763578	0.3778686786226921	0.3637837689202957	0.6348935107503558	0.5185056669231488	0.21086369407687341	0.48441943231495915	0.3815235467058317	0.3191019845527054	0.5995512703926222	0.5836946817336539	0.46662299171665755	0.6173972927175798	0.39143364672197256	0.4271065064364917	0.4322852327401616	0.6105907176896802	0.2155800703252221	0.1684976758481723	0.17435783341441066	0.2803442998607289	0.47484769364489404	0.39333604038382547	0.35156000534519666	0.18801139300522077	0.6415680111446507	0.5606683974780736	0.43454288615498976	0.5782485577314324	0.6592604914119563	0.7097038917608419	0.034651224810732024	0.6128517715873018	0.3130966765456001	0.525635115341556	0.5776617520472379	0.5110026476080716	0.47727713717110304	0.39151213494019194	0.47517940176492957	0.7312193908147258	0.3905313422624894	0.4410945873683511	0.43203750201787233	0.7765859745243858	0.4646787501340232	0.4593897897182542	0.16450989849266523	0.5399941787820256	0.532089944189505	0.4340700718673136
upLPS+IC	0.5300733394718516	0.7851497384234571	0.06437185876236394	0.12007777716875571	0.7097520459854074	0.4732469835398097	0.33632913786061375	0.3814674486632061	0.4195449957479451	0.5412838222250484	0.21054302233669886	0.06472028059136191	0.8531194737547648	0.19709400097122373	0.43178853072997697	0.8709295570715742	0.21728377956739534	0.809617675311565	0.2174946978338561	0.25164284778949414	0.2939078628806479	0.6503356633833566	0.06881776228014	0.11485906778053473	0.482400475435714	0.15415819847948298	0.11387659740433449	0.7270627249052767	0.6792296643895265	0.5292740687143037	0.5655434016972354	0.5272497224525586	0.219596821294579	0.7265451884707647	0.8407680564625748	0.6121195233312844	0.35557349135109556	0.06920062792437275	0.12942434476729334	0.6009296530860587	0.8082833048959445	0.6542056739323008	0.8593587491641396	0.2551932060246416	0.7870616302633141	0.08806466666621206	0.34124250448528	0.6422239317765647	0.6787008344743044	0.5889056280621219	0.494460187205399	0.5815448739886729	0.7942197488008041	0.49100425178084245	0.32239045709096253	0.13574840315818215	0.06731535609254939	0.21821222202798707	0.352578382833803	0.15159980526283093	0.12127922256886925	0.20256363475628267	0.44962026574657954	0.5931670764967055	0.579058664224278	0.48716152201468726	0.6023360059528113	0.5842643589557607	0.027454375568903528	0.5235590681521721	0.35335781302740327	0.760870630487116	0.5643802216527863	0.12357122903531698	0.33527022426458614	0.34974138081224954	0.49176491603962136	0.6794545891372935	0.2272537202978683	0.5895442748033719	0.7071789169033975	0.8248313528091241	0.45090918546955594	0.24142902879205416	0.15802919503072788	0.6643990989833914	0.7291401693299426	0.3459003522378805
upLPS+IFNg	0.16626361361672246	0.5303554032608405	0.3929777015736558	0.8819957938771422	0.6628208176960095	0.39921883541134456	0.7813386116218023	0.6016276141394554	0.5645053174110909	0.2971945035149121	0.43462778133107594	0.04911005603018918	0.5275138343332463	0.8097777552824906	0.8003264329891824	0.5779768225866351	0.7145748105547837	0.5254218343481666	0.30416458412041925	0.24253890242101042	0.9014357825813969	0.3986453104904209	0.7945930130341802	0.44411681198273323	0.6187851755856223	0.38232048394673185	0.7203754151911244	0.3279935256165937	0.5123359187210612	0.2785869968303996	0.6329116589639265	0.5719650327277007	0.40489025141826174	0.5274051247419689	0.5956537724389354	0.276473403567592	0.9313888128641499	0.6932228183810127	0.6764184528700671	0.22412526331072813	0.5124452155252278	0.40364340780275265	0.03215819528985479	0.4083133093480917	0.4682361538944326	0.8894070037307773	0.3396847975573826	0.3540136506475848	0.6163911849030849	0.5337504503313669	0.2574652464415386	0.1132273776742398	0.5377221785881913	0.6856492636128776	0.4759353422144268	0.775042011658493	0.9115751950633094	0.8596609045525861	0.5842356792124607	0.584431437838686	0.46299158351156083	0.4809139919280874	0.5630893431510403	0.6116369536146996	0.5236399212067284	0.6988918478679939	0.7221849546638627	0.957778786670715	0.07159078451015682	0.9503612881079965	0.6214258971299781	0.584077888533173	0.6274006857833544	0.4792133988330865	0.3459825606442113	0.1783057548139141	0.625708511909229	0.32912525483609656	0.16384671869504688	0.7200235206076028	0.7260657198057993	0.595925099788772	0.6451449402582218	0.7472186824714827	0.5774490154544428	0.4825540597394952	0.614091520083996	0.3269966689212989
