	RELA	PPP2CA	PPP1CA	LTB4R2	THBS1
0	0.1577431071885238	0.12268443723261024	0.06250395238706252	0.0510695171335358	0.05502007150314914
1	0.1727814640919717	0.12752240499975342	0.04006514821487028	0.01837926925847566	0.009446649744966673
2	0.19848597388393252	0.028565407007872023	0.04217930150165872	0.054332993969734455	0.039377200053842265
3	0.1204543999318698	0.08641240561990038	0.06688259963525023	0.05815539852885687	0.059603170667646754
4	0.09924216210872627	0.10479888551560079	0.10890590959294999	0.09130740394147552	0.09872317285628796
5	0.13403212776032447	0.08183189932136192	0.026162079956233653	0.025878445816160833	0.026816396989641
6	0.1370792383279904	0.16242792536142026	0.08756939673197739	0.07987579153061208	0.0763125280611805
7	0.1417891644897079	0.3321154841454791	0.07893288379241548	0.05747537020085536	0.06906481109894336
8	0.11205543819681363	0.11911399521885813	0.07790128675208241	0.07439892040041884	0.07049773868328946
9	0.12628943477753252	0.12946159121532985	0.02827412420867015	0.07917997767707663	0.06789359777229709
10	0.12359247497821513	0.14306426825091267	0.03812119828031679	0.02924588157214425	0.02156068304504788
11	0.18229767437683764	0.10122264019937843	0.031013672178438867	0.02386219718317084	0.003244653553724497
12	0.10781204033828284	0.0664558194731446	0.06162831627442822	0.05856786806455161	0.07126686620710043
13	0.1396620391554212	0.14048623037901298	0.08297297571399909	0.07026911391977009	0.1039904329330621
14	0.10317997467807949	0.1213525663432502	0.17830487229329084	0.17072433848835478	0.11399100522549899
15	0.15118845955143234	0.3702446067366052	0.06127052274249778	0.0724117824773165	0.07059986921559136
16	0.11540473012812325	0.08459069391541052	0.07409044832092837	0.06740730727270905	0.0707178299998944
17	0.1518873125272754	0.07879054591005707	0.08209175032766425	0.07254573709033763	0.09626046088091145
18	0.1467455631143635	0.16184341445110728	0.0566625542803223	0.0568251550397294	0.054668852361069
19	0.1651171394976333	0.08098085444562042	0.08839101494312407	0.09367138202342362	0.062290299116380066
20	0.09126097922822751	0.0752178389762782	0.1124757325583775	0.09699579990370788	0.0851763122167517
21	0.10259463742879249	0.09842747317187539	0.08656484109689877	0.07162899059647854	0.08755998758102823
22	0.13495287106149734	0.0808184862586292	0.06925608638359315	0.08103622248979003	0.07068616208504697
23	0.1711893435378249	0.11959800243431229	0.09570640620520865	0.07606332153167183	0.05947032169718236
24	0.17086513523196512	0.06936243760315575	0.15807981283003159	0.11132737841914297	0.0905588432623744
25	0.12598090263019412	0.07722253871124574	0.04488980701099832	0.04998344450706649	0.03978427897002679
26	0.1237914525359105	0.05338830024352015	0.054487872890957134	0.05544623652056202	0.04016733920161053
27	0.16599121063751598	0.04748197675333932	0.10488405956937041	0.07389622323913692	0.08741401746063993
