	A	B	C	D	E
0	0.9263392857142857	0.4263392857142857	0.7625106028776135	0.28125529994869064	0.421882949923036
1	0.95703125	0.45703125	0.77559607353158	0.2877980352756739	0.4316970529135108
2	0.9464285714285714	0.4464285714285714	0.7712418306891853	0.2856209138544765	0.4284313707817148
3	0.8413461538461539	0.34134615384615385	0.7167756000847902	0.258387798552279	0.3875816978284185
4	0.9457236842105263	0.4457236842105263	0.7709463538502725	0.28547317543502015	0.42820976315253023
5	0.9402173913043478	0.4402173913043478	0.7686116706583739	0.2843058338390708	0.42645875075860623
6	0.9103260869565217	0.41032608695652173	0.7550585736651584	0.2775292853424631	0.4162939280136946
7	0.9419014084507042	0.44190140845070425	0.7693307348773074	0.2846653659485376	0.42699804892280635
8	0.9561170212765957	0.4561170212765957	0.7752271646386253	0.2876135808291965	0.4314203712437948
9	0.5416666666666666	0.04166666666666663	0.2833333363135655	0.04166666666666663	0.062499999999999944
10	0.9191176470588236	0.4191176470588236	0.7592067995580473	0.2796033982889075	0.4194050974333613
11	0.18181818181818182	-0.003181818181818182	0.19363636661659586	-3.181818181818189e-05	-4.772727272727283e-07
12	0.24242424242424243	-0.002575757575757576	0.19484848782871708	-2.5757575757575786e-05	-3.863636363636368e-07
13	0.9288793103448276	0.4288793103448276	0.7636511824100035	0.28182558971488564	0.4227383845723285
14	0.8206521739130435	0.32065217391304346	0.7028423783136315	0.25142118766669963	0.37713178150004945
15	0.8914473684210527	0.39144736842105265	0.745649264492769	0.2728246307562684	0.4092369461344026
16	0.9583333333333334	0.45833333333333337	0.7761194035825817	0.2880597003011747	0.4320895504517621
17	0.625	0.125	0.45000000298023224	0.125	0.1875
18	0.9410714285714286	0.44107142857142856	0.7689768983260089	0.28448844767288833	0.4267326715093325
19	0.835	0.33499999999999996	0.7126436791452742	0.25632183808252096	0.38448275712378144
20	0.9158163265306123	0.4158163265306123	0.7576656782470508	0.27883283763340927	0.4182492564501139
21	0.8125	0.3125	0.6969696980643645	0.24848484754206612	0.3727272713130992
22	0.9525862068965517	0.4525862068965517	0.7737909522480658	0.2868954746339168	0.4303432119508752
23	0.899390243902439	0.39939024390243905	0.7496947504416283	0.274847373730698	0.412271060596047
24	0.9442567567567568	0.4442567567567568	0.7703289888348976	0.2851644929273327	0.42774673939099905
25	0.8625	0.36250000000000004	0.7297297306005062	0.26486486381013696	0.39729729571520545
26	0.935546875	0.435546875	0.7665937278558529	0.2832968624378103	0.4249452936567155
27	0.9427083333333334	0.44270833333333337	0.7696737050469951	0.2848368510333814	0.4272552765500721
28	0.7573529411764707	0.2573529411764707	0.6502057627754698	0.2251028798976188	0.3376543198464282
29	0.9565789473684211	0.4565789473684211	0.775413712185204	0.2877068546024859	0.43156028190372886
30	0.7828947368421053	0.2828947368421053	0.6735395201708338	0.2367697585953008	0.3551546378929512
31	0.9393382352941176	0.43933823529411764	0.7682344928012081	0.28411724491048795	0.42617586736573193
32	0.828125	0.328125	0.7080291980965148	0.25401459755814126	0.3810218963372119
33	0.7250000000000001	0.2250000000000001	0.6153846171480666	0.20769230708391717	0.31153846062587576
34	0.5875000000000001	0.08750000000000013	0.3750000029802325	0.08750000000000013	0.1312500000000002
