Index	Condition
0	ATRA
0	IL1A
0	DLL1_LPS
1	EPO_LPS
1	CD40LG_LPS
1	TGFB1
2	PECAM1_LPS
2	CCL5
2	COL18A1
3	CCL11
3	THBS1_LPS
3	A2M_LPS
4	C5
4	BMP4
4	TNF_LPS
5	VEGFA_LPS
5	PGE2
5	WNT7A_LPS
6	FGF1_LPS
6	SPP1_LPS
6	LTB4_LPS
7	SERPING1
7	SAA1_LPS
7	GAS6
8	SEMA4D_LPS
8	OSM_LPS
8	ANGPT1
9	CCL3_LPS
9	CCL2
9	CSF2_LPS
10	APOE
10	TSLP_LPS
10	RARRES2
11	IL26
11	IL1B_LPS
11	CXCL12_LPS
12	PLAU_LPS
12	PF4_LPS
12	ADIPOQ_LPS
13	ox-LDL_LPS
13	CSF1_LPS
13	FASLG_LPS
14	PF4
14	ATRA_LPS
14	CD40LG
15	IL1A_LPS
15	CCL2_LPS
15	LTB4
16	TGFB1_LPS
16	CSF2
16	PECAM1
17	CSF1
17	PGE2_LPS
17	SEMA4D
18	C5_LPS
18	A2M
18	ADIPOQ
19	WNT7A
19	TNF
19	PLAU
20	APOE_LPS
20	BMP4_LPS
20	CCL5_LPS
21	IL1B
21	TSLP
21	FASLG
22	ANGPT1_LPS
22	RARRES2_LPS
22	IL26_LPS
23	COL18A1_LPS
23	DLL1
23	CXCL12
24	VEGFA
24	SERPING1_LPS
24	ox-LDL
25	CCL3
25	OSM
25	SAA1
26	EPO
26	GAS6_LPS
26	THBS1
27	FGF1
27	SPP1
27	CCL11_LPS
