	viability
C_1	1.0523914776865635
C_2	1.0867144578825445
C_3	1.074503311164838
C_4	1.0629759180827212
C_5	1.0450456020830972
C_6	0.9924367177020876
C_7	0.9467768474344871
C_8	0.8582766621246003
C_9	1.0206278130289868
C_10	1.0282795116160015
C_11	1.0269865488757925
C_12	1.0243163172093424
C_13	1.0198406710963794
C_14	1.0098697975311537
C_15	0.9727067158607319
C_16	0.8084141527220805
C_17	1.011083020599494
C_18	0.8476600983468701
C_19	0.7805856107682505
C_20	0.5617456330616218
C_21	0.3715219913074558
C_22	0.3628562745255989
C_23	0.35424643461399774
C_24	0.3500319160693748
C_25	0.991679054016648
C_26	0.9839090049693728
C_27	0.9776770481112047
C_28	0.9335679569315904
C_29	0.7702849915232226
C_30	0.6178503028083169
C_31	0.4142645931410631
C_32	0.40730443916175896
C_33	1.0555991167472174
C_34	1.0766653004536797
C_35	1.0698654672916643
C_36	0.9948989744316694
C_37	0.8195754595852259
C_38	0.6499149178479476
C_39	0.5077295053319065
C_40	0.37655503426281767
C_41	1.0175293475007816
C_42	1.0084419872710106
C_43	0.9331433691343916
C_44	0.8232035620410044
C_45	0.7374508527832079
C_46	0.5705793730163629
C_47	0.4261047979753573
C_48	0.41669386974720346
C_49	0.9834902186546266
C_50	0.9493322322089466
C_51	0.9333603955458019
C_52	0.9785612210573365
C_53	0.9898949590853097
C_54	0.9740721401016081
C_55	0.9335174857656485
C_56	0.7861048583733007
C_57	1.0413532175707463
C_58	1.047000138565476
C_59	1.0300440058035618
C_60	1.0171645994218923
C_61	1.0040799266988019
C_62	0.9895672769301207
C_63	0.9692584471232286
C_64	0.902865531174539
C_65	0.9920955008509684
C_66	0.9974056351149283
C_67	0.9952506288339646
C_68	0.9917368922477028
C_69	0.9858338714502715
C_70	0.9731889433595655
C_71	0.9442798572210973
C_72	0.842315106354397
C_73	0.9601456622293039
C_74	0.7503166215459784
C_75	0.6664682896810974
C_76	0.4487336022889036
C_77	0.34575185629364547
C_78	0.3412812446051082
C_79	0.336915222909263
C_80	0.3325144017344911
C_81	0.9376633084938877
C_82	0.9461587473197439
C_83	0.9559702522262115
C_84	0.899749673653931
C_85	0.7374264712524516
C_86	0.6201508266555315
C_87	0.4790533646554571
C_88	0.47478650238056597
C_89	1.0330367135395786
C_90	1.0292423844911491
C_91	1.0224338411957155
C_92	0.979069981053589
C_93	0.7215625060008874
C_94	0.5636053370781509
C_95	0.4676738688377262
C_96	0.3755643031444895
C_97	0.9759732438176056
C_98	0.9510842827719708
C_99	0.8221335197746714
C_100	0.7118023689139953
C_101	0.5998840054087818
C_102	0.43228657597452325
C_103	0.35683879053705414
C_104	0.35308688991986736
C_105	0.9436559034942746
C_106	0.9089713962678958
C_107	0.9252918450540835
C_108	0.946764884438934
C_109	0.9388610091368723
C_110	0.9267131206002976
C_111	0.8995029524564084
C_112	0.8078402835042063
C_113	1.029247825388151
C_114	1.0660855806656084
C_115	1.050817454689072
C_116	1.0392592921983308
C_117	1.0264560089548886
C_118	1.0147510978112424
C_119	0.993095120037438
C_120	0.9192294151432172
C_121	0.9285020238289718
C_122	0.9807934312334861
C_123	0.9835616101989633
C_124	0.9798567199947372
