	viability
C_1	1.0504973017422368
C_2	1.0594679613405753
C_3	1.074826995234776
C_4	1.06135077006252
C_5	1.027154323218761
C_6	0.9707847684215807
C_7	0.889043050702663
C_8	0.7959618885901851
C_9	1.018520331488302
C_10	1.024059190162833
C_11	1.046630759811252
C_12	1.0461886036189827
C_13	1.041427194496541
C_14	1.0311201722200118
C_15	0.9371863510006329
C_16	0.706749529445083
C_17	1.0133210442634175
C_18	0.7737126827173761
C_19	0.7059180905105682
C_20	0.4187040137994227
C_21	0.31583274660831384
C_22	0.31520276299908545
C_23	0.31457918851794586
C_24	0.3139557143913373
C_25	0.9983841203146635
C_26	0.999864127062591
C_27	0.9993837437203636
C_28	0.8725007161759268
C_29	0.7477332341758426
C_30	0.4976583759054064
C_31	0.46716606742165134
C_32	0.464642962659395
C_33	1.0496019852646492
C_34	1.0473400858813795
C_35	1.0392218695880167
C_36	0.9437734682303252
C_37	0.7687660144553247
C_38	0.628520153160988
C_39	0.4335660857699476
C_40	0.35560850641763087
C_41	1.01763208751577
C_42	1.0069774796696809
C_43	0.842301854401136
C_44	0.7400059309344074
C_45	0.6460301534740539
C_46	0.42045619960972125
C_47	0.3354713481549809
C_48	0.3350843557692945
C_49	0.9291633217007111
C_50	0.933144279395665
C_51	0.9356790667582959
C_52	0.9349095084753158
C_53	0.9490633764718084
C_54	0.9332872045710356
C_55	0.8739192997979238
C_56	0.7225928116738909
C_57	1.0186716829175675
C_58	1.0364170090852727
C_59	1.0496649026310312
C_60	1.0333560404492363
C_61	1.0055757100776679
C_62	0.9761634822282053
C_63	0.9617554512987374
C_64	0.8841646279436941
C_65	0.9618117040321983
C_66	0.9841949131675238
C_67	1.0062666771430844
C_68	1.0023274636700512
C_69	0.9965884976053954
C_70	0.983510805901455
C_71	0.9572213332082933
C_72	0.7967752052274586
C_73	0.9325467101898044
C_74	0.6581178416551747
C_75	0.5853108574965086
C_76	0.37741582092857806
C_77	0.3427283518010241
C_78	0.3426121150632464
C_79	0.34249706820874215
C_80	0.34238204708996356
C_81	0.9533827108336739
C_82	0.9541904673342578
C_83	0.9524875635409873
C_84	0.8653902853708135
C_85	0.6689212104879861
C_86	0.5070786314977298
C_87	0.5034399906974187
C_88	0.5015434979612279
C_89	1.0123953427517953
C_90	1.0017791594080843
C_91	0.9933256592507482
C_92	0.9542718499258553
C_93	0.7148402397943348
C_94	0.5517462073163523
C_95	0.37387751092432797
C_96	0.2635226011137416
C_97	0.9483250268623229
C_98	0.9044060103639497
C_99	0.7465446490881777
C_100	0.6213695581145295
C_101	0.5277993972218312
C_102	0.38642952030171573
C_103	0.36562249593618235
C_104	0.36664679318721494
C_105	0.8706079719687007
C_106	0.884343352119384
C_107	0.8942749706302697
C_108	0.9052157562796905
C_109	0.9136100297766354
C_110	0.9057847725209547
C_111	0.8451896588250657
C_112	0.7087545677314248
C_113	1.029353671732867
C_114	1.0464444864625129
C_115	1.0623520609078694
C_116	1.0469896197640474
C_117	1.0081230875579672
C_118	0.9831398949386465
C_119	0.9615029088405864
C_120	0.8862566891499652
C_121	0.9462206205728267
C_122	0.9745342147096074
C_123	1.0067243762015214
C_124	1.0038082220483275
C_125	0.9984135543158048
C_126	0.9859184923201796
C_127	0.9409498257458173
C_128	0.7642314213270572
C_129	0.917890500612327
C_130	0.5936605021923961
C_131	0.5098212281084558
C_132	0.3105795246513523
C_133	0.22268724651865898
C_134	0.21792766905817632
C_135	0.2157418180545623
C_136	0.21458313215435107
C_137	0.9486746246072988
C_138	0.9527943506975638
C_139	0.9601778003618484
C_140	0.9198640878929756
C_141	0.7323502322848623
C_142	0.44436759975853135
C_143	0.319006480288762
C_144	0.3127395985765302
C_145	1.0284200676057096
C_146	1.0160934788090121
C_147	0.9953320667714662
C_148	0.9053417030816329
C_149	0.7546252801952957
C_150	0.648879704517598
C_151	0.3837881103114007
C_152	0.2683107256918722
C_153	0.9385298248156146
C_154	0.9022596818707411
C_155	0.7443339196986062
C_156	0.5441670268757423
C_157	0.45155465896173685
C_158	0.3198308412056198
C_159	0.2473521144412947
C_160	0.2422125505116802
C_161	0.8547124617526421
C_162	0.8668731297389802
C_163	0.912102049263172
C_164	0.9400673224043921
C_165	0.9410495972205952
C_166	0.9046075914348597
C_167	0.7471394043880079
C_168	0.4066514154897771
C_169	1.016874959658098
C_170	1.0266266589194004
C_171	1.0449493905376432
C_172	1.0391543525847238
C_173	1.0147814022516377
C_174	0.9851517625947634
C_175	0.9138471033087938
C_176	0.779334185460164
C_177	0.9700720028781187
C_178	0.9757024962120289
C_179	0.9986301204197714
C_180	1.000222484531818
C_181	0.9932595708403598
C_182	0.9850725815294699
C_183	0.9276344106988319
C_184	0.6857741678146148
C_185	0.9677776740543986
C_186	0.7321099086863129
C_187	0.669432954111354
C_188	0.5066078308566598
C_189	0.41165134421507954
C_190	0.39900236459627614
C_191	0.39092258379666645
C_192	0.3853148641908134
C_193	0.9541122499958012
C_194	0.9565194820771439
C_195	0.9599040813853434
C_196	0.91002673518113
C_197	0.7354922219870054
C_198	0.5997822188021475
C_199	0.49757090530917547
C_200	0.49073004525997854
C_201	1.0167783071799157
C_202	1.015824436095664
C_203	1.0101185931527676
C_204	0.9805944386891412
C_205	0.6945934935981829
C_206	0.5731317538925296
C_207	0.35816306613018933
C_208	0.2746336525772777
C_209	0.9704433619283406
C_210	0.9650487452648919
C_211	0.8622192261654285
C_212	0.6935821749314923
C_213	0.634573147933601
C_214	0.5153077472002509
C_215	0.4428520792360606
C_216	0.4369756083369266
C_217	0.8710154915330777
C_218	0.8763428197041057
C_219	0.8888780418366617
C_220	0.9136791769518324
C_221	0.9297937353411019
C_222	0.9246233629097929
C_223	0.8675217864551955
C_224	0.7118585937230069
C_225	1.036300292625397
C_226	1.0513626513543246
C_227	1.0447528501189145
C_228	1.0048347190775628
C_229	0.9159967748145237
C_230	0.8028232364087743
C_231	0.6758614801583864
C_232	0.48815390479984655
C_233	0.9988392384612119
C_234	1.003224132366124
C_235	1.0156874139234857
C_236	1.0034378573536173
C_237	0.9859151151469965
C_238	0.9497737472685401
C_239	0.7630941470637262
C_240	0.4312226236715595
C_241	0.9914093317646031
C_242	0.9857605882422225
C_243	0.9681464885343318
C_244	0.9065635488205928
C_245	0.9022984008280333
C_246	0.8978523372137788
C_247	0.8933478296433319
C_248	0.9917218624145225
C_249	0.9939508817334073
C_250	1.0000079530862678
C_251	1.0143718051534676
C_252	1.0306084503308581
C_253	1.025680306241539
C_254	1.0059377888824488
C_255	0.9461169716807285
C_256	1.0372577693136884
C_257	1.044446070577291
C_258	1.0397198481252596
C_259	1.0282594186272611
C_260	0.9188060863008378
C_261	0.7591617345147944
C_262	0.5875670225305645
C_263	0.4760476851641673
C_264	0.9996829542140533
C_265	1.0022927783294286
C_266	1.0018130902835383
C_267	0.9920784528909516
C_268	0.9926750102780759
C_269	0.9780204277812352
C_270	0.9384419131479187
C_271	0.9253394622877895
C_272	0.9029110725909713
C_273	0.90972453732092
C_274	0.9338047020261631
C_275	0.9521312570062788
C_276	0.9380355073037998
C_277	0.8004809028199709
C_278	0.5639031995587822
C_279	0.3632979998477248
C_280	1.0564062846346858
C_281	1.075885421263046
C_282	1.0641722241885514
C_283	1.027466321632761
C_284	0.9725945740657835
C_285	0.9436765347058869
C_286	0.8945366709969049
C_287	0.764820763347676
C_288	1.0082116770084548
C_289	1.0141094161918247
C_290	1.0209183688205414
C_291	1.000131549647159
C_292	0.9748975606834016
C_293	0.928148300705371
C_294	0.8024102461271054
C_295	0.6133884739800863
C_296	1.0034219121009496
C_297	0.9888013128710231
C_298	0.985160798237871
C_299	0.9733473049969699
C_300	0.9344000533744234
C_301	0.9310518160730215
C_302	0.9284257637901614
C_303	0.92575009671589
C_304	0.9996570614377134
C_305	1.0017830461992596
C_306	1.009984802998284
C_307	1.0311576655352235
C_308	1.0515843787118904
C_309	1.044437284186533
C_310	1.0152956992860116
C_311	0.9598649459326918
C_312	1.0569972118552604
C_313	1.06755382236309
C_314	1.062589113053473
C_315	1.0460459592564912
C_316	1.0004276838669939
C_317	0.8387335834004328
C_318	0.5158908451946711
C_319	0.3803182623647532
C_320	1.006003981759166
C_321	1.0056437973718986
C_322	1.0017878359124623
C_323	0.9985120913424896
