iteration	mse	correlation	start	stop
0.0	0.22371240187868485	0.04458528943551567	0.30080342292785645	0.38763904571533203
50.0	0.19566819867222482	0.055436825614228274	11.29775094985962	11.386996030807495
100.0	0.18044265729726094	0.0613443445738401	20.70330023765564	20.775896787643433
150.0	0.16520009640059807	0.06797376768580564	28.243408203125	28.298940658569336
200.0	0.1442374165643974	0.08192339665692752	35.11088013648987	35.157267808914185
250.0	0.1228713887124193	0.09848334521781948	41.225334882736206	41.26192593574524
300.0	0.10703246464807435	0.12894670896723154	46.97994041442871	47.01487493515015
350.0	0.0949684575900399	0.19026819067543357	52.65134239196777	52.68536996841431
400.0	0.08917179187126606	0.26787275749425454	58.380324602127075	58.41730833053589
450.0	0.08520636843619475	0.34638407069180177	64.3486053943634	64.3908441066742
500.0	0.08125840096352148	0.4166117848712375	70.84826254844666	70.89722347259521
550.0	0.06781357975031854	0.5749317713517784	79.45000672340393	79.52136468887329
600.0	0.0569669929777542	0.6665097542622886	87.88887810707092	87.96168327331543
650.0	0.04909784201279509	0.7243734579929507	96.24552202224731	96.31596827507019
700.0	0.041818203391081034	0.77644904472511	103.95185971260071	104.01287698745728
750.0	0.03524534216268376	0.8157395928447804	111.39121103286743	111.45404100418091
800.0	0.030242925024820965	0.8454173028466574	119.69897770881653	119.77784061431885
850.0	0.02516316811470343	0.875555825514268	129.18083906173706	129.27638268470764
900.0	0.020601362126933843	0.9002198737690147	139.62671160697937	139.71909594535828
950.0	0.017463443772687808	0.915982297877019	150.0214238166809	150.11293578147888
1000.0	0.015598871651112683	0.9245174929122932	160.45843410491943	160.52282524108887
1050.0	0.013822276572892525	0.9318763961689979	170.67461729049683	170.75326442718506
1100.0	0.012448210013927187	0.9379777798534886	180.9207513332367	180.98095273971558
1150.0	0.01152836842528067	0.9421426810149726	191.01474595069885	191.0762026309967
1200.0	0.010721914347151747	0.9457795771750301	200.86151242256165	200.94584774971008
1250.0	0.010272635480069247	0.9478511447252255	210.99750113487244	211.09771347045898
1300.0	0.009592863786749437	0.9509076656513717	220.84435486793518	220.91806435585022
1350.0	0.009262602607911277	0.9523885521488572	230.78130745887756	230.83556246757507
1400.0	0.008957931031649486	0.9536538971025499	240.95288610458374	241.00607872009277
1450.0	0.008716291254909355	0.9547987916748176	250.55338644981384	250.6357138156891
1500.0	0.008498320635997522	0.9559940583499789	260.4031591415405	260.47986602783203
1550.0	0.00832681468192543	0.9565611726742581	270.5142824649811	270.5818705558777
1600.0	0.00795184201434037	0.9584514420482256	280.0176522731781	280.105829000473
1650.0	0.00786265969428679	0.95886948237306	289.76315450668335	289.82415080070496
1700.0	0.0077131258023496385	0.9594488291953324	299.4947702884674	299.54803681373596
1750.0	0.007634178991863139	0.9598478110001575	309.31501293182373	309.36936616897583
1800.0	0.007519847807532821	0.9604478107335765	318.63718247413635	318.6981599330902
1850.0	0.007414879659233917	0.9609958681553437	327.42307209968567	327.4876437187195
1900.0	0.007393410284360964	0.9611214615891249	336.2072455883026	336.2624099254608
1950.0	0.007341878358728224	0.9613470204470719	345.26664662361145	345.3457508087158
2000.0	0.007253392129858648	0.9617971354805235	354.20663595199585	354.2981686592102
2050.0	0.007141405302695892	0.9623540044282598	363.89806151390076	363.9533586502075
2100.0	0.007124508130740176	0.9624849578325939	372.6409523487091	372.7054212093353
2150.0	0.007125350417149707	0.9624389443368082	381.91683197021484	381.98049306869507
2200.0	0.007021729135620928	0.9629775852571404	391.40472197532654	391.4789354801178
2250.0	0.007007031754200485	0.9630663382768906	400.26421785354614	400.3243305683136
2300.0	0.0070866791742402535	0.9625839180316947	409.34990763664246	409.39669466018677
2350.0	0.007113460819407173	0.9623374605668562	418.0956561565399	418.15583896636963
2400.0	0.006855780490031348	0.9637902593389572	426.90126490592957	426.9653289318085
2450.0	0.0068233147342669324	0.9639530229426096	436.09050035476685	436.1526472568512
2500.0	0.006740643120110256	0.9644313488724526	444.5056428909302	444.5658006668091
2550.0	0.0066881196171752035	0.964731253458479	453.4306824207306	453.5080146789551
2600.0	0.0066483626699719856	0.96486786450725	462.7200276851654	462.7803339958191
2650.0	0.006636570922648067	0.9649431367516657	471.3703851699829	471.43911027908325
2700.0	0.007089016718072848	0.9624905596520338	480.0976071357727	480.17270827293396
2750.0	0.006568375439912375	0.9653196724929813	488.3357319831848	488.39232993125916
2800.0	0.006552592217201531	0.965386877965699	496.76252937316895	496.83753728866577
2850.0	0.006772735477334415	0.9641738336392774	506.05424213409424	506.1093888282776
2900.0	0.006582390047685403	0.9652169993998047	514.2344026565552	514.296986579895
2950.0	0.006488891647620331	0.9656697662807981	522.8197939395905	522.9000766277313
3000.0	0.006528581175655692	0.9654973745991511	531.1813170909882	531.2396473884583
3050.0	0.006468301968580169	0.9657762346739442	539.8283367156982	539.8785502910614
3100.0	0.00647132828849218	0.9657801441268083	548.4913940429688	548.5647270679474
3150.0	0.006995707593063571	0.9629742915403768	557.5365843772888	557.6404483318329
3200.0	0.006608233370657553	0.9650965471324097	566.8118176460266	566.8704257011414
3250.0	0.006443289369310291	0.9659278706941292	575.4650158882141	575.5243003368378
3300.0	0.0064733577203521485	0.9657569666637498	583.9250831604004	583.987312078476
3350.0	0.006397707426509127	0.9661795412561914	592.2549090385437	592.3259968757629
3400.0	0.006440531505220998	0.9659606785837627	600.9381110668182	601.0113863945007
3450.0	0.006328562471006856	0.9665321198739908	609.2368710041046	609.3051586151123
3500.0	0.006386697206851076	0.9662252864687149	617.8343317508698	617.910662651062
3550.0	0.006446668052961649	0.9659023322603163	626.8952126502991	626.9840943813324
