index	start	stop	mse
0.0	0.00036454200744628906	0.30078673362731934	0.22435546041960192
1.0	0.3939681053161621	0.6211161613464355	0.22362835611219015
2.0	0.6211724281311035	0.8435091972351074	0.22311025752011868
3.0	0.8435635566711426	1.066803216934204	0.22246121437384095
4.0	1.0668585300445557	1.2893998622894287	0.2215361360719699
5.0	1.2894566059112549	1.516395092010498	0.22098639915183044
6.0	1.5164594650268555	1.7401189804077148	0.22014060363168317
7.0	1.7401728630065918	1.9640588760375977	0.21952754244241798
8.0	1.9641168117523193	2.1878883838653564	0.21887472236796995
9.0	2.187927722930908	2.410905599594116	0.21804512001410323
10.0	2.410945415496826	2.6345407962799072	0.2172592710433694
11.0	2.63457989692688	2.8621633052825928	0.21668562058792162
12.0	2.8623430728912354	3.0959930419921875	0.216203330547826
13.0	3.0960443019866943	3.3219799995422363	0.2154462238170074
14.0	3.3220202922821045	3.546666145324707	0.21479790684741176
15.0	3.5467069149017334	3.7631590366363525	0.21412625135603428
16.0	3.7631969451904297	3.9789342880249023	0.2134713151443511
17.0	3.9789721965789795	4.1917829513549805	0.2131225362331003
18.0	4.191820859909058	4.40593147277832	0.21239540115770103
19.0	4.405969142913818	4.620982885360718	0.2117975991076324
20.0	4.621021032333374	4.836158275604248	0.21112025552952277
21.0	4.836196422576904	5.050017833709717	0.2106230366028773
22.0	5.050057411193848	5.264938831329346	0.20992080740805563
23.0	5.264978885650635	5.478600740432739	0.2093564639081786
24.0	5.478653430938721	5.690565586090088	0.2086033803423668
25.0	5.690603494644165	5.904841661453247	0.2082224189469696
26.0	5.904879331588745	6.121900796890259	0.2076417494828489
27.0	6.121937990188599	6.345678329467773	0.2071484055331087
28.0	6.346171855926514	6.567636251449585	0.20661298602738506
29.0	6.567685127258301	6.78303337097168	0.20588212852891766
30.0	6.783082723617554	7.001265287399292	0.20550298477748216
31.0	7.001346826553345	7.217828273773193	0.20495051920109522
32.0	7.2178661823272705	7.433938503265381	0.2042585860916755
33.0	7.433976650238037	7.651418447494507	0.20385961977399256
34.0	7.651456832885742	7.868362188339233	0.2031931642608081
35.0	7.86840033531189	8.08600902557373	0.2029348928308431
36.0	8.086047172546387	8.30076265335083	0.20218882864492624
37.0	8.300801515579224	8.516833305358887	0.20182969612128202
38.0	8.516871690750122	8.732568740844727	0.20136364412300617
39.0	8.732606887817383	8.946566343307495	0.20093232874086694
40.0	8.946605205535889	9.163554191589355	0.20039034868095004
41.0	9.16359281539917	9.377005338668823	0.19968274520168772
42.0	9.3770432472229	9.59361481666565	0.19950243036105117
43.0	9.593665599822998	9.807753801345825	0.19885947080761857
44.0	9.807790994644165	10.022821187973022	0.19860417589779475
45.0	10.02285885810852	10.23482608795166	0.19803460756486688
46.0	10.23486328125	10.448416709899902	0.19770966932552173
47.0	10.448455095291138	10.66180157661438	0.19723263457125859
48.0	10.66183876991272	10.873482465744019	0.1969099855181798
49.0	10.873521327972412	11.086323022842407	0.19635585073114456
50.0	11.086361169815063	11.297741413116455	0.19603135496035476
51.0	11.393197059631348	11.592710256576538	0.19566399416603036
52.0	11.59274935722351	11.802605628967285	0.19521632219332513
53.0	11.802658796310425	12.01140809059143	0.19494295218923224
54.0	12.011445999145508	12.222070693969727	0.1946838801676776
55.0	12.222109317779541	12.431253433227539	0.19415232054899909
56.0	12.431291580200195	12.636027336120605	0.19382338827755075
57.0	12.636065244674683	12.84123706817627	0.19349858633322653
58.0	12.841277599334717	13.04658055305481	0.1930714337619579
59.0	13.046618223190308	13.251709222793579	0.1927997676820105
60.0	13.251769781112671	13.4611337184906	0.19256547237915492
61.0	13.461195945739746	13.665140390396118	0.19215625949856804
62.0	13.66517949104309	13.870536088943481	0.19179273315748857
63.0	13.870574474334717	14.076537132263184	0.19154503126375655
64.0	14.07657527923584	14.280373096466064	0.19117852518611847
65.0	14.280410766601562	14.485371351242065	0.19088177119000654
66.0	14.485421419143677	14.689560174942017	0.19055440382193373
67.0	14.689615964889526	14.895946979522705	0.19034844053851807
68.0	14.895985126495361	15.093976497650146	0.1899173397143605
69.0	15.094015121459961	15.297506332397461	0.18966124891251593
70.0	15.297544717788696	15.489751100540161	0.1892401736568457
71.0	15.489789247512817	15.690366506576538	0.18902193517251206
72.0	15.690404415130615	15.881735563278198	0.18869141852413185
73.0	15.881773710250854	16.07307767868042	0.18846773794227412
74.0	16.073116302490234	16.260475158691406	0.18808599117212738
75.0	16.260512590408325	16.442237377166748	0.18787288653044215
76.0	16.44227695465088	16.630503177642822	0.18754364178342256
77.0	16.63054132461548	16.814241647720337	0.18730025554072083
78.0	16.814280033111572	17.00308632850647	0.18706810967419948
79.0	17.003124475479126	17.187352657318115	0.18683209229576167
80.0	17.187390089035034	17.359116077423096	0.18648042515529795
81.0	17.35915446281433	17.53725790977478	0.18619223252676614
82.0	17.537295818328857	17.70672297477722	0.18600689131103487
83.0	17.706761360168457	17.87797212600708	0.18560295367156793
84.0	17.878010034561157	18.046189785003662	0.1853591357434492
85.0	18.04624104499817	18.223076820373535	0.1850461627467968
86.0	18.22321057319641	18.390289306640625	0.18471112406671272
87.0	18.390339136123657	18.5672709941864	0.1844866325600197
88.0	18.56731939315796	18.738309621810913	0.18418335388066795
89.0	18.738360166549683	18.908387184143066	0.18389156488860753
90.0	18.90843629837036	19.077227354049683	0.1836175302723945
91.0	19.077277183532715	19.246477842330933	0.18340980906242352
92.0	19.246527671813965	19.413991928100586	0.1830701985283292
93.0	19.4140408039093	19.578269720077515	0.18276827218697864
94.0	19.578324794769287	19.743027448654175	0.1824663950829277
