	STAT2	IRF9	STAT1	IRF1	NFKB2	E2F2	TFDP1	ATF4	RELB	FOXM1	ATF1	STAT5A	ETS2	FOS	SMAD4	RUNX1	ETS1	E2F1	FOXO3	USF1	TCF7L2	TP53	CREB1	EPAS1	ATF2	E2F3	SMAD3	RXRA	RFX5	PPARA	REL	SP1	NFE2L2	STAT4	POU2F1	MYC	SPI1	JUND	ELK1	HNF1A	MITF	CEBPA	FOXO1	RUNX3	SREBF2	ZEB1	VDR	STAT6	PPARG	JUN	FOXO4	FLI1	FOSL1	STAT3	TWIST1	STAT5B	SREBF1	RARA	HSF1	CEBPB	REST	NFKB1	YY1	AR	NFIC	SP3	SRF	RELA	PAX8	TCF3	MYB	ESR1	HIF1A	NR3C1
A2M (N=2)	2.140142737959655e-05	0.0010376902058378387	0.0007310737173908688	0.0019894117768870572	0.0010969661815231624	0.0009260299889013446	0.0015825804944412658	0.018325673123337424	0.0002951212148740289	0.014406791454182943	0.004564282644466178	0.006510145075032087	0.0030144572471026976	0.0007698945074418465	0.02960409981850262	0.06673560689339386	0.011440904389947604	0.0024716143956198255	0.0028021877509819652	0.004865297761917964	0.07740278272547457	0.017601946816826003	0.06789042780465465	0.016038646259810732	0.007673760134704832	0.022321822122055968	0.02290206234433509	0.011873193051882155	0.0330498667483132	0.06625145667366034	0.0013343735091716612	0.02964901515252838	0.06457566058072553	0.018761665427563412	0.0375865776754829	0.00039148613103173746	0.030652311486026013	0.013552776360402058	0.042407873626690254	0.021241274003710536	0.043305573256522345	0.010531071592579211	0.011461061407330119	0.03194349881836352	0.0460543584610682	0.05467876535292027	0.07604802510545111	0.023642671552491668	0.02024217447722601	0.011024609794695786	0.003826107632283235	0.0918955981170953	0.061907391120200786	0.000772785433953864	0.026371506364288113	0.026206886955358416	0.02801415301739607	0.031866074216027857	0.03620413681907196	0.01174434179477822	0.1396524682463768	9.71516974039264e-05	0.02660380710804061	0.011862423954119709	0.09775856455727805	0.0034318649055968403	0.047616552878448626	2.4363583142621875e-06	0.05954396060853456	0.002228672803748555	0.0064645272913234075	0.16685585570539277	0.011185184602541774	0.052918609573376574
A2M_LPS (N=2)	0.008638050732472539	0.011718090147252561	0.0011987071362733377	0.013943136995859917	0.014060267218736128	1.8530788785664498e-05	0.009863212915029396	0.12715789898662222	0.08725064969316054	0.0247571869016881	0.05290515234604665	0.0777166066098417	0.012872750156162183	0.13865044103247023	0.03605232908655914	0.0005839681166301403	0.049867258177371476	0.0023260263831973438	0.007076234031721456	0.13174311727413252	0.003917179345727606	0.026505269614185423	0.05179919103916575	0.01080072679146804	0.021643168318338957	0.028333726849355367	0.05218301787536794	0.022511817683157083	0.14071883992846249	0.02245392924663947	0.020761247858538667	0.049024959249846956	0.051290019822462354	0.02594905868795372	0.0648127609579931	0.03567545682498746	0.1700144564727688	0.045050368314403455	0.032441916605035565	0.01875845886411001	0.08401247532978351	0.0038964337817448125	0.03697356553780669	0.02169682175938937	0.019755189802130146	0.010200287835211597	0.022553190403139953	0.153388294037493	0.027140277756838832	0.01391458039604826	0.026808799873776074	0.05179741432344476	0.017905552376708656	0.09302864156462154	0.07029570273313689	0.11873880891320893	0.015808014023688588	0.07147432849933494	0.027196531069674096	0.14910452870211116	0.016597506393979666	0.02669645608814253	0.021052925762850075	0.0023278941647604523	0.03536284833210129	0.14945622669633082	0.14550388610631676	0.016272167731250342	0.017832947104424346	0.04143969783123358	0.017554014045918664	0.0697642757521881	0.12379670863759895	0.05271779677241265
ADIPOQ (N=2)	2.4639582500318724e-05	0.0017939051599470957	0.0007530127127287622	0.017269778246377043	0.020285541505209635	0.04249227695457933	0.0795193612204009	0.003524736317731314	0.11958703061243248	0.05033611632706957	0.02991589067103717	0.04174132365290445	0.039248158270680344	0.058745376311345965	0.020287380645542905	0.1326497854533864	0.039525516973174656	0.15579005142628766	0.14956225150296132	0.06624033709603493	0.06881026727832326	0.001188742842327728	0.021865548757990905	0.07907091891962353	0.035645055793473074	0.1330059336441424	0.020202229999806767	0.1332453220607015	0.005297515776585448	0.018516157521783178	0.021329419899868363	0.00260183527260403	0.11464726583810317	0.10708769618199791	0.08288054625947276	0.002965851570901429	0.04073611956683464	0.09046659971884763	0.03486300429909939	0.017730220641377914	0.024583296614233523	0.022989658859721956	0.13822725592020796	0.07525972282748453	0.08002402906500017	0.03158530125547998	0.06018731112937031	0.0835541319433426	0.16856230025569496	0.0327197679819959	0.04395688123674074	0.14294439326365088	0.11897053786313597	0.09295240130919455	0.14594620713373985	0.04645085001112903	0.13921880701026496	0.09678660740635502	0.006122539085152812	0.08630933456700098	0.10409963214375961	0.12254741537236813	0.27392038325551166	0.07067843569633209	0.012950662737822263	0.023878552248700488	0.008252953966814108	0.05617871391798984	0.16488711266037862	0.06633411701726297	0.11300226704458202	0.10791999011424738	0.05742094050688247	0.0005995850942621117
ADIPOQ_LPS (N=2)	2.5305773697803513e-05	0.0011917035930319453	0.0052136798504288095	0.003312717255602282	0.0003691783065369351	0.022711807599928278	0.03473049800944898	0.03104376308560458	0.009666889185404037	0.001402083444701871	0.011682281657641874	0.04772614683973331	0.12929046552973866	0.01763454211862031	0.08095819658042192	0.004781990580204731	0.029945592329051335	0.017830625004225508	0.07081801610553762	0.0021343947903354893	0.07411700736832397	0.05701097948374467	0.040948674332220686	0.01023754414682504	0.09918057181370099	0.005178474546546491	0.03395142410480667	0.010242256684588391	0.004267212226182812	0.30317808384106326	0.05770782781400963	0.15011900541928752	0.04282155678967539	0.02550614862212436	0.0005385397167195494	0.008270000500177373	0.08979085836998661	0.037121024806913816	0.1255166703759985	0.043371307390987546	0.019926297027304446	0.05878266313966474	0.2184429324639037	0.08145217326768955	0.04772347938712851	0.05008390144825137	0.1242200513900874	0.08180023492258104	0.06369431619461062	0.09859279397248161	0.04310177732654219	0.028609867257026037	0.13003384749040187	0.012731644800094699	0.06945020712295774	0.1077364111153612	0.10544847381434636	0.21245809057613835	0.0320542429827291	0.06260185821071135	0.07969241250591047	0.0008983801483119502	0.1670310483863479	0.18698268354664388	0.24362400376696772	0.0877445106735178	0.05151946051492487	0.0003554527389473261	0.04582920652730693	0.12455817607503711	0.11624371784494725	0.0395283925298795	0.10001636252172696	0.14358997195138598
ANGPT1 (N=2)	3.8454178975855235e-05	0.0010301092451286409	0.00045354651020496073	0.0017372637486027796	0.01916614940741925	0.016748533402192692	0.00011955061399171116	0.032274685814516146	0.00269332754617585	0.019382107957756148	0.026006069283334488	0.032589344553367205	0.006790760469278734	0.022516339993712275	0.09899522036591409	0.016477217242776544	0.11178226586001258	0.020899068308574187	0.0015144437874256567	0.02446358025061779	0.008282581248315046	0.016019785509250484	0.11949779622049793	0.19445603071112336	0.05749479823771403	0.08451896499653824	0.07016924438257446	0.1518892855383871	0.030418494781080264	0.05874654235577096	0.09461460959045903	0.05853146483992981	0.01113969454487751	0.08531087375291709	0.11101956672791882	0.11132476000910593	0.0258873791226732	0.14342453217963425	0.047274638976826655	0.08892795328025355	0.00150773683644842	0.03795575397348033	0.008552337175042501	0.004726165307411545	0.031918705728574914	0.06333991619804541	0.012924323062886656	0.3033239040415319	0.0004575846602790645	0.12356049828778229	0.04368763934889852	0.0017689214598387848	0.11393073332125306	0.05901806403958243	0.09668618229802417	0.07526509662957159	0.12898649551965427	0.07733223170427632	0.16549339149166448	0.11474026462289602	0.006505517462518207	0.028251130839271388	0.0346672172015175	0.0804443928004317	0.011872242202602898	0.06437791237635868	0.08831253947730394	0.06807059451175296	0.061516774935350155	0.016298206523297193	0.013838118866268623	0.0026269818112676924	0.03185150281599364	0.2170510954609502
ANGPT1_LPS (N=2)	0.00014986739400124627	0.004362014580773621	0.0009321852526981145	0.008596728023643863	0.010002788582827448	0.030001931832139644	0.08157172124650748	0.014290513427736129	0.010032985732484234	0.013075322598009635	0.036313326289706904	0.04902519382530984	0.045208336293007495	0.048084235214495286	0.040156904125986825	0.038980655057200636	0.08984325269873376	0.047044511756103316	0.06506188222506776	0.0486835036157371	0.039411234614470214	0.12569780209816717	0.027721102899493033	0.07454311619864179	0.026595605205177175	0.0009737324384271606	0.057387298551403176	0.08648051163524556	0.0035223095462616994	0.40252518265207143	0.08067132245625053	0.07862369487153917	0.045947651758311364	0.08880534559143553	0.21225938779556014	0.0049435260827605625	0.061650395129246985	0.002030859702634502	0.10660396509029013	0.10369251231904808	0.011142388189949379	0.10176504859160249	0.11327580480068716	0.15473314606332264	0.12666333186544446	0.1708575428949804	0.14599919197529881	0.14227708809824344	0.10051898646972747	0.07665735924467171	0.1023979544022941	0.018325874262231895	0.12414125660121861	0.017095339515664942	0.14562224590466102	0.1430323358692574	0.10095595113810313	0.26669882035492576	0.17636501833027599	0.02767850517982512	0.19389568604915924	0.008476950490987178	0.07860740218052609	0.1402495115578538	0.1422978104640404	0.1881589063294146	0.04344026790724109	0.007297864903693385	0.019169601603999775	0.04107790850969528	0.09166732774684033	0.05995439701183164	0.005344215399152974	0.03885406372642897
APOE (N=2)	3.7474353666411275e-05	0.001378626997844079	0.0002575577848640265	0.003351120888167969	0.00939443609672077	0.027506906376686586	0.02708900991594483	0.0012229706141535512	0.02738615399818284	0.015737438536764146	0.04090707912165845	0.09827112105069513	0.12586895490797542	0.12455409862278058	0.027738310546478087	0.034999138228978405	0.03382603351897464	0.04879302113520452	0.05789090215781845	0.043698149358323266	0.09217300922920699	0.0026270095341996424	0.014989860517825554	0.05318234469741248	0.0068829159457283184	0.1885559291046175	0.05715318822856669	0.0038027750115511294	0.020936918276434964	0.005242460442280987	0.08880231836212249	0.022415893848408825	0.05148314832087164	0.1839895352125417	0.01565050423630107	0.12049824720321695	0.018065206685289686	0.009093335200339447	0.032847276975093875	0.058574189510348956	0.06067744802423382	0.022363908310443603	0.009715824889738434	0.05670460890179441	0.04047118690499357	0.0008197640758239588	0.002605240420224142	0.020424669410132157	0.11581647085079651	0.0023134989839539155	0.010267258869740836	0.03264945145670281	0.060908961771709014	0.09632867047882288	0.05023521587626223	0.029607188180344357	0.04155913024049718	0.039977468028548985	0.17670278536194559	0.02091470654260799	0.014189054590696137	0.0069418991352845905	0.1678455149719203	0.022489011209019555	0.009594550452043313	0.009199182964519548	0.015491056621250415	0.02705342371380759	0.0985150431481637	0.11285497589979887	0.12202290508902378	0.031707877762563064	0.013227348953618767	0.10862522502489813
APOE_LPS (N=2)	4.234339419612043e-05	0.0009661439420026174	0.0017830554162416856	0.006460779102026304	0.016593780907961608	0.012670355501960013	0.0021839751757047193	0.04394154397134159	0.015351733364188935	0.03135918591718397	0.05827586931578596	0.023684883850550786	0.04531880495133034	0.015163684888976348	0.06705825295163415	0.04430510678313587	0.0032093608496402	0.026246949732181044	0.022908832023443904	0.007141566895943266	0.02886397071990565	0.07847934335864154	0.10442383198098265	0.10963269487192917	0.16427989713857657	0.07771452153190431	0.13967533952948014	0.052672233076221264	0.022227399558507714	0.19110682290051376	0.10286920713845987	0.1351059101070255	0.1676112409044084	0.09352117339323496	0.04829859798688543	0.07111193250128695	0.1863923481209613	0.020919707673734134	0.07797937849250391	0.043020169061416674	0.000385971822594193	0.12892665741052053	0.08189314430971367	0.017010596038740722	0.012365343591648537	0.05160531978120658	0.07583123404747544	0.2038507028654865	0.035295341097702965	0.10243257388633992	0.019732356792519	0.07054025879602444	0.17408882169743647	0.08909400980878246	0.24378991692427854	0.08063175697154773	0.09718826630921845	0.10425360796616301	0.10572486529345035	0.0413709794513909	0.09266710778072679	0.006565277045601225	0.050544164345458054	0.1298647940698801	0.2268945241865772	0.26302232871686804	0.021023078546458768	0.006787114892139623	0.05206061114110558	0.14033144038096715	0.002140916348847721	0.14508960782485253	0.035856768645013304	0.12066584387228689
ATRA (N=2)	4.882933466453985e-05	0.0008080358552704306	0.0008533223467599114	0.0002139235663371395	0.003805377617669914	0.008263778446516656	0.006292656245048156	0.04918947886441084	0.0014203735705002642	0.01876103287067027	0.05528158498232355	0.015778116743894607	0.08768001897708466	0.008916090711997443	0.009827255585871553	0.023367036445282208	0.132277483268826	0.01855920255468224	0.0009778319744784512	0.07357014705698173	0.07892935301290427	0.05558136353222064	0.022702690447393592	0.016916695454959094	0.020415881284089235	0.005375367262831943	0.0372194870616744	0.03565303650556574	0.18042530174005034	0.004993601386277913	0.004201444972406725	0.08007948380986196	0.041808334289957325	0.012312141061195936	0.028925529712577225	0.04780244354135116	0.03127364689930573	0.026369068410953878	0.12223753003237271	0.10470688871301354	0.05850543453367235	0.007360240932373252	0.0005675496879222475	0.013877225577699881	0.05037754534941713	0.0539633056042548	0.019996226329692363	0.03558040160823067	0.06360978538240739	0.010340127823065086	0.017615015653875785	0.029919696465362966	0.03789578691425706	0.058466327572944274	0.02483226027470542	0.010409006302775026	0.0038659677126890446	0.07767395417694992	0.024405558488630102	0.04864094446608211	0.01289639819143143	0.00030956776437521483	0.014954183209697769	0.020679232567730715	0.09239937015109484	0.019169955099836544	0.05935580418812425	0.00012831833089442632	0.04426081841742935	0.07498495579721187	0.06114587510133107	0.007786633420580502	0.0032610773968045764	0.006500552869474596
ATRA_LPS (N=2)	0.011056853748760392	0.024574531146381907	0.000965946438434508	0.12476914955951868	0.06233726226461517	0.003333423520374912	0.012611737646613497	0.02914861831938037	0.011513818383226182	0.03493193644862813	0.09756433899136413	0.02638916763321153	0.062358669567855296	0.02837138600183492	0.0028527017877151284	0.0006617225047418906	0.03692749881396484	0.01787395724742291	0.011394129218670751	0.019312998370047296	0.0272896735411588	0.021145499154281003	0.064223436223656	0.021284934915358766	0.026891662649669856	0.015550227297478347	0.03756097658403135	0.0014315029269821172	0.04909627135945316	0.001806873226419814	0.019718071116318736	0.011837484125054698	0.024214250441363057	0.012327304716319099	0.011620034115719713	0.05807797423473199	0.054627973110654426	0.022126892896497496	0.043094266595682995	0.07933618242110785	0.10646471565805263	0.008145049880629529	0.000376414903181313	0.030478316806319967	0.0006487545158618824	0.03230683206470214	0.005846667593460864	0.15199433382146085	0.04028281717832077	0.005107783726203852	0.03522562286849669	0.09217323617486275	0.07548672976635518	0.09196148368442852	0.010988004067144591	0.08044709802773314	0.006251897461148903	0.021314736787144628	0.017648673267335657	0.0926375348472171	0.07222306101097267	0.0021058887254983283	0.02991466531249508	0.06464334160237288	0.04094001409136955	0.09348523729684668	0.07356931625695562	0.0025550739556278734	0.07968030488784439	0.11302415863606566	0.08388203697524368	0.15736553994623675	0.18919992203310015	0.08221912427086754
