	TNFSF11_SLIT1_HRG_ADAM17_NODAL	PRL_IL1A_COL1A1_BMP4_NRG1	NRG2_SLIT3_KNG1_BMP2_HGF	NRG2_TNFSF14_IL1A_LIF_EFNA1	CSF1_WNT5A_SYK_NRG1_IL16	EREG_NGF_FN1_NRG1_GAS6	FN1_IL4_NTF4_LEP_NRG1	IFNA1/IFNA13_IFNG_IL10_NRG1_GDF7	IGF2_PDGFA_HRG_INHBA_IL23A	F2_LIF_SYK_GAS6_IL23A	TNFSF11_SLIT2_IFNG_IGF1_RGMA	PRL_IFNG_IL4_EDN1	AGT_KNG1_IFNG_IGF1_RGMA	IFNG_IL1B_HLA-B_BDNF_PTH2	IFNG_CCK_LIF_IL10_IL34	PDGFA_LIF_KITLG_LEP_SHH	SLIT2_PDGFA_DCN_CCL5_GDF7	PRL_PTH_PDGFA_HRG_FGF2	SLIT2_NGF_GAST_PDGFA_IL34	IFNB1_FN1_WNT1_GDF7_NODAL	AGT_POMC_HRG_CCL4L1/CCL4L2_NODAL	SLIT2_LTA_CD48_VEGFA_CXCL12	POMC_LTA_HRG_IL3_PTPRF	TNFSF11_SEMA7A_SLIT2_COL1A1_FGF2	TNFSF11_IFNA1/IFNA13_HRG_CCL5	TNFSF11_SLIT3_PDYN_IFNA1/IFNA13_HRG	TGFB1_INHBA_CCL5_KITLG_GAS6	TGFB1_KITLG_BDNF_FLT3LG_GDF7	SEMA7A_FN1_INHBA_LIF_KITLG	TGFB1_HGF_CXCL12_IL16_IL34	WNT11_IL1A_INHBA_PTHLH_FGF23	TNFSF14_IL1B_INHBA_IL3_LIF	PRL_FGF1_BMP2_LIF_RGMA	WNT11_PRL_CCK_NTF3_IL16	SEMA7A_IFNA1/IFNA13_HLA-A_GAS6_FGF21	TNFSF14_TNF_PTPRF_IL16_IHH	POMC_FGF1_DCN_IHH	HLA-B_HGF_CCL3L1/CCL3L3_IHH_RGMA	SLIT1_OXT_CD48_PTPRF_AREG	SLIT2_PDYN_IL4_HGF_CD80	AGT_GAST_HLA-A_EDN1_SYK	NGF_IFNB1_IL1B_VEGFA_FGF23	NGF_IL1B_HLA-B_IL10_IL12A	F2_TNF_LIF_IL10_IL12A	IL4_EDN1_WNT5A_CD86_FGF21	IFNB1_COL1A1_DCN_CTSG	PTH_HLA-A_IL4_EFNA1_BDNF	WNT11_IL4_CD48_PTHLH_FLT3LG	CSF1_PTHLH_BMP2_BMP4_IHH	OXT_WNT1_EDN1_CD48_PTH2	CGA_INS_HLA-B_BDNF	OXT_IL10_TGFB2_CCL8	FGF1_TNFSF10_TGFB2_SHH	SLIT1_FGF2_CD48_TNFSF10_TGFB2	IFNA1/IFNA13_FN1_HRG_GAS6_GDF7	SLIT1_HLA-B_VEGFA_CD86_PTH2	HLA-B_WNT1_CCK_PTH2_RGMA	POMC_DCN_AREG_IHH	COL1A1_CTSG_CD48_CSF1_GAS6	PTH_GAST_HRG_CCL3L1/CCL3L3_GDF7	KNG1_NGF_IFNA1/IFNA13_COL1A1_GDF7	NGF_PDYN_HLA-C_CD86_GAS6	PDYN_IGF2_PTPRF_AREG_NTF3	IGF2_IL1A_COL1A1_DCN_CCL8	IGF2_HRG_CTSG_BMP2_CCL3L1/CCL3L3	TNFSF14_SLIT2_IGF1_IL12A_TNFSF10	EGF_OXT_CCL8_IL16_IL34	PDYN_LIF_CCL3L1/CCL3L3_KITLG_WNT5A	IFNA1/IFNA13_IL3_KITLG_TNFSF10_SST	PDYN_KITLG_BDNF_LRRC4B	WNT11_PRL_IFNB1_HGF_BDNF	POMC_PRL_EDN1_FLT3LG_GAS6	GAST_HLA-B_FGF2_LEP_IHH	KNG1_BMP2_BDNF_LEP_CXCL12	IGF2_FGF2_HLA-C_PTPRF_AREG	TGFA_IFNA1/IFNA13_IL1B_KITLG_CD86	EGF_TGFA_IL1A_IL1B_TNFSF10	TGFA_BMP2_IL12A_CD80_TGFB2	EGF_INHBA_BMP4_AREG	TGFA_TGFB1_GAST_IL10_FGF21	SEMA7A_IFNG_HLA-A_HGF_NRG3	EDN1_IL3_NRG3_NRG1_GDF7	WNT1_EDN1_HLA-C_TGFB2_NRG4	EGF_FGF2_GAS6_NRG4_LRRC4B	IL1A_HRG_BMP4_CCL3L1/CCL3L3_NRG3	CD48_CD80_NRG4_RGMA	CGA_IL1A_ADAM17_NRG1_IL23A	KNG1_CD48_LEP_ADAM17_NRG4	SEMA7A_TGFB1_HLA-C_SYK_HBEGF	HLA-B_IGF1_AREG_ADAM17_IHH	F2_IGF2_WNT5A_NRG1_HBEGF	WNT11_NGF_CGA_INS_ADAM17	PRL_HLA-A_PTHLH_HBEGF_FGF21	SLIT3_EDN1_CSF1_KITLG_ADAM17	TGFA_NGF_IFNG_BTC_GDF7	TNFSF14_TGFA_BDNF_BTC_IL34	TGFB1_AREG_NRG3_RGMA	FN1_PTPRF_BTC_FGF21_LRRC4B	TNFSF11_EGF_LTA_HRG_NRG4	KNG1_PTH_PDGFA_BTC_FGF21
NFATC1	-0.018573084568131355	-0.01857276629836317	-0.018572754327399247	-0.01857276442268397	-0.018572685364309154	-0.018572759202770867	-0.018572759542539584	-0.018572767412665264	-0.018578708707817325	-0.018572754455160996	-0.018573120314712536	-0.018572806996887965	-0.018572833767149716	-0.018572767797892634	-0.018572768849995296	-0.018576262871502085	-0.018578258497455584	-0.018578036133139814	-0.018578574600952504	-0.01857274447472965	-0.018572807661381786	-0.018572987309452216	-0.018572986797412486	-0.01857308379374184	-0.01857307444126071	-0.018573066202470713	-0.018572754016466724	-0.018572766779505975	-0.018572760375116258	-0.018572717238921167	-0.018572778548230674	-0.01857275014217313	-0.018572752113266644	-0.018572678715473426	-0.01860262273169836	-0.018558494148570148	-0.018557992764597072	-0.018559141830506755	-0.01857272345986934	-0.018572749153619405	-0.01857283888926503	-0.01857276957450575	-0.018572759159257282	-0.01857274845109878	-0.01857277878011798	-0.018572744800824385	-0.01857275729523634	-0.018572769676111055	-0.018569665112626737	-0.01857278475255175	-0.01857279641019218	-0.01857274502497304	-0.018572873073231477	-0.018572746796759847	-0.018572747055579514	-0.018572722298517676	-0.018572745026716728	-0.018572601341345543	-0.018572749178856086	-0.018572758733283627	-0.01857276103404442	-0.018572761356749703	-0.01857275570977249	-0.01857277305679138	-0.018572756372833385	-0.01857273385707896	-0.0185726882855978	-0.01857275565429434	-0.018572753501928677	-0.018572754429591457	-0.01857275519368343	-0.018572800755045502	-0.01856285847432628	-0.018572752794043	-0.018573175040215256	-0.018572771938903665	-0.01857277802994535	-0.018572762492224604	-0.018572758971887714	-0.018572764276226058	-0.01860556047027001	-0.01857279314683547	-0.01857319696011069	-0.018572758233904762	-0.018572766695909647	-0.018572746843239226	-0.01857280645827206	-0.018572749758927618	-0.018573157872643964	-0.01855846331469172	-0.018572755683821645	-0.018572796363952083	-0.018572756627685996	-0.018572803310020373	-0.018572782601713016	-0.01857276573330689	-0.018572746744466538	-0.01857274775448632	-0.018572989831525184	-0.018573187831370835
MYC	-0.02380664020027922	-0.023920676618973593	-0.02391844440171421	-0.023921272894126294	-0.02389939181376047	-0.023912638907834002	-0.02391342112182544	-0.023917091991374023	-0.023899754604824294	-0.023918299277676264	-0.023806648605558874	-0.023918012966354003	-0.023916792859528992	-0.023918343840679333	-0.02391805639732837	-0.023902671137945895	-0.023901632768828812	-0.023901278836645414	-0.02390051030805624	-0.023913712977934473	-0.023917542130023294	-0.02379704188030595	-0.0237968917063294	-0.02380734914237767	-0.02381275393685555	-0.023814640270801643	-0.02391809250442149	-0.023917980748580345	-0.023913756997397752	-0.023918477276142113	-0.02392142578433293	-0.023918152087865366	-0.02391767575788468	-0.023918500945994323	-0.023914056322857605	-0.02392028067052316	-0.023920602971297937	-0.02391985140063692	-0.023918530209657767	-0.023918430241762368	-0.023918253609459435	-0.0239179397014171	-0.023919194240394417	-0.023918457195808998	-0.023918400550272247	-0.023918459702140477	-0.02391846020224967	-0.023918420704697962	-0.023918914154138098	-0.023918388682412597	-0.023918255439133954	-0.02391847433628417	-0.023918084375888722	-0.023918241311307258	-0.023913030321603943	-0.02391853357708606	-0.023917716749755985	-0.023918438102388216	-0.023918457966169798	-0.023917530302540856	-0.02391750468077543	-0.023916870854994277	-0.02391799696412539	-0.023921269787141885	-0.023917383568066847	-0.023917587572471987	-0.023919228935843424	-0.023918057501930025	-0.023917707790111677	-0.023918016226947482	-0.023918436317693848	-0.023918305756082815	-0.023919924907961493	-0.023918447965313262	-0.023917854304266257	-0.02391734793397909	-0.023919790745897115	-0.023917383128286094	-0.02391918195723415	-0.023917386148619976	-0.0239132031004688	-0.02391776441992057	-0.02391786844367711	-0.02391890701726627	-0.023920534205391246	-0.023917688421207405	-0.02391912384347103	-0.023918550232895745	-0.023917874570554918	-0.02392018777825949	-0.02391775552146929	-0.02391732460721954	-0.023918578466794627	-0.023918007109758273	-0.023916525822567695	-0.0239173886930135	-0.023917710731455835	-0.02391437312561937	-0.023781454765086342	-0.023912458838867324
SOX9	0.012853004122984719	0.012852644773608464	0.01285263125753233	0.012852642655832233	0.012852553393261553	0.012852636762176269	0.012852637145799501	0.012852646031735384	0.012859354179729497	0.012852631401784501	0.012853044483436559	0.012852690725159514	0.01285272095070345	0.01285264646668469	0.012852647654583991	0.012856592655255104	0.01285884585996794	0.012858594794720271	0.012859202763468695	0.012852620133162289	0.012852691475420655	0.012852894310966182	0.012852893732836636	0.01285300324864346	0.012852992689022045	0.012852983386837729	0.012852630906467228	0.012852645316853173	0.012852638085838227	0.012852589381982726	0.012852658604586736	0.012852626532112117	0.012852628757617952	0.012852545886249548	0.012886354826427394	0.012836530493715716	0.012835964395279741	0.012837261773036587	0.012852596405879024	0.012852625415964124	0.012852726733938705	0.012852648472608214	0.012852636713046314	0.012852624622767992	0.012852658866404122	0.01285262050134661	0.012852634608433092	0.012852648587327885	0.012849143312673637	0.012852665609709841	0.012852678772021306	0.012852620754426508	0.01285276533008653	0.012852622754900782	0.012852623047126732	0.01285259509462977	0.012852620756395258	0.01285245852531435	0.01285262544445814	0.01285263623209153	0.012852638829815344	0.012852639194172732	0.012852632818330783	0.012852652404358246	0.012852633566974052	0.012852608145073774	0.012852556691605782	0.012852632755691982	0.012852630325516904	0.012852631372914656	0.012852632235629253	0.012852683677672064	0.012841458130252429	0.012852629526263246	0.012853106272450891	0.012852651142182897	0.01285265801940546	0.012852640476205268	0.012852636501492643	0.012852642490470757	0.012889671743800167	0.012852675087457717	0.01285313102158367	0.012852635668257005	0.012852645222466928	0.012852622807379335	0.012852690117023557	0.012852626099400471	0.012853086889032634	0.012836495680057342	0.01285263278903042	0.012852678719812924	0.012852633854720914	0.012852686562421793	0.012852663181258776	0.012852644135619432	0.012852622695857888	0.012852623836242607	0.0128528971585673	0.012853120714582182
FOXO4	-0.007812085106761639	-0.007734448636333089	-0.007735985121136734	-0.007734039411854022	-0.0077367670797685514	-0.007739966333920494	-0.00773942868885412	-0.007736907597450278	-0.007747827572693113	-0.007736084779358533	-0.0078120610194639525	-0.007736254141892114	-0.007737078740105187	-0.007736046623435002	-0.007736244016889627	-0.007746144727701449	-0.00774660568666148	-0.007746872609780254	-0.007747326820294058	-0.00773923466550844	-0.0077365776388557544	-0.007818642277951322	-0.007818744412382443	-0.007811603640563202	-0.007807941946511753	-0.007806664912840953	-0.0077362271281431255	-0.007736297313539245	-0.007739198703314996	-0.00773598167744966	-0.007733931788342107	-0.007736187790338324	-0.007736514518840194	-0.007735985117906771	-0.007737815785563708	-0.0077353290986520735	-0.007735094665435007	-0.007735560439327718	-0.007735942582198542	-0.00773599750968905	-0.007736072476455678	-0.007736325614976808	-0.007735468835951575	-0.007735979371412029	-0.0077360017293445806	-0.007735979528515136	-0.007735977389647658	-0.007735998225439503	-0.007735787739776769	-0.007736006261397591	-0.007736093274857934	-0.007735969372096418	-0.0077362322806620535	-0.007736128306758917	-0.0077397029780311875	-0.007735939639663104	-0.007736488787665216	-0.0077360010968811795	-0.007735978468049658	-0.007736616329195865	-0.007736627427639453	-0.0077370627797745005	-0.007736291850572627	-0.007734037173095866	-0.007736713112725187	-0.007736584005380086	-0.00773548176425717	-0.0077362471963446505	-0.007736491348940875	-0.007736279312151035	-0.007735990035792767	-0.007736056337942197	-0.007735364953337733	-0.00773598346597009	-0.007736173307493562	-0.007736729967923275	-0.007735050639754282	-0.007736710199746241	-0.007735477583892309	-0.0077367071988846065	-0.007738272943100124	-0.0077364324069187996	-0.007736151946038757	-0.007735666278711118	-0.007734546344135225	-0.007736508553628539	-0.007735493498787083	-0.007735914876139072	-0.007736169060322821	-0.00773535512416322	-0.007736455717836387	-0.007736733214506669	-0.0077358965293539365	-0.007736260415703358	-0.0077372890286189315	-0.007736704696906668	-0.007736493288384272	-0.0077387810647977315	-0.007829197584199662	-0.00773987871595183
NR4A1	-0.006366937844598049	-0.00628925462128442	-0.006290792291305456	-0.00628884511833591	-0.006291575937432617	-0.006294776170785166	-0.006294238121461911	-0.006291715225268165	-0.0063026131796762915	-0.006290892019876078	-0.006366913158678243	-0.006291060648993376	-0.006291885416834078	-0.006290853600548174	-0.006291051133266984	-0.006300938703904592	-0.006301392427948513	-0.006301660264432804	-0.006302112596606088	-0.0062940441665981966	-0.006291384380672877	-0.006373500949220236	-0.006373603163417315	-0.006366456038715115	-0.0063627920912102945	-0.006361514314102289	-0.006291034480406172	-0.006291104510175964	-0.006294007990844799	-0.006290789443804381	-0.006288737345369722	-0.006290995163549786	-0.006291322112242081	-0.006290793508962139	-0.006292592840904653	-0.006290152083153748	-0.006289916968931925	-0.0062903817079742715	-0.006290750235880388	-0.006290804771958782	-0.006290878341904531	-0.006291132837728337	-0.006290275602213794	-0.0062907866325359755	-0.006290808516059753	-0.006290786848510517	-0.006290784653793184	-0.006290805310249638	-0.006290598111364828	-0.0062908129195558184	-0.006290899845289989	-0.0062907766816027106	-0.006291039646506796	-0.006290935694028986	-0.006294512793065734	-0.006290747270990203	-0.006291296442621243	-0.006290808616359355	-0.006290785716825787	-0.006291424057143845	-0.0062914349579161685	-0.00629187062206375	-0.006291099220776064	-0.006288842741346812	-0.006291520782553648	-0.006291391926494622	-0.006290289689927443	-0.00629105453585696	-0.006291298888503735	-0.006291086695126254	-0.006290797195396796	-0.006290862807513296	-0.006290182243665231	-0.006290790659755089	-0.006290973819301223	-0.006291537412099152	-0.0062898568466068505	-0.00629151776682133	-0.00629028436644565	-0.006291514734826303	-0.006293046841655205	-0.006291239278001846	-0.006290952088310701	-0.00629047318960943	-0.006289352394634435	-0.006291316228278502	-0.006290299542633962	-0.006290722072993895	-0.0062909698721770385	-0.0062901769246067165	-0.006291263211815754	-0.006291540267049827	-0.006290703747709924	-0.006291066998274931	-0.006292096697618204	-0.0062915122074573004	-0.006291300953983051	-0.006293590223194738	-0.006384063299363492	-0.006294681880907555
GLI3	-0.005594171219837316	-0.0055940685881420114	-0.005594064727893743	-0.0055940679832962	-0.005594042489530073	-0.005594066300043235	-0.0055940664096076455	-0.005594068947468358	-0.005595984822787705	-0.005594064769092771	-0.005594182746952344	-0.0055940817120985215	-0.005594090344641169	-0.005594069071691712	-0.005594069410960755	-0.005595196119767303	-0.005595839644522951	-0.005595767939230824	-0.005595941577665912	-0.005594061550726807	-0.005594081926376264	-0.005594139857062335	-0.005594139691946101	-0.005594170970121769	-0.00559416795424942	-0.005594165297506403	-0.00559406462762807	-0.005594068743294988	-0.005594066678086666	-0.005594052768060412	-0.005594072538327656	-0.005594063378293828	-0.005594064013907669	-0.005594040345495828	-0.005603696321201326	-0.005589466281937279	-0.005589304601839768	-0.005589675138391195	-0.005594054774114776	-0.005594063059517261	-0.0055940919963575145	-0.005594069644591919	-0.005594066286011514	-0.005594062832977104	-0.005594072613103804	-0.005594061655881801	-0.005594065684925112	-0.0055940696773563395	-0.005593068556152173	-0.005594074539020319	-0.005594078298231907	-0.005594061728162484	-0.005594103019579885	-0.005594062299506363	-0.005594062382967325	-0.005594054399616466	-0.005594061728724768	-0.0055940153948448035	-0.005594063067655272	-0.005594066148648802	-0.005594066890569663	-0.005594066994631667	-0.005594065173664355	-0.005594070767516286	-0.005594065387480025	-0.005594058126878238	-0.005594043431551076	-0.005594065155774449	-0.005594064461706212	-0.005594064760847421	-0.005594065007242343	-0.005594079699306425	-0.005590873635685538	-0.005594064233436001	-0.00559420039415507	-0.005594070407033692	-0.00559407237119742	-0.00559406736078556	-0.005594066225590894	-0.005594067936068267	-0.005604643646772613	-0.005594077245905028	-0.005594207462611626	-0.005594065987615287	-0.0055940687163378786	-0.005594062314494457	-0.005594081538412332	-0.00559406325470956	-0.005594194858169179	-0.005589456339009825	-0.0055940651652960464	-0.005594078283320973	-0.005594065469661741	-0.005594080523203097	-0.005594073845444467	-0.005594068405929657	-0.005594062282643463	-0.005594062608342142	-0.005594140670349207	-0.005594204518888592
IRF5	-0.005194459212039256	-0.005231769050978808	-0.0051944592188119905	-0.005231586620931018	-0.0051944591964606405	-0.005194459186907956	-0.0051944592013645026	-0.0051944591950961036	-0.005194457760868777	-0.005194459214127526	-0.0051944592026291455	-0.005194459159130606	-0.005194459114736957	-0.005198036983872041	-0.005194459209573914	-0.0051944582397739514	-0.0051944578575536995	-0.005194457891224204	-0.005194457792356654	-0.005194459224168949	-0.005194459133331116	-0.00496181905711547	-0.004961766356674891	-0.005194459221457319	-0.005194459207227428	-0.0051944592158045914	-0.005194459214387851	-0.0051944592070909705	-0.005194459211754784	-0.005194459220069387	-0.005231751794103732	-0.005194459236449946	-0.005194459208944892	-0.005194459221881748	-0.005194459163179209	-0.005194460467614962	-0.005194459253390106	-0.0051944592379866445	-0.00519445921841967	-0.0051944592212517906	-0.005194459112963258	-0.00520950877626983	-0.005209549166385218	-0.005194459250758438	-0.005194459183736529	-0.005194459224183685	-0.005194459223444333	-0.005194459216972474	-0.005194459228239746	-0.005194459172336692	-0.005194459161270282	-0.005194459223775065	-0.005189788337535084	-0.0051916367066536595	-0.005194459208157578	-0.0051944592198816175	-0.0051944592115956536	-0.0051944592244150874	-0.005194459221904479	-0.005194459207277227	-0.005194459197825299	-0.005194459192225013	-0.0051944592122053585	-0.005231781091722061	-0.005194459202564228	-0.00518995426704461	-0.00519445920852123	-0.0051944592128429674	-0.005190330768790196	-0.005194459212638099	-0.005194459219121162	-0.00519445916467999	-0.0051944592422799585	-0.005194459216170527	-0.005194459214031693	-0.005198703211017604	-0.005224669731890301	-0.0051944592003426255	-0.00519445920870196	-0.0051944591992034	-0.005194459142357265	-0.005194459156631318	-0.005194459168647761	-0.005194459212208074	-0.0052317926837256055	-0.005194459211273803	-0.00521525341781415	-0.005194459217693338	-0.005194459209011431	-0.005194459241496826	-0.005194459208099851	-0.0051944591498521925	-0.005194459223308721	-0.005194459155114985	-0.005194459175809382	-0.005194459199434486	-0.005194459211606295	-0.005194459218077765	-0.004962120959790642	-0.005194458885070436
MITF	-0.0034017004948864817	-0.0034014838337083973	-0.003401477110209978	-0.003401483985113507	-0.0034014281022947575	-0.0034014770109861035	-0.0034014788392719496	-0.003401483893245166	-0.003402719726774264	-0.0034014769620917696	-0.0034017250362924703	-0.003401512644981439	-0.0034015288065343085	-0.003401486991109483	-0.0034014866825923884	-0.0034023195098550367	-0.0034026374314305506	-0.003402606505232763	-0.0034026984455930187	-0.0034014704150329956	-0.003401511912869326	-0.0034016351189871336	-0.00340163463963585	-0.003401701198502977	-0.003401693087796565	-0.0034016884084452094	-0.0034014762779487027	-0.0034014848194978014	-0.0034014784318561367	-0.0034014518868411346	-0.0034014872522063334	-0.0034014742623505803	-0.00340147424058448	-0.003401425656881002	-0.003402797874301435	-0.0034007921405447405	-0.0034008142297974136	-0.0034008710068904133	-0.0034014555563808054	-0.003401473578130015	-0.003401534560777348	-0.0034014846002241	-0.003401479619583038	-0.003401473114878971	-0.00340149373875532	-0.0034014706379412994	-0.003401472931630907	-0.0034014810772946976	-0.0034013366255546337	-0.0034014992844028863	-0.003401505444184735	-0.0034014707937568174	-0.0034014758257635874	-0.0034014719938857793	-0.0034014704448959775	-0.003401456411921713	-0.003401470919843602	-0.0034014628389472615	-0.003401473609829689	-0.003401471453420279	-0.003401480090317074	-0.0034014792468446964	-0.003401477348341608	-0.0034014897519693567	-0.003401476634066345	-0.003401462365137323	-0.0034014311317381377	-0.0034014773810872386	-0.0034014758312955026	-0.003401476457652351	-0.003401477694119377	-0.0034015086447118058	-0.003401033124085201	-0.003401476068228835	-0.0034017630378282084	-0.0034014866419767387	-0.0034014914546881643	-0.003401480879248251	-0.0034014791913482504	-0.0034014821062854196	-0.003402943808414816	-0.0034015023610545585	-0.0034017780076932213	-0.0034014790823236473	-0.0034014838343766948	-0.0034014706486433155	-0.003401510799682268	-0.003401474006530595	-0.0034017502791848517	-0.0034008427950160862	-0.003401476770271111	-0.0034015032393056865	-0.003401472583440085	-0.0034015096599463355	-0.0034014929531857928	-0.0034014831055837746	-0.00340147059936458	-0.0034014721011875783	-0.0034016356505569916	-0.0034017556438859166
NFKB1	-0.003773371845440623	-0.0031216526269135523	-0.0031217290901431978	-0.0031222458730369488	-0.003121729757645996	-0.0031217309071097264	-0.003121728846184607	-0.003121730120525811	-0.0031208284457906743	-0.0031217279672298786	-0.003772113174953311	-0.003121725153414181	-0.0031217252377085418	-0.0031217205564787985	-0.0031217277455112325	-0.003121042779302103	-0.003120868966708885	-0.0031208804115210103	-0.0031208377126005927	-0.0031217279184480506	-0.0031217268539484224	-0.003783854673050402	-0.0037842989196224574	-0.0037730809003305127	-0.0037393690961198493	-0.0037315004279775627	-0.003121729843052166	-0.003121728606687422	-0.0031217276585214656	-0.0031217291510878065	-0.0031216505731372257	-0.0031229402821131803	-0.0031217309632326795	-0.003121729760598685	-0.003121728203279135	-0.0031226750496665236	-0.003121730668832839	-0.0031217311383810423	-0.0031217501801989738	-0.0031217293565606813	-0.0031217230152186474	-0.0031217005738196873	-0.003121699065177148	-0.003121731160500021	-0.0031217275784607866	-0.0031217300889672494	-0.0031217298034081553	-0.003121728497546091	-0.0031217297855002757	-0.0031217270023997756	-0.0031217266213760453	-0.003121730082513839	-0.0031217395732392426	-0.0031217355386515457	-0.0031217298799123172	-0.003121748907023502	-0.0031217314905943915	-0.0031217299503206535	-0.003121729588705111	-0.003121731947998456	-0.0031217303919888885	-0.003121731370574001	-0.0031217294731111706	-0.003121650080860464	-0.0031217311033665328	-0.0031230845018152993	-0.003121730558838971	-0.003121729396537641	-0.003121738298191257	-0.003121729637046544	-0.0031217289659085687	-0.003121725179354792	-0.0031217303642856993	-0.0031217293656623656	-0.0031217250665506457	-0.003121721617872584	-0.003121666871354667	-0.0031217303092444205	-0.003121730607685277	-0.0031217301159082453	-0.0031217255189374764	-0.003121727933612891	-0.0031217232045908923	-0.0031217299350432674	-0.00312165288037389	-0.003121731527224372	-0.0031216851332667205	-0.003121729722736731	-0.003121724176275081	-0.0031217304417015274	-0.0031217304615877677	-0.003121729044429189	-0.0031217299497409267	-0.003121726376747385	-0.003121730138573491	-0.0031229157956079935	-0.0031217315520668987	-0.0031217287022638064	-0.0038551647018656957	-0.0031214539132586447
FOXO1	-0.003136973466286034	-0.003105218572144416	-0.0031058470256537093	-0.003105051191016176	-0.0031061668626251662	-0.0031074754225888825	-0.0031072555148306574	-0.0031062243372126067	-0.003110690829003787	-0.00310588778789169	-0.0031369636140917757	-0.0031059570606097263	-0.0031062943380364434	-0.0031058721813435573	-0.0031059529192779484	-0.0031100025112032474	-0.003110191052785555	-0.0031103002297655736	-0.003110486011096232	-0.0031071761553393123	-0.0031060893774419946	-0.0031396554825581222	-0.003139697257616036	-0.0031367765368264674	-0.003135278829546101	-0.0031347564968227334	-0.0031059460114374153	-0.0031059747186907424	-0.003107161446071366	-0.003105845617115712	-0.003105007170812666	-0.0031059299214758244	-0.0031060635600728983	-0.0031058470243325886	-0.0031065958046072916	-0.003105578699125727	-0.0031054828111757708	-0.003105673322163395	-0.003105829626363508	-0.0031058520928233676	-0.003105882755754401	-0.0031059862945538503	-0.003105635854520979	-0.0031058446738994588	-0.003105853818748232	-0.0031058447381578213	-0.0031058438633175564	-0.0031058523855798485	-0.003105766292666279	-0.003105855672450014	-0.003105891262723591	-0.003105840583976166	-0.0031059481189223666	-0.003105905591483015	-0.003107367704678212	-0.0031058284228067147	-0.0031060530354994217	-0.003105853560057848	-0.0031058443044058907	-0.003106105202577368	-0.00310610974206634	-0.0031062878099368464	-0.0031059724842263763	-0.003105050275318594	-0.0031061447890077067	-0.003106091981479827	-0.0031056411424606966	-0.0031059542197396663	-0.003106054083113216	-0.0031059673557571376	-0.0031058490358479027	-0.003105876154774419	-0.0031055933644208032	-0.0031058463486569156	-0.0031059239976979937	-0.003106151683126257	-0.003105464803777659	-0.0031061435975401194	-0.0031056394326065147	-0.003106142370126727	-0.0031067827913300885	-0.0031060299746283613	-0.0031059152604288693	-0.003105716612622084	-0.003105258536621118	-0.0031060611201801066	-0.0031056459421219024	-0.0031058182940221393	-0.0031059222605188497	-0.0031055893440886783	-0.003106039509267382	-0.003106153011044844	-0.0031058107898141738	-0.0031059596267260224	-0.00310638035031207	-0.0031061413467669058	-0.003106054876384979	-0.0031069906234305117	-0.0031439728173197124	-0.0031074395850591184
