	OXT_PTH_FN1_CCL3L1/CCL3L3_NRG1	SEMA7A_IGF1_HLA-C_PTPRF_KITLG	NGF_HGF_VEGFA_KITLG_GDF7	CGA_LTA_KITLG_IL10_TGFB2	OXT_TNF_VEGFA_KITLG_BTC	TNFSF14_TNF_EDN1_INHBA_KITLG	F2_IL1A_KITLG_NRG4_IL23A	INS_KITLG_TNFSF10_ADAM17_CCL4L1/CCL4L2	PTH_IFNA1/IFNA13_PDGFA_CTSG_KITLG	POMC_COL1A1_IL4_HLA-C_PTHLH	EREG_SEMA7A_AGT_COL1A1_BTC	OXT_COL1A1_FGF2_CD48_PTHLH	SLIT1_PTH_DCN_NTF3_CD80	TGFB1_PTHLH_IHH_RGMA	PTH_COL1A1_FLT3LG_HBEGF_IL23A	PTH_HLA-A_BMP4_LTB_IL23A	GAST_HRG_CD48_EFNA1_SHH	FN1_EDN1_CCL5_EFNA1_LRRC4B	IL1B_COL1A1_HLA-A_EFNA1_CCL4L1/CCL4L2	NRG2_INS_GAST_COL1A1_NTF3	F2_COL1A1_BMP4_AREG_NRG3	IFNG_IL1B_IL3_BMP4_NRG4	TGFB1_TNF_HLA-A_IL3_CCL4L1/CCL4L2	CCL3L1/CCL3L3_IL10_IL12A_BTC_CCL4L1/CCL4L2	HLA-A_WNT1_CD48_NRG3_SHH	EREG_F2_BDNF_IL34_NRG4	IFNG_DCN_NRG3_CCL8_CCL4L1/CCL4L2	HLA-B_FGF2_CCL3L1/CCL3L3_CD86_HBEGF	AGT_EFNA1_CD86_SST_IL34	NGF_DCN_INHBA_FGF2_SHH	WNT5A_FLT3LG_TNFSF10_TGFB2_IHH	KNG1_TGFA_LIF_TGFB2_ADAM17	IFNG_CTSG_NTF4_TNFSF10_PTH2	F2_GAST_VEGFA_IL16_HBEGF	GAST_CCL5_IL10_NRG3_FGF21	OXT_IFNB1_FGF1_RGMA_FGF23	GAST_IFNG_BDNF_FLT3LG_IL16	F2_EDN1_CD80_GAS6_NODAL	F2_PRL_IL4_FGF1_CTSG	F2_PRL_PTH_GAST_CCL4L1/CCL4L2	AGT_POMC_CGA_HGF_BTC	EGF_PDYN_CGA_CTSG_HLA-C	CGA_IGF2_IFNA1/IFNA13_IFNB1_LIF	CGA_HLA-A_EDN1_IL23A_LRRC4B	KNG1_EGF_HRG_LIF_IL23A	F2_IGF2_LIF_IL12A_RGMA	CCK_AREG_TGFB2_ADAM17_HBEGF	SLIT2_EGF_CCL5_CD86_CCL4L1/CCL4L2	HLA-C_CCL5_AREG_FGF21	NRG2_LIF_AREG_CCL3L1/CCL3L3_GDF7	CD48_AREG_TGFB2_IL16_RGMA	IFNB1_HLA-B_IL4_CD48_PTPRF	IGF2_HLA-A_HLA-C_IL12A_LEP	HRG_INHBA_CD86_IL16_SHH	TGFB1_PTH_IL10_SYK_CCL4L1/CCL4L2	PDGFA_BMP2_HGF_HBEGF_IL23A	TGFB1_IGF1_IL12A_NTF4_NODAL	IGF2_INHBA_LTB_NODAL_IL23A	IGF1_FGF1_IL3_CSF1_BMP4	WNT1_IGF1_IL3_BTC_HBEGF	EREG_PDYN_HGF_SST_IHH	SEMA7A_INS_INHBA_LRRC4B	INS_IL3_FGF2_PTPRF_NTF3	NGF_POMC_PTPRF_FLT3LG_IL23A	IL4_DCN_FGF2_PTPRF_GAS6	PDYN_GAST_HRG_BMP4_SYK	IFNA1/IFNA13_INHBA_PTPRF_SHH_FGF21	FGF1_PTPRF_BTC_CXCL12	EREG_POMC_INHBA_PTPRF_RGMA	TNFSF14_F2_AGT_PTH_IFNB1	OXT_INS_LTA_NRG1	LTA_CTSG_AREG_ADAM17_NRG1	EGF_TNF_IGF1_FGF2_HLA-C	EGF_INS_IL1B_HRG_FGF1	TNFSF11_AGT_PRL_IFNB1_PTPRF	POMC_LTA_IL1B_CD80_GDF7	AGT_NGF_GAST_TNF_CD86	TGFA_TNF_CCK_TNFSF10_TGFB2	TNFSF14_GAST_BMP4_IL16_IHH	TNF_EDN1_BDNF_TGFB2_LRRC4B	TNFSF14_CTSG_INHBA_CXCL12_SST	TNFSF14_KNG1_NRG3_SHH_NODAL	TNFSF14_INHBA_FGF2_VEGFA_CXCL12	TNFSF11_IFNB1_IL3_NRG3_SST	TNFSF11_TNFSF14_IFNA1/IFNA13_HLA-B_FGF21	SLIT3_TNF_IFNA1/IFNA13_COL1A1_RGMA	TNFSF11_AGT_TGFB1_IFNA1/IFNA13_TNFSF10	SLIT3_IL12A_TNFSF10_IL16_FGF23	IL4_BTC_TNFSF10_CCL4L1/CCL4L2_HBEGF	IL1A_BTC_SYK_TNFSF10_IHH	IL1A_CSF1_NTF4_ADAM17_IHH	IL1A_HRG_CTSG_HLA-C_TNFSF10	CCK_HLA-C_LEP_TNFSF10_IL16	LTA_IL1B_WNT1_IL12A_IHH	TNF_IL1B_IGF1_LIF_PTH2	TNFSF14_FGF2_KITLG_ADAM17_NRG4	SLIT3_TNF_PTHLH_IL12A_RGMA	TNFSF14_PDYN_IL12A_IHH	TNFSF14_IFNA1/IFNA13_PTPRF_CCL5_TNFSF10	NGF_CSF1_NTF4_TNFSF10_PTH2
E2F1	0.4061064226824025	0.40856886401191045	0.4097400684951754	0.40289978757711997	0.40437716331118123	0.4042698699137144	0.40997120745046167	0.4260247592872099	0.4586582702198448	0.1753933450208602	0.1610599915231655	0.17770543205284642	0.2892604405143998	0.32171175395435403	0.40618647348213677	0.47897586713094575	0.2720834485306977	0.19745097315932242	0.04991356803671984	0.22367202975931708	-0.0005209883069875362	0.37587459717895	0.3461661965400309	0.33704397681228043	0.21382067353705408	0.33071839022191885	0.20509522054005822	0.2332468341357587	0.12866447098587253	0.30057352661693754	0.23982324665519314	0.2886352049260428	0.2786341671883695	0.22434179087899822	0.2442486719598208	0.20812243443958292	0.23184814294883652	0.12435345446349069	0.24600489816465876	0.47801070397181583	0.9772400946413036	0.977893139034993	0.9802205749103435	0.4119288698476149	0.977330608849443	0.9788359054153829	0.9910923611129998	0.992217867735462	0.9921682762360025	0.9922189004733588	0.9921801998554713	0.9771786758892997	0.9784616176590688	0.9869194768708826	0.986099049411217	0.9812611804260263	0.9808797935328396	0.9812378828080638	0.9844450835250751	0.9768280346437264	0.9863129451212944	0.9909982741592068	0.9890462309282091	0.46160825676773787	0.4732565099080145	0.9731063304118904	0.9637076273533831	0.9737396828879311	0.9809760985721173	0.43719941920099076	0.4421365705557401	0.4508543190853856	0.984907334275403	0.9907190358153168	0.48583160044366763	0.2872287198778628	0.3254082718827298	0.29771479043438687	0.2953291812285635	0.2994938507177108	0.29055876554189786	0.28874116479708756	0.9737779505723874	0.9844047646009447	0.28879904237758974	0.27205311224959455	0.9902830992233392	0.9887488024890346	0.9905758010078417	0.9879376785511124	0.9893310650352579	0.9886687709759456	0.9883587286275822	0.40338154979839286	0.41361882583501414	0.43664875016486565	0.4714640240210491	0.425892594720744	0.42881533317960924	0.9794531719223682
NFKB2	0.8111927710543629	0.8272967288208551	0.8242929136336908	0.9706741658999044	0.9320760789254289	0.9539844783824994	0.8211087528869296	0.8215108360284537	0.7725798036578526	-0.003917262238062969	-0.003925456888103392	-0.003915536340689424	-0.00389113908594526	-0.0038900458481896443	0.5733609596274177	0.5518333888299054	0.7598506582734423	0.8643731116944868	-0.00390713172739622	0.6019616471282394	-0.003930869758987423	-0.0038823741324588183	-0.00388150004629954	-0.0038823247923652367	-0.0038997288579434653	-0.0038863657408615216	-0.003900834058330769	-0.0038999719801468265	-0.0038875917603303045	-0.0038836230970136056	-0.0038981849883927984	-0.003891867535780622	-0.00389720686151388	-0.0039041678061355308	-0.003901480970503279	-0.003906215700264037	-0.003903174336899741	-0.00391436943485609	-0.0038994085547686243	0.4916522205829619	0.4903972184527834	0.5013983443787712	0.5850083169466541	0.619086194865546	0.5857562636907874	0.5813023162284006	0.5086415182910224	0.5771217935379526	0.5410434006473401	0.5777335098906348	0.5515227634839862	0.6575776697328978	0.575557756911474	0.5959148207189872	0.596772821974346	0.6433579307893375	0.6513098446280864	0.639875783330791	0.6350278454344074	0.6034607076503928	0.6038105573723637	0.6361720374760226	0.7103550198438668	0.7326140132747166	0.7003900967333274	0.6836690236669268	0.697969991418255	0.69170281238443	0.6593124719461259	0.9344990370743353	0.9706612603311348	0.9711826382453632	0.7594876852923454	0.7117521267095013	0.7324471691778107	0.9717030194825896	0.9231420187616541	0.953240698741443	0.9085157446503396	0.9384172590949336	0.934778502690057	0.9382546968908152	0.6598673548717289	0.6213781068722936	0.9003698038840008	0.7350373708797918	0.7159709236496927	0.6497361637745837	0.6067896307168346	0.6736717225663008	0.6354522879486261	0.5889419354063533	0.6008977811610995	0.8561512458125693	0.9522299020837798	0.8045480786316637	0.7332793204390652	0.7221008512489483	0.9545447308325719	0.7063552069980737
RELB	0.8854163016951362	0.893866219772987	0.8923246985553794	0.9529479224880283	0.9394089329650056	0.9472703143774795	0.8906735846461257	0.8908830576641945	0.8631208692065581	-0.004544191688347562	-0.004544352421410473	-0.004544157835923144	-0.004543679298650268	-0.004543657855463119	0.6689300977289452	0.6336522358916092	0.8550617590041172	0.9116954472747959	-0.0045439929845590785	0.7095203292595184	-0.0045444585915717425	-0.004543507383785039	-0.00454349024627716	-0.004543506413557981	-0.004543847781789515	-0.004543585673106884	-0.004543869459623255	-0.004543852550483263	-0.004543609716430157	-0.004543531878734187	-0.004543817499729832	-0.004543693586678563	-0.004543798314367945	-0.004543934849050716	-0.0045438821484088746	-0.004543975017245087	-0.004543915362757564	-0.004544134947776865	-0.00454384149923855	0.5176101486610737	0.5151485385209396	0.5367265761043878	0.6862445162821801	0.7309838177423702	0.6873178818784009	0.6808590963604984	0.5509336199966363	0.6746469827210143	0.6141463515815204	0.6755652412353214	0.6331088703560246	0.7729855601696338	0.6722844902623414	0.7014643735482688	0.7026235290911799	0.7583752318126948	0.7666664767436896	0.7546437571880432	0.7493424421015324	0.7114773581401981	0.7119318423787488	0.7506049851589766	0.8196844543875167	0.8364525258400475	0.811665902631745	0.7974232549063187	0.8096672044705343	0.8043943964749719	0.7747021167427958	0.9403023329039193	0.9529436307405952	0.9531168963997474	0.8548262943403435	0.8207822834070936	0.8363323411854874	0.9532895886770998	0.9360609403297846	0.9470112102932032	0.9303901237587376	0.9417341793895073	0.9404049843833879	0.9416750878590399	0.7752482544040624	0.7337147429973431	0.9271248967153523	0.838189256558751	0.824059227666982	0.7650504437976761	0.7157679231431484	0.7883975361180352	0.7498116142159315	0.6918397948219812	0.7081219088000346	0.9079232773142694	0.9466582350025873	0.881792251086179	0.8369309850438819	0.8287209627360836	0.9474651344971307	0.8165060094375473
NFKB1	0.8018173373978358	0.5135815214804837	0.5231163928048825	-0.0102813064036938	-0.0014542529910202772	-0.006896794722583698	0.9921061153339744	0.5148294395972867	0.8322185128200287	0.323189026614676	0.7801655413499097	0.5909160581548043	0.32321227699266314	0.3232024411427788	0.44807140177440696	0.4450159456677535	0.14611939117121667	0.16781280689345993	0.9621359532169184	0.6818233294992998	0.7673830999978505	0.9653294020794102	0.33886762182566754	0.3395918879165798	0.34135720789004514	0.40376238910144063	0.34162091416047546	0.3413562283036347	-0.0010741299625337095	0.3453924902250739	0.3410320344616879	0.793200928621745	0.7762154401938135	0.5883947308668764	0.45814837240596396	0.682226271041289	0.541766203327036	0.8257369880671471	0.7839855691888882	0.8396695256407242	0.8640346789079467	0.8638248789987827	0.7777193164267286	0.8679948602125251	0.8487924669733325	0.8185301972206477	0.69905042371345	0.4694976542085215	0.46562904441961467	0.46923587319520893	0.4669555675335058	0.477086649826648	0.46983176989002295	0.47119030316124416	0.4713479660410437	0.4772161703505525	0.4762659380882191	0.4753147726242177	0.474697978000267	0.47188598045220337	0.47343150017344887	0.4654495220517005	0.47949578202812776	0.4922992965797694	0.4808840456369231	0.6849676143984882	0.479846803561528	0.47941444410975237	0.4768592153179226	-0.0033021052972931142	-0.007643670399695393	-0.0074673260461502996	0.48495059321592965	0.9859116332124063	0.844165871107326	-0.0003509683549669747	-0.00010035444717487278	-0.009900170686248728	-0.0010749556314112382	-0.0048380553859025165	-0.004196965714449309	-0.004476834611112111	0.47392109005866007	0.4725434114350298	-0.0019902798064349715	0.48555752052319645	0.831574574987156	0.47655696576543854	0.4721077755626358	0.9850010947021741	0.9842687262119163	0.9851707646513508	0.6992632989708122	0.9734950553156618	0.010513074650665448	0.49126751727546714	0.4638871805151546	0.47961439397814765	-0.012154284027005127	0.4889928794169026
RELA	0.9016243668705289	0.5896147438696451	0.609857791942028	-0.005316213750988832	-0.0051272862191323034	-0.0052437742393468545	0.9769257684289225	0.5922856928119966	0.9168923755546028	0.1821131410430527	0.8897062566607473	0.7232645033772055	0.18216290438243588	0.18214185247209835	0.4494018704556814	0.4428622047944632	-0.0019687322764751665	-0.0015044229199625255	0.9676919816655002	0.8209356190845987	0.882212479772939	0.9687121084938363	0.2156705126630982	0.2172205923318997	0.22099893323446956	0.3545662357778219	0.2215633499765205	0.2209968366022854	-0.005119150347892224	0.22963575813708603	0.22030295678148065	0.8969928892530983	0.8874284979810441	0.7198330665361169	0.47096985130933855	0.8212795338898524	0.6461019465141007	0.9137697392658009	0.8918776566607542	0.9203989477608723	0.9312827491773253	0.9311926503584609	0.8882996138203352	0.9329721948036382	0.9245758357994646	0.9102158060454983	0.8351024599184261	0.49526099027154996	0.4869809122389279	0.49470069398887895	0.48982010133354303	0.5115038986687314	0.4959761059138039	0.498883807110331	0.49922125673647144	0.5117811145386076	0.5097473097385433	0.5077115075842926	0.5063913673235804	0.5003727818282485	0.5036806944736559	0.4865966762283653	0.5166602218431617	0.5440638897441787	0.5196315555931011	0.8236028356589977	0.5174115216125565	0.5164861323543305	0.5110171151591634	-0.005166836243261338	-0.00525975979779808	-0.0052559854574928235	0.528335284474766	0.9750779315763356	0.9224732898088788	-0.00510367235463198	-0.0050983084053235275	-0.005308056212223202	-0.005119168027185729	-0.005199710549752177	-0.005185989154438549	-0.005191979255259055	0.5047285755121247	0.5017798970586753	-0.005138758929074143	0.5296343054823156	0.9165851939890856	0.5103702032247528	0.500847495544073	0.9748037307723537	0.9745826987317484	0.9748548760819825	0.8352708992890958	0.9712802833459199	-0.004871146648163544	0.5418555479200559	0.48325275933314465	0.5169140898319265	-0.005356301538277683	0.5369870861496858
STAT5A	0.21890340825065485	0.19888945821343515	0.1491642765896699	0.3304923289952236	0.9068788629083093	0.14192718013683728	0.9752674458413048	0.8467734608247932	0.4678963347391464	0.1479386651008136	0.9021875762996883	0.11417974743678225	0.01932236193250814	0.1141322557379078	0.9755740471359758	0.5431854361375564	0.11338941414363918	0.11340317018335641	0.15888436181707066	0.9457661960366055	0.9273907986518531	0.9620969451405028	0.34868400260754434	0.9979804633603929	0.9190999448299066	0.9249530722887895	0.8925538339720168	0.9150907607441064	0.11448929245246425	0.019183765486139624	0.11447809416760688	0.9907648800149365	0.32212240123815583	0.904160699273455	0.9370863195649696	0.24891556781904417	0.32544785195511683	0.11448752602158037	0.5007155901311745	0.4959448122155966	0.9102822017279322	0.5571109333735914	0.6792227130233915	0.5436950909346684	0.5675290066487922	0.5221217560718737	0.9825649772712267	0.5494992635039263	0.5371467492668127	0.9551489047326595	0.541099086367458	0.31657264063333285	0.606566990934509	0.11339036854794365	0.29474258928357455	0.9781596145525614	0.3352439435637811	0.5059821795807797	0.30674793380678367	0.9662327590221643	0.8079288765451611	0.5063177562068205	0.5400925433552751	0.4976345982757738	0.03754485337463826	0.11338859378142999	0.20169920218627826	0.9097045067089058	0.8843828790831788	0.25765113044930243	0.977925781842752	0.9971775564518327	0.548002832765641	0.5821131203491863	0.5351080281005752	0.11338579456555598	0.11338595334211372	0.2451749655223937	0.11338677627731224	0.11338588880291581	0.1133860858603258	0.4490752656218555	0.11338990510275233	0.9523113936200049	0.33068007979156966	0.3001326931342672	0.3090859653104037	0.5027411284089144	0.9355077412899143	0.9054780096700065	0.899134795758993	0.1355738253269077	0.4299410621597376	0.5000075812007821	0.48854127749489185	0.9324118949505203	0.500640051013596	0.4954130993525777	0.12908896435666736	0.11338845190380063
STAT3	0.19672233764292402	0.3321694129430497	0.24063805037971692	0.5742169463128411	0.23801977181305398	0.22713786854699566	0.9487405647120125	0.7938796141963583	0.7478419927034547	0.2666062798117001	0.19908147985751207	0.20184339832715023	0.007876950321453514	0.1750340894637867	0.9413551401693075	0.95128948328758	0.17403870130984675	0.20754184925598634	0.29404678536922974	0.7965136033172451	0.7351895187920164	0.6980108122310901	0.606503022870598	0.9830122991920845	0.2595492181054333	0.1761845288804632	0.13976728348445605	0.24674000113879813	0.17638463367992602	0.007737618826760657	0.17634345475292956	0.9807534463228732	0.5563879139112938	0.17561359102598584	0.452346703029943	0.4220659561788751	0.5630639621420308	0.17446760119734833	0.9359921593493697	0.9347313029809364	0.1732007550329084	0.7999511632824475	0.9865470526848377	0.9516310700825922	0.9679397703151437	0.9475692086361912	0.7917158713148135	0.7962784667569341	0.7901993735551529	0.8153035380079557	0.7914252870946796	0.5473373298958956	0.9791553301366338	0.17356301028838886	0.5069600512945077	0.9399535741907326	0.7808927830597113	0.9386376859302551	0.5290082294517137	0.512299949280187	0.17398623933437363	0.7720653422708358	0.7937015953754282	0.9360725342281118	0.04053182797829144	0.1733843260838184	0.3361268186436234	0.17461658979433542	0.17438680566136228	0.43793957378466825	0.7751865367506812	0.7910595648249911	0.7965625002394622	0.8074488675079171	0.9484070225258417	0.17433360476912813	0.17281177488236443	0.41583026389376765	0.17360642483688846	0.17304270768676394	0.17298389040958137	0.17292397166919588	0.17383834366969717	0.6648078538974203	0.5737225938721618	0.555701074521745	0.5323941095400387	0.938996913557562	0.18377792558574263	0.17454696579168277	0.17399004125459777	0.2139296225989307	0.8851127002286805	0.9375479173832308	0.9292201665302894	0.19420139008595322	0.9378721636278022	0.9347503524867554	0.20322309729016239	0.17381672678235793
IRF9	0.3055789757476395	0.8361426883733482	0.5969171013210478	0.9400040795275021	0.5869794380326172	0.5389603497769555	0.4192582151447127	0.9684227180638814	0.9630401151894498	0.5842634939069106	0.316905393541608	0.31090924616050625	-0.0027751880800655757	0.30281921670652334	0.13551605337394987	0.5024880072311355	0.29854417007619943	0.30274257584738445	0.6703935026152862	0.9678081884566575	0.960287995813668	0.9752590273159465	0.9441739123417329	0.8985353697713879	0.6641329868008384	0.30731864453620905	0.4228420134127652	0.6175686521984063	0.3056243095271951	-0.0027753685728241	0.3032573879382101	0.9181638266912636	0.9657116832148748	0.30786421128283914	0.9125050193888788	0.9017518291504217	0.9665128616227767	0.31004030658761234	0.1882113183594339	0.1350506377788919	0.30609429495490065	0.9691915280993003	0.934445108797326	0.49693885659639736	0.27823500000833556	0.20410271222586315	0.9681006398387282	0.9685907049523378	0.9678504821163721	0.9680456327844432	0.9680001228209204	0.935276552207525	0.5659974948212184	0.2956701080914154	0.9271997755332795	0.21065210961140035	0.20928160780770183	0.20568470106046674	0.9318712025862839	0.9282294067005066	0.2977372947135005	0.9657135823872223	0.968340665200662	0.12965068677010763	-0.0027634098029036113	0.2995984907953001	0.8403610465655532	0.3010415380713553	0.29976055264694934	0.908406448496229	0.9660864296268997	0.9680166886759731	0.9684821217695266	0.970217778154959	0.4413139950250623	0.30456009571590653	0.299099118603893	0.8983331258918069	0.29451857893179006	0.29767960883756883	0.29732531993745803	0.29767028317739175	0.29139924255910044	0.9520086833677592	0.9393595339146951	0.9290451612118484	0.9325096324761867	0.12116602379853507	0.3369418595225033	0.3085337795651264	0.307138531384312	0.48752966695841127	0.22470831671213012	0.13387166326194047	0.18562012784279036	0.37839101791176305	0.1210275541357756	0.12302835348835173	0.42355958927478726	0.2936250636165531
STAT1	0.30355203465869784	0.6603820565787472	0.4555777416952387	0.8666247654638485	0.4503920823012228	0.42533481995717154	0.36287199736766934	0.9552919377979746	0.9368654049650738	0.44897485163438283	0.30946237224300915	0.3063334698952194	-0.0007193430478777051	0.3021119405286569	0.21481000694201943	0.40630286644304053	0.29988114090265267	0.3020719479058022	0.49880148423444887	0.9531449873240743	0.9277636586517615	0.9799674148281247	0.8784016218386264	0.7672354445993493	0.4946574631492659	0.30445982595401166	0.3647420906313691	0.46663064424853296	0.30357568846396654	-0.0007287614867218535	0.3023405865261156	0.8106339894163033	0.9459052886887546	0.3047445134909716	0.7975144072170491	0.773955704193345	0.9486565871797688	0.3058800409020854	0.24230738615215375	0.21456714434116603	0.303820937901894	0.9579939879899693	0.8514997566454496	0.4034072153948368	0.28928343443078064	0.25059981400799713	0.9541652906323377	0.9558808095211097	0.9532923822889129	0.9539731857727529	0.9538143171079501	0.8537215725398841	0.4394433101642662	0.2983814013665212	0.8327117186515275	0.25401741260152183	0.25330225901394265	0.25142532550133423	0.8447090175834963	0.8353206135759118	0.2994600981824147	0.9459117883196553	0.9550046150246368	0.211749348461269	-0.00010473041875472894	0.3004313052604725	0.6664378040080096	0.30118431443837423	0.3005158721791753	0.7883301006529293	0.947189846048641	0.9538721388837968	0.9555000775908864	0.9616290103706124	0.3743811176517139	0.3030203639178187	0.3001707234697334	0.7668176785908859	0.2977805118185941	0.29942999660663544	0.2992451220027952	0.2994251303019126	0.2961527834987806	0.9016005050691834	0.8648380007558658	0.8374016620836232	0.8463812001624179	0.20732189192822922	0.3199177765903743	0.3050939067999518	0.30436584008789136	0.39849732347958905	0.2613522055283561	0.21395193328986664	0.2409552542614958	0.34154672611316644	0.2072496358568872	0.2082936905463137	0.3651165351948551	0.29731425874109685
STAT2	0.3046357200024507	0.6117399737690653	0.4331711995579979	0.8682628707777199	0.42848451129735027	0.4071666948303222	0.34783689990791455	0.9881278290219931	0.9639217334616892	0.4288402009503609	0.30988317134600707	0.30744881588613	-0.00020869103623324974	0.30727970834528523	0.22939356194924992	0.3933345242257097	0.30460857192500856	0.30465595209526386	0.46820115087941383	0.9855303111019789	0.9522660580842797	0.936765853203268	0.8871432443784326	0.7366003011885096	0.470848206900415	0.30960251967613617	0.2371143362810814	0.4470416492950806	0.3085634994694666	-0.00021315702794377095	0.30852323390492103	0.7914769410226095	0.8588233308244609	0.3093540081141103	0.7765623483550711	0.7454168107629168	0.8626463604569166	0.3085572668544861	0.25371619988207494	0.22882295647920511	0.30627762306028933	0.9916624811192017	0.8476334718541135	0.3885280295753495	0.2925647735056167	0.2604856759751164	0.9872909451696944	0.9897117726818021	0.9864841517878669	0.9872914428432398	0.9871352864302538	0.8522472493296039	0.42217473567209374	0.30461203349567983	0.8237140684489891	0.2653343286677671	0.2653613037898294	0.2632350084355532	0.8399597295074104	0.8273485405913463	0.3054422122809783	0.9768402133275829	0.9883069100281058	0.22853265413209264	0.04293896403452841	0.30460566270101175	0.6213645237983315	0.3062504944220474	0.30602638959603895	0.762759577552932	0.9783865134496328	0.9868272247338168	0.9897014144295097	0.9956106475964848	0.3661556742183845	0.30459553785798116	0.30459620353351213	0.7375305106555863	0.3045991132782273	0.3045959570811211	0.3045966693447939	0.3045963670373636	0.30461034984579377	0.9189355140808949	0.8684915243954542	0.8311848052918469	0.8429617441936559	0.22769294357551415	0.3245804290172471	0.30613810879740344	0.3053505865119322	0.384380250778774	0.27248293570104304	0.22813471842086724	0.24985312791455924	0.3423563921324304	0.22803056549452727	0.2289132842678511	0.3610610699432612	0.3046051256052927
