	PC 1	PC 2	Condition
0	-1.5705583733184372	-0.32913567759537216	1
1	-1.5620731263725083	-0.3358756716165353	1
2	-1.4525652536333364	-0.39878554588689835	1
3	-1.566321586768386	-0.3325821686520668	1
4	-1.5273753377148855	-0.32672353840110396	1
5	-1.570553638863261	-0.3291395440573523	1
6	-0.6370850194566645	0.2554419767747776	1
7	-1.5457858381311265	-0.33145603385010963	1
8	-1.4186390533685613	-0.43732503831975444	1
9	-1.408127372220395	-0.4456107889375292	1
10	-0.4209804954181338	0.05652385259258992	1
11	-1.5705587845509565	-0.3291353434127433	1
12	-1.4096266072082133	-0.309988204112103	1
13	-1.569443744066218	-0.33004544510246986	1
14	-1.3978452597153326	-0.3090677362024289	1
15	-0.941340118913621	-0.38716712859668434	1
16	-1.570558834471101	-0.3291352988265841	1
17	-1.4866610341886823	-0.3211343094400162	1
18	-1.1480125094315003	-0.5733558207774963	1
19	-1.569101293815839	-0.32933913499444595	1
20	-1.536016843282353	-0.3258477333842521	1
21	-0.7767567165908325	0.3047191968538676	1
22	-1.5705587949904178	-0.32913533492661007	1
23	-1.5705587986726002	-0.3291353354528666	1
24	-1.4023840174604678	-0.294390073592316	1
25	-0.4841238209463407	0.04118395882682297	1
26	-1.170833097917255	-0.38471377300231596	1
27	-0.901998023821089	-0.38635276079276126	1
28	-1.485875668821251	-0.32114798832767444	1
29	-1.4264145368591712	-0.4152350725976338	1
30	-1.5705438535232514	-0.32914753538900776	1
31	-1.5575358473163057	-0.3392629052806287	1
32	-0.7053512592618041	-0.3804591271764125	1
33	-1.5705587949616675	-0.32913533494732916	1
34	-0.39713977610015355	1.9389184409339377	1
35	-0.6036819344119657	0.2218469910053617	1
36	-1.570553839836143	-0.32913937999623616	1
37	-0.7537384535838073	0.2999723378955723	1
38	-0.6126107440484239	0.22449914137330612	1
39	-1.4535541907902414	-0.3582129169907338	1
40	-1.5705588531031576	-0.3291352817884695	1
41	-1.127110435522217	-0.5864217239321091	1
42	-1.5705587654535305	-0.3291353619398141	1
43	-1.4530452111354233	-0.39851226590407696	1
44	-1.5705587949884394	-0.32913533493005304	1
45	-1.5705346221977787	-0.32915507320446435	1
46	-1.5684700273025092	-0.33083996223010725	1
47	-1.570558834392823	-0.32913529889816545	1
48	-1.5635279884174553	-0.32797594902442906	1
49	-1.5705588304875613	-0.32913525155320367	1
50	1.9050676287198096	-1.1254809833212593	1
51	-1.57055228698288	-0.3291406476438241	1
52	-1.5705587949915294	-0.32913533492655106	1
53	-0.6372544062324014	-0.7572282341903023	1
54	-1.570558796490689	-0.32913533355783303	1
55	-0.40012088030587467	1.9423734358232445	1
56	-0.941736215688102	-0.9318959595685834	1
57	-1.142353804358446	-0.5723004362409121	1
58	-1.5705587949587219	-0.32913533494923025	1
59	-1.564356122630353	-0.3341942764018559	1
60	-1.0523549556901144	0.8162237045088554	1
61	-1.3967535683056171	-0.30898696712195084	1
62	-1.5335005283448981	-0.32560823788123394	1
63	-1.4406897215021104	-0.3618153391583951	1
64	-0.6727635535902509	0.2795187789797704	1
65	-1.1286774369558583	-0.5854517379871517	1
66	-1.1702159479015004	-0.3846999616608226	1
67	-0.814711572755134	-0.3806838125134678	1
68	-0.4957641161990469	1.9641657271433313	1
69	-1.5705587949695925	-0.32913533494221525	1
70	-0.598571751153253	0.28546065516811264	1
71	-1.4045665284134217	-0.3095816858893887	1
72	-1.1185839543423215	-0.3843938452435056	1
73	-0.4188882186353656	0.04318934819746672	1
74	-1.4008280021705255	-0.3092922338025105	1
75	-0.6422064442807965	0.25588258161495786	1
76	-1.4525118991229082	-0.3988159199005996	1
77	-1.4349908514542342	-0.36345809454966166	1
78	-0.5748073921168423	-1.1863243250263171	1
79	-0.4154907693412739	0.04934381215549135	1
80	-1.1247258518454015	-0.5878928543467813	1
81	-1.5705542712817433	-0.3291390277922363	1
82	-1.5705587983961584	-0.3291353354133035	1
83	-0.41123234149513543	0.04385589927748003	1
84	-1.5705581850541181	-0.3291358328421802	1
